;;;;;
Race and origin;1970 \1;1980;1990;2000;2008
of spouses;;;;;
;;;;;
    Married couples, total \2;44 598;49 714;53 256;56 497;60 129
;;;;;
RACE;;;;;
White/White \3 ;40 578;44 910;47 202;48 917;50 369
Black/Black \3;3 344;3 354;3 687;3 989;4 104
;;;;;
    Interracial married couples, total;310;651;964;1 464;2 340
White \3/Black \3;65;167;211;363;481
  Black husband/White wife;41;122;150;268;317
  White husband/Black wife;24;45;61;95;164
White \3/other race \4;233;450;720;1 051;1 737
Black \3/other race \4;12;34;33;50;122
;;;;;
HISPANIC ORIGIN;;;;;
Hispanic/Hispanic;1 368;1 906;3 085;4 739;6 390
Hispanic/other origin (not Hispanic);584;891;1 193;1 743;2 222
All other couples (not of Hispanic origin);42 645;46 917;48 979;50 015;51 517
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
