Type of household;Households;;;;;;;;Persons per household;;;
;;;;;;;;;;;;
;Number (1,000);;;;Percent distribution;;;;;;;
;;;;;;;;;;;;
;1990;2000;2005;2008;1990;2000;2005;2008;1990;2000;2005;2008
;;;;;;;;;;;;
;;;;;;;;;;;;
      Total households ;93 347;104 705;113 343;116 783;100;100;100;100;2,63;2,62;2,57;2,56
Family households;66 090;72 025;76 858;77 873;71;69;68;67;3,22;3,24;3,2;3,22
  Married couple family;52 317;55 311;57 975;58 370;56;53;51;50;3,25;3,26;3,21;3,22
  Male householder, no spouse present ;2 884;4 028;4 901;5 100;3;4;4;4;3,04;3,16;3,17;3,21
  Female householder, no spouse present ;10 890;12 687;13 981;14 404;12;12;12;12;3,1;3,17;3,16;3,21
Nonfamily households ;27 257;32 680;36 485;38 910;29;31;32;33;1,22;1,25;1,25;1,25
    Living alone ;22 999;26 724;30 137;32 167;25;26;27;27;1;1;1;1
  Male householder ;11 606;14 641;16 543;17 872;12;14;15;15;1,33;1,34;1,34;1,34
    Living alone ;9 049;11 181;12 808;13 870;10;11;11;12;1;1;1;1
  Female householder ;15 651;18 039;19 942;21 038;17;17;18;18;1,14;1,17;1,17;1,17
    Living alone ;13 950;15 543;17 330;18 297;15;15;15;16;1;1;1;1
