Age of householder and size of household;Unit;1970;1975;1980;1985;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;Total \1;White \2;Black \2;Asian \2;Hispanic \3;Non-Hispanic White \3
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
    Total;Million;63,4;71,1;80,8;86,8;93,3;94,3;95,7;96,4;97,1;99;99,6;101;102,5;103,9;104,7;108,2;109,3;111,3;112;113,3;114,4;116;116,8;95,1;14,5;4,5;13,3;82,8
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Age of householder:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
  15 to 24 years old;Million;4,4;5,8;6,6;5,4;5,1;4,9;4,9;5;5,3;5,4;5,3;5,2;5,4;5,9;5,9;6,4;6,4;6,6;6,6;6,7;6,8;6,7;6,5;5;1,1;0,2;1,2;3,9
  25 to 29 years old;Million;6,1;7,8;9,3;9,6;9,4;9,2;8,8;8,6;8,5;8,4;8,4;8,6;8,5;8,5;8,5;8,5;8,4;8,5;8,7;9,2;9,2;9,7;9,4;7,4;1,3;0,4;1,6;5,9
  30 to 34 years old;Million;5,6;7,1;9,3;10,4;11;11,1;11,2;11,1;11,2;11,1;10,9;10,7;10,6;10,3;10,1;10,5;10,6;10,5;10,4;10,1;9,9;9,8;9,8;7,5;1,4;0,6;1,8;5,9
  35 to 44 years old;Million;11,8;11,9;14;17,5;20,6;21,3;21,8;21,7;22,3;22,9;23,2;23,8;23,9;24;24;24;24;24,1;23,2;23,2;23;22,8;22,4;17,7;3,1;1,1;3,4;14,5
  45 to 54 years old;Million;12,2;12,9;12,7;12,6;14,5;14,8;15,5;16,6;16,8;17,6;18;18,8;19,5;20,2;20,9;22;22,2;22,6;23,1;23,4;23,7;24,1;24,5;19,9;3,2;0,9;2,5;17,6
  55 to 64 years old;Million;10,8;11,3;12,5;13,1;12,5;12,5;12,6;12,4;12,2;12,2;12,4;12,5;13,1;13,6;13,6;14,3;15,2;16,3;16,8;17,5;18,3;19,3;19,9;16,6;2,3;0,6;1,5;15,2
  65 to 74 years old;Million;7,7;8,9;10,1;10,9;11,7;12;12;11,8;11,6;11,8;11,9;11,7;11,3;11,4;11,3;11,5;11,5;11,4;11,5;11,5;11,7;11,9;12,2;10,4;1,3;0,3;0,8;9,6
  75 years old and over;Million;4,8;5,4;6,4;7,3;8,4;8,5;8,9;9,1;9,2;9,6;9,6;9,7;10,2;10,2;10,4;11;11;11,3;11,6;11,6;11,8;11,8;11,8;10,5;0,9;0,2;0,6;10
;;;;;;;;  ; ;;;;;;;;;;;;;;;;;;;;
One person;Million;10,9;13,9;18,3;20,6;23;23,6;24;23,6;23,6;24,7;24,9;25,4;26,3;26,6;26,7;28,2;28,8;29,4;29,6;30,1;30,5;31,1;32,2;25,9;4,6;0,9;2,2;23,9
  Male;Million;3,5;4,9;7;7,9;9;9,5;9,6;9,4;9,4;10,1;10,3;10,4;11;11;11,2;11,6;12;12,5;12,6;12,8;13,1;13,5;13,9;11,2;1,9;0,4;1,1;10,1
  Female;Million;7,3;9;11,3;12,7;14;14,1;14,4;14,2;14,2;14,6;14,6;15;15,3;15,6;15,5;16,6;16,8;16,9;17;17,3;17,4;17,6;18,3;14,7;2,7;0,5;1,1;13,8
Two persons;Million;18,3;21,8;25,3;27,4;30,1;30,2;30,7;31,2;31,2;31,8;32,5;32,7;33;34,3;34,7;35,9;36,2;37,1;37,4;37,4;37,8;38,6;38,7;32,7;4,1;1,2;3;29,9
Three persons;Million;10,9;12,4;14,1;15,5;16,1;16,1;16,4;16,9;16,9;16,8;16,7;17,1;17,3;17,4;17,2;17,4;17,7;17,9;18;18,3;18,9;18,8;18,5;14,6;2,5;0,9;2,5;12,4
Four persons;Million;10;11,1;12,7;13,6;14,5;14,6;14,7;14,9;15,1;15,3;15,1;15,4;15,4;15;15,3;15,7;15,8;16;16,1;16,4;16;16,2;15,9;12,8;1,9;0,8;2,7;10,3
Five persons;Million;6,5;6,4;6,1;6,1;6,2;6,2;6,4;6,4;6,7;6,6;6,6;6,8;7;7;7;7;6,9;7;7,2;7,2;7,3;7,2;7,3;5,9;0,8;0,3;1,7;4,3
Six persons;Million;3,5;3,1;2,5;2,3;2,1;2,2;2,1;2,2;2,2;2,3;2,4;2,3;2,2;2,4;2,4;2,6;2,4;2,5;2,5;2,5;2,6;2,7;2,7;2,1;0,4;0,1;0,7;1,4
Seven persons or more;Million;3,2;2,5;1,8;1,3;1,3;1,5;1,3;1,2;1,4;1,4;1,4;1,3;1,3;1,3;1,4;1,4;1,4;1,4;1,4;1,4;1,4;1,4;1,5;1;0,2;0,1;0,4;0,6
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PERCENT DISTRIBUTION;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
    Total;Percent;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Age of householder:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
  15 to 24 years old;Percent;7;8;8;6;6;5;5;5;5;5;5;5;5;6;6;6;6;6;6;6;6;6;5;5;8;4;9;4
  25 to 29 years old;Percent;10;11;12;11;10;10;9;9;9;8;8;9;8;8;8;8;8;8;8;8;8;8;8;8;9;9;12;7
  30 to 34 years old;Percent;9;10;12;12;12;12;12;12;12;11;11;11;10;10;10;10;10;9;9;9;9;8;8;8;10;13;13;7
  35 to 44 years old;Percent;19;17;17;20;22;23;23;23;23;23;23;24;23;23;23;22;22;22;21;20;20;20;19;18;21;24;25;17
  45 to 54 years old;Percent;20;18;16;15;16;16;16;17;17;18;18;19;19;19;20;20;20;20;21;21;21;21;21;21;22;20;19;21
  55 to 64 years old;Percent;17;16;16;15;13;13;13;13;13;12;12;12;13;13;13;13;14;15;15;15;16;17;17;17;16;13;11;18
  65 to 74 years old;Percent;12;13;13;13;13;13;13;12;12;12;12;12;11;11;11;11;11;10;10;10;10;10;10;11;9;7;6;11
  75 years old and over;Percent;8;8;8;8;9;9;9;9;9;10;10;10;10;10;10;10;10;10;10;10;10;10;10;11;6;4;4;12
;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;
One person;Percent;17;20;23;24;25;25;25;24;24;25;25;25;26;26;26;26;26;26;26;27;27;27;28;27;32;20;16;29
  Male;Percent;6;7;9;9;10;10;10;10;10;10;10;10;11;11;11;11;11;11;11;11;11;12;12;12;13;9;8;12
  Female;Percent;12;13;14;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;16;15;18;11;8;17
Two persons;Percent;29;31;31;32;32;32;32;32;32;32;33;32;32;33;33;33;33;33;33;33;33;34;33;34;28;27;23;36
Three persons;Percent;17;17;18;18;17;17;17;18;17;17;17;17;17;17;16;16;16;16;16;16;17;16;16;15;17;20;19;15
Four persons;Percent;16;16;16;16;16;15;15;15;16;15;15;15;15;14;15;15;14;14;14;14;14;14;14;13;13;18;20;12
Five persons;Percent;10;9;8;7;7;7;7;7;7;7;7;7;7;7;7;6;6;6;6;6;6;6;6;6;5;7;13;5
Six persons;Percent;6;4;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;5;2
Seven persons or more;Percent;5;4;2;2;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;3;1
