Race, Hispanic Origin and year;Number of families (1,000);;;;;Percent distribution;;;;
;;;;;;;;;;
;Total ;No children;One child;Two children;Three or more children;Total ;No children;One child;Two children;Three or more children
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
ALL FAMILIES \1;;;;;;;;;;
2000;72 025;37 420;14 311;13 215;7 080;100;52;20;18;10
2005;76 858;40 647;15 069;13 741;7 400;100;53;20;18;10
2008, total;77 873;42 164;15 160;13 158;7 391;100;54;19;17;9
  Married couple;58 370;33 197;9 733;9 886;5 555;100;57;17;17;9
  Male householder \2;5 100;2 937;1 323;597;242;100;58;26;12;5
  Female householder \2;14 404;6 030;4 104;2 675;1 594;100;42;28;19;11
;;;;;;;;;;
WHITE FAMILIES \3;;;;;;;;;;
2000;60 251;32 144;11 496;10 918;5 693;100;53;19;18;9
2005;63 079;34 255;11 872;11 127;5 825;100;54;19;18;9
2008, total;63 566;35 378;11 784;10 650;5 754;100;56;19;17;9
  Married couple;50 247;29 082;8 051;8 421;4 693;100;58;16;17;9
  Male householder \2;3 892;2 166;1 077;478;171;100;56;28;12;4
  Female householder \2;9 427;4 129;2 655;1 752;891;100;44;28;19;9
;;;;;;;;;;
BLACK FAMILIES \3;;;;;;;;;;
2000;8 664;3 882;2 101;1 624;1 058;100;45;24;19;12
2005;8 902;4 077;2 059;1 641;1 125;100;46;23;18;13
2008, total;9 256;4 327;2 216;1 562;1 152;100;47;24;17;12
  Married couple;4 322;2 332;819;690;481;100;54;19;16;11
  Male householder \2;796;496;166;87;48;100;62;21;11;6
  Female householder \2;4 138;1 499;1 231;784;622;100;36;30;19;15
;;;;;;;;;;
ASIAN FAMILIES \3;;;;;;;;;;
2005;3 142;1 535;730;646;230;100;49;23;21;7
2008, total;3 299;1 648;753;649;248;100;50;23;20;8
  Married couple;2 647;1 234;623;572;218;100;46;24;22;8
  Male householder \2;221;170;27;15;9;100;77;12;7;4
  Female householder \2;431;245;103;62;21;100;57;24;14;5
;;;;;;;;;;
HISPANIC FAMILIES \4;;;;;;;;;;
2000;7 561;2 747;1 791;1 693;1 330;100;36;24;22;18
2005;9 521;3 528;2 130;2 163;1 699;100;37;22;23;18
2008, total;10 394;3 962;2 350;2 316;1 766;100;38;23;22;17
  Married couple;6 888;2 464;1 478;1 656;1 291;100;36;21;24;19
  Male householder \2;983;619;187;114;63;100;63;19;12;6
  Female householder \2;2 522;880;684;546;412;100;35;27;22;16
;;;;;;;;;;
NON-HISPANIC WHITE FAMILIES \3 \4;;;;;;;;;;
2005;54 257;30 965;9 924;9 151;4 217;100;57;18;17;8
2008, total;53 902;31 680;9 649;8 478;4 095;100;59;18;16;8
  Married couple;43 739;26 741;6 692;6 845;3 461;100;61;15;16;8
  Male householder \2;2 991;1 598;911;369;112;100;53;30;12;4
  Female householder \2;7 171;3 341;2 046;1 263;520;100;47;29;18;7
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
