Age of Householder;  Family households with children;;Married couple households with children;;Male householder with children \1;;Female householder with children \1;;;;;;;;
;;;;;;;;;;;;;;;
;Number (1,000);Percent of all family households;Number (1,000);Percent of all married couple households;Number (1,000);Percent of all male householder families \1;Number (1,000);Percent of all female householder families \1;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;addcheck;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
  1970, total;28 731;56;25 532;57;341;28;2 858;52;;;;;;;
  1980, total;31 022;52;24 961;51;616;36;5 445;63;;;;;;;
  1990, total;32 289;49;24 537;47;1 153;40;6 599;61;;;;;;6 538;
  2000, total;34 605;48;25 248;46;1 786;44;7 571;60;;;;;;7 511;
  2005, total;36 211;47;25 919;45;2 021;41;8 270;59;;;;;;8 211;
  2008, total;35 709;46;25 173;43;2 162;42;8 374;58;;;;;;8 316;
15 to 24 years old;1 779;53;711;58;174;21;894;68;;;;;;;
25 to 34 years old;9 842;74;6 455;72;633;53;2 753;90;;;;;;2 663;
35 to 44 years old;14 195;80;10 453;74;736;69;3 007;85;;;;;;;
45 to 54 years old;8 306;46;6 340;46;495;47;1 471;48;;;;;;1 423;
55 to 64 years old;1 316;10;1 034;9;90;17;191;12;;;;;;;
65 years old and over;272;2;179;2;35;7;58;3;;;;;;55;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
