Characteristic;Unit;Number (1,000);;;;;;;;;;;;;;PERCENT DISTRIBUTION;;;
;;;;;;;;;;;;;;;;;;;
;;All families;Married couple families;;;;;;  Female family householder \4;;;;;;Male family householder, \4 all races;All families;Married couple families;Female family householder \4;Male family householder \4
;;;;;;;;;;;;;;;;;;;
;;;All races \1;White \2;Black \2;Asian \2;Hispanic \3;Non-Hispanic White \3;All races \1;White \2;Black \2;Asian \2;Hispanic \3;Non-Hispanic White \3;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
2008;;;;;;;;;;;;;;;;;;;
    All families;1,000;77 873;58 370;50 247;4 322;2 647;6 888;43 739;14 404;9 427;4 138;431;2 522;7 171;5 100;100;100;100;100
;;;;;;;;;;;;;;;;;;;
Age of householder:;;;;;;;;;;;;;;;;;;;
  Under 25 years old;1,000;3 359;1 224;1 060;89;23;331;749;1 318;794;433;45;314;515;817;4;2;9;16
  25 to 34 years old;1,000;13 253;8 993;7 663;611;491;1 794;5 984;3 065;1 794;1 063;87;631;1 245;1 196;17;15;21;23
  35 to 44 years old;1,000;17 601;12 989;10 887;1 083;733;1 989;8 996;3 551;2 286;1 053;107;706;1 658;1 061;23;22;25;21
  45 to 54 years old;1,000;17 949;13 842;11 757;1 174;662;1 391;10 436;3 043;2 098;792;90;452;1 687;1 064;23;24;21;21
  55 to 64 years old;1,000;13 218;11 144;9 706;803;442;781;8 976;1 562;1 052;424;54;241;832;513;17;19;11;10
  65 to 74 years old;1,000;7 503;6 365;5 672;382;206;401;5 290;940;671;218;26;110;570;197;10;11;7;4
  75 years old and over;1,000;4 990;3 813;3 503;181;90;202;3 309;925;731;155;22;69;665;252;6;7;6;5
;;;;;;;;;;;;;;;;;;;
Without own children under 18;1,000;42 164;33 197;29 082;2 332;1 234;2 464;26 741;6 030;4 129;1 499;245;880;3 341;2 937;54;57;42;58
With own children under 18;1,000;35 709;25 173;21 165;1 990;1 414;4 425;16 998;8 374;5 298;2 639;186;1 642;3 830;2 162;46;43;58;42
  One own child under 18;1,000;15 160;9 733;8 051;819;623;1 478;6 692;4 104;2 655;1 231;103;684;2 046;1 323;19;17;28;26
  Two own children under 18;1,000;13 158;9 886;8 421;690;572;1 656;6 845;2 675;1 752;784;62;546;1 263;597;17;17;19;12
  Three or more own children under 18;1,000;7 391;5 555;4 693;481;218;1 291;3 461;1 594;891;622;21;412;520;242;9;10;11;5
;;;;;;;;;;;;;;;;;;;
Average per family with own children under 18;Number;1,86;1,92;1,94;2,01;1,67;2,06;1,90;1,77;1,72;1,91;1,55;1,93;1,62;1,53;(X);(X);(X);(X)
;;;;;;;;;;;;;;;;;;;
Age of own children:;;;;;;;;;;;;;;;;;;;
  Of any age;1,000;46 995;31 696;26 582;2 565;1 809;5 189;21 691;12 206;8 016;3 574;293;2 156;6 085;3 093;60;54;85;61
  Under 25 years old;1,000;41 647;29 221;24 572;2 330;1 635;4 875;19 976;9 837;6 251;3 074;226;1 869;4 588;2 589;53;50;68;51
  Under 18 years;1,000;35 709;25 173;21 165;1 990;1 414;4 425;16 998;8 374;5 298;2 639;186;1 642;3 830;2 163;46;43;58;42
  Under 12 years old;1,000;26 125;18 722;15 744;1 442;1 066;3 549;12 399;5 933;3 670;1 932;129;1 237;2 577;1 470;34;32;41;29
  Under 6 years old (See Table F1);1,000;15 733;11 510;9 714;839;649;2 312;7 542;3 312;1 941;1 179;79;733;1 289;912;20;20;23;18
  Under 3 years old;1,000;9 192;6 867;5 851;473;366;1 341;4 583;1 769;1 035;637;39;391;689;556;12;12;12;11
  Under 1 year old;1,000;3 401;2 602;2 257;171;117;475;1 806;582;363;193;3;140;238;217;4;4;4;4
;;;;;;;;;;;;;;;;;;;
Members 65 and older:;;;;;;;;;;;;;;;;;;;
  Without members 65 and older;1,000;61 852;45 909;39 218;3 578;2 165;6 022;33 529;11 783;7 532;3 584;319;2 216;5 556;4 160;79;79;82;82
  With members 65 and older;1,000;16 021;12 461;11 029;744;482;867;10 210;2 621;1 895;554;112;306;1 615;940;21;21;18;18
;;;;;;;;;;;;;;;;;;;
Marital status of householder:;;;;;;;;;;;;;;;;;;;
  Married, spouse present;1,000;58 370;58 370;50 247;4 322;2 647;6 888;43 739;(X);(X);(X);(X);(X);(X);(X);75;100;(X);(X)
  Married, spouse absent;1,000;2 721;(X);(X);(X);(X);(X);(X);2 079;1 350;584;91;567;853;642;3;(X);14;13
    Separated;1,000;1 932;(X);(X);(X);(X);(X);(X);1 546;1 003;468;40;416;634;386;2;(X);11;8
    Other;1,000;789;(X);(X);(X);(X);(X);(X);533;347;116;51;151;219;256;1;(X);4;5
  Widowed;1,000;2 718;(X);(X);(X);(X);(X);(X);2 269;1 686;468;69;245;1 457;449;3;(X);16;9
  Divorced;1,000;6 575;(X);(X);(X);(X);(X);(X);4 968;3 788;929;122;662;3 179;1 607;8;(X);34;32
  Never married;1,000;7 489;(X);(X);(X);(X);(X);(X);5 087;2 604;2 157;150;1 047;1 682;2 401;10;(X);35;47
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
