Race or Hispanic origin of householder or reference person;NUMBER (1,000);;;;;;;;;;;;;;;;;;;Percent distribution;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;1970;1980;1990;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;1970;1980;1990;1995;2000;2005;2008
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
      All races, total \1;29 631;32 150;34 670;36 058;37 008;37 168;37 077;37 619;37 657;37 430;37 496;38 344;38 472;38 847;38 980;39 317;39 374;39 983;38 938;100;100;100;100;100;100;100
Two-parent family groups \2;25 823;25 231;24 921;25 157;25 598;25 640;25 361;25 577;25 709;25 538;25 771;26 530;26 271;26 445;26 377;26 482;26 469;28 276;27 344;68;72;72;69;69;67;70
One-parent family groups;3 808;6 920;9 749;10 901;11 410;11 528;11 717;12 042;11 948;11 892;11 725;11 814;12 201;12 402;12 603;12 835;12 905;11 707;11 594;32;28;28;31;31;32;30
  Maintained by mother;3 415;6 230;8 398;9 339;9 854;9 834;9 855;10 012;9 828;9 841;9 681;9 658;9 969;10 142;10 322;10 366;10 404;9 965;9 753;26;23;24;26;26;26;25
  Maintained by father;393;690;1 351;1 562;1 556;1 694;1 862;2 030;2 120;2 051;2 044;2 156;2 232;2 260;2 282;2 469;2 501;1 742;1 841;5;5;4;5;5;6;4
;;;;;;;;;;;;;;;;;;;;;;;;;;
    White, total \3;26 115;27 294;28 294;29 225;29 645;29 846;29 947;30 242;30 314;30 132;30 079;30 669;30 550;30 639;30 459;30 960;30 947;31 357;30 451;100;100;100;100;100;100;100
Two-parent family groups \2;23 477;22 628;21 905;22 058;22 310;22 320;22 178;22 294;22 237;22 139;22 241;22 663;22 381;22 409;22 200;22 319;22 404;23 646;22 857;73;77;77;75;74;72;75
One-parent family groups;2 638;4 664;6 389;7 167;7 335;7 525;7 769;7 948;8 077;7 993;7 838;8 005;8 169;8 230;8 259;8 641;8 542;7 711;7 594;27;23;23;25;26;28;25
  Maintained by mother;2 330;4 122;5 310;5 901;6 144;6 239;6 329;6 396;6 328;6 368;6 216;6 309;6 423;6 471;6 584;6 747;6 628;6 359;6 138;21;18;19;21;21;22;20
  Maintained by father;307;542;1 079;1 265;1 191;1 286;1 440;1 552;1 749;1 625;1 622;1 696;1 746;1 758;1 674;1 894;1 914;1 353;1 456;5;5;4;4;5;6;5
;;;;;;;;;;;;;;;;;;;;;;;;;;
    Black, total \3;3 219;4 074;5 087;5 364;5 614;5 491;5 434;5 679;5 604;5 480;5 530;5 458;5 635;5 597;5 678;5 495;5 609;5 761;5 603;100;100;100;100;100;100;100
Two-parent family groups \2;2 071;1 961;2 006;1 987;1 978;1 962;1 942;2 020;2 111;2 017;2 135;2 145;2 179;2 120;2 091;2 065;2 051;2 404;2 256;37;42;39;36;39;38;40
One-parent family groups;1 148;2 114;3 081;3 377;3 636;3 529;3 493;3 659;3 493;3 463;3 396;3 312;3 456;3 477;3 587;3 430;3 558;3 357;3 347;63;58;61;64;61;62;59
  Maintained by mother;1 063;1 984;2 860;3 135;3 350;3 197;3 171;3 268;3 211;3 139;3 060;2 946;3 067;3 124;3 138;3 037;3 143;3 067;3 080;57;53;56;58;55;55;55
  Maintained by father;85;129;221;242;287;332;322;391;282;324;335;366;389;353;448;393;415;289;267;6;6;4;6;6;7;5
;;;;;;;;;;;;;;;;;;;;;;;;;;
    Asian, total \3;(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA);1 469;1 756;1 703;1 571;1 775;1 757;1 716;1 794;1 789;100;100;100;100;100;100;100
Two-parent family groups \2;(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA);1 184;1 459;1 402;1 326;1 485;1 472;1 431;1 568;1 513;(NA);(NA);(NA);(NA);81;84;84
One-parent family groups;(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA);285;297;301;245;290;285;286;226;276;(NA);(NA);(NA);(NA);19;16;15
  Maintained by mother;(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA);236;246;255;187;242;222;219;185;225;(NA);(NA);(NA);(NA);16;13;12
  Maintained by father;(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA);49;51;46;58;49;63;67;42;51;(NA);(NA);(NA);(NA);3;4;3
;;;;;;;;;;;;;;;;;;;;;;;;;;
    Hispanic, total \4;(NA);2 194;3 429;3 838;4 369;4 527;4 560;4 870;5 021;5 193;5 503;5 810;6 050;6 468;6 568;6 752;6 905;7 193;7 213;100;100;100;100;100;100;100
Two-parent family groups \2;(NA);1 626;2 289;2 494;2 786;2 879;2 858;3 115;3 233;3 354;3 625;3 819;3 936;4 211;4 273;4 346;4 524;4 984;5 072;65;70;67;64;66;64;70
One-parent family groups;(NA);568;1 140;1 344;1 583;1 647;1 702;1 756;1 789;1 839;1 877;1 991;2 114;2 257;2 295;2 406;2 380;2 209;2 141;35;30;33;36;34;36;30
  Maintained by mother;(NA);526;1 003;1 157;1 364;1 404;1 483;1 500;1 500;1 560;1 565;1 644;1 704;1 807;1 867;1 964;1 957;1 987;1 903;30;25;29;31;28;29;26
  Maintained by father;(NA);42;138;187;219;243;219;256;289;279;313;347;410;450;428;442;423;221;238;5;5;4;5;6;7;3
;;;;;;;;;;;;;;;;;;;;;;;;;;
    Non-Hispanic White, total \3, \4;(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA);24 847;25 171;24 862;24 675;24 412;24 730;24 579;24 697;23 765;100;100;100;100;100;100;100
Two-parent family groups \2;(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA);18 750;19 007;18 645;18 474;18 215;18 253;18 148;18 956;18 099;(NA);(NA);(NA);(NA);75;74;76
One-parent family groups;(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA);6 096;6 164;6 217;6 201;6 197;6 476;6 432;5 741;5 666;(NA);(NA);(NA);(NA);25;26;24
  Maintained by mother;(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA);4 766;4 793;4 868;4 870;4 901;4 984;4 899;4 585;4 423;(NA);(NA);(NA);(NA);19;20;18
  Maintained by father;(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA);1 331;1 371;1 348;1 330;1 296;1 492;1 532;1 155;1 243;(NA);(NA);(NA);(NA);5;6;5
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
