Parents and Children in Stay-At-Home Parent Family Groups;;;;;;
;;;;;;
;;;;;;
;;;;;;
Year;Married-Couple Family Groups;;;Children Under 15;;
;Total Married-Couple Family Groups with Children Under 15 (1,000);Stay-at-home Mothers (1,000);Stay-at-home Fathers (1,000);Total Children Under 15 in Married-Couple Family Groups (1,000);Children under 15 with Stay-at-home Mothers (1,000);Children under 15 with Stay-at-home Fathers (1,000)
1995;22 973 ;4 440 ;64 ;41 008 ;9 106 ;125 
1996;22 808 ;4 633 ;49 ;40 739 ;9 693 ;115 
1997;22 779 ;4 617 ;71 ;40 798 ;9 788 ;140 
1998;22 881 ;4 555 ;90 ;41 038 ;9 432 ;196 
1999;22 754 ;4 731 ;71 ;41 003 ;9 796 ;143 
2000;22 953 ;4 785 ;93 ;41 860 ;10 087 ;180 
2001;22 922 ;4 934 ;81 ;41 862 ;10 194 ;148 
2002;23 339 ;5 206 ;106 ;41 802 ;10 573 ;189 
2003;23 209 ;5 388 ;98 ;41 654 ;11 028 ;175 
2004;23 160 ;5 571 ;147 ;41 409 ;11 205 ;268 
2005;23 305 ;5 584 ;142 ;41 111 ;11 224 ;247 
2006;23 232 ;5 646 ;159 ;41 259 ;11 372 ;283 
2007;23 507 ;5 563 ;165 ;41 558 ;11 193 ;303 
2008;22 445 ;5 327 ;140 ;41 037 ;11 132 ;234 
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
