Race, Hispanic origin, and year;Number (1,000);;;;;;;;;;;;;;Percent living with--;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Total children under 18 years old;Living with--;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Both parents \1 ;One parent;;;;;;;;;;;Neither parent;Both parents \1;One parent;;;;;;;;;;;Neither parent
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Total;Mother only;;;;;Father only;;;;;;;Total;Mother only;;;;;Father only;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Total;Divorced;Married, spouse absent;Never married;Widowed;Total;Divorced;Married, spouse absent;Never married;Widowed;;;;Total;Divorced;Married, spouse absent;Never married;Widowed;Total;Divorced;Married, spouse absent;Never married;Widowed;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALL RACES \2;;;;;;;;;;;;;;;;;;;;;;;;;;;
1970;69 162; 58 939 ; 8 200 ; 7 452 ; 2 296 ; 3 234 ; 527 ; 1 395 ; 748 ; 177 ; 287 ;30 ;254 ; 2 023 ;85,2 ;11,9 ;10,8 ;3,3 ;4,7 ;0,8 ;2,0 ;1,1 ;0,3 ;0,4 ;0,0 ;0,4 ;2,9 
1980;63 427; 48 624 ; 12 466 ; 11 406 ; 4 766 ; 3 610 ; 1 745 ; 1 286 ; 1 060 ; 515 ; 288 ; 75 ; 183 ; 2 337 ;76,7 ;19,7 ;18,0 ;7,5 ;5,7 ;2,8 ;2,0 ;1,7 ;0,8 ;0,5 ;0,1 ;0,3 ;3,7 
1985;62 475; 46 149 ; 14 635 ; 13 081 ; 5 280 ; 3 367 ; 3 496 ; 939 ; 1 554 ; 750 ; 383 ; 260 ; 162 ; 1 691 ;73,9 ;23,4 ;20,9 ;8,5 ;5,4 ;5,6 ;1,5 ;2,5 ;1,2 ;0,6 ;0,4 ;0,3 ;2,7 
1987;62 932; 46 009 ; 15 071 ; 13 420 ; 5 325 ; 3 288 ; 3 985 ; 821 ; 1 651 ; 814 ; 432 ; 310 ; 95 ; 1 852 ;73,1 ;23,9 ;21,3 ;8,5 ;5,2 ;6,3 ;1,3 ;2,6 ;1,3 ;0,7 ;0,5 ;0,2 ;2,9 
1988 ;63 179; 45 942 ; 15 329 ; 13 521 ; 5 010 ; 3 371 ; 4 302 ; 838 ; 1 808 ; 861 ; 443 ; 371 ; 132 ; 1 908 ;72,7 ;24,3 ;21,4 ;7,9 ;5,3 ;6,8 ;1,3 ;2,9 ;1,4 ;0,7 ;0,6 ;0,2 ;3,0 
1989;63 637; 46 549 ; 15 493 ; 13 700 ; 5 227 ; 3 380 ; 4 290 ; 803 ; 1 793 ; 803 ; 307 ; 501 ; 182 ; 1 595 ;73,1 ;24,3 ;21,5 ;8,2 ;5,3 ;6,7 ;1,3 ;2,8 ;1,3 ;0,5 ;0,8 ;0,3 ;2,5 
1990;64 137; 46 503 ; 15 867 ; 13 874 ; 5 118 ; 3 416 ; 4 365 ; 975 ; 1 993 ; 1 004 ; 351 ; 488 ; 150 ; 1 767 ;72,5 ;24,7 ;21,6 ;8,0 ;5,3 ;6,8 ;1,5 ;3,1 ;1,6 ;0,5 ;0,8 ;0,2 ;2,8 
1991;65 093; 46 658 ; 16 624 ; 14 608 ; 5 206 ; 3 583 ; 5 040 ; 780 ; 2 016 ; 916 ; 462 ; 528 ; 110 ; 1 811 ;71,7 ;25,5 ;22,4 ;8,0 ;5,5 ;7,7 ;1,2 ;3,1 ;1,4 ;0,7 ;0,8 ;0,2 ;2,8 
