Item;Unit;Male householder;;;;;Female householder;;;;
;;;;;;;;;;;
;;Total;15 to 24 years old;25 to 44 years old;45 to 64 years old;65 years old and over;Total;15 to 24 years old;25 to 44 years old;45 to 64 years old;65 years old and over
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
  2008, total;1 000;17 872;1 668;6 678;6 406;3 119;21 038;1 526;4 140;6 871;8 500
One person (living alone);1 000;13 870;845;4 681;5 427;2 914;18 297;805;3 050;6 147;8 296
Nonrelatives present;1 000;4 002;823;1 996;980;203;2 742;721;1 092;724;203
;;;;;;;;;;;
Never married;1 000;9 030;1 601;4 779;2 202;447;6 729;1 460;2 950;1 753;565
Married \1;1 000;1 652;35;616;723;278;1 190;35;318;547;291
Widowed;1 000;1 916;7;45;361;1 503;7 381;10;98;1 127;6 146
Divorced;1 000;5 275;25;1 238;3 121;891;5 738;21;774;3 444;1 500
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
