Sex and age;Number of persons (1,000)                                Number of persons (1,000)                                                                        Number of persons (1,000)                                        Number of persons (1,000);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Percent distribution;;;;;;;;;;;;;
;;1970;;1975;;1980;1985;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;;;;;1970;;1975;;1980;1985;1990;1995;2000;2005;2008;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2008;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Total;Male;Female;;;;;;;;;;;;Total;Male;Female
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
  Total;;10 851;;13 939;;18 296;20 602;21 128;21 889;22 708;22 999;23 590;23 974;23 642;23 611;24 732;24 900;25 402;26 327;26 606;26 724;28 207;28 775;29 431;29 586;30 137;30 453;31 132;32 167;13 870;18 297;;100;;100;;100;100;100;100;100;100;100;100;100
15 to 24 years old;;556;;1 111;;1 726;1 324;1 252;1 244;1 315;1 210;1 140;1 156;1 186;1 126;1 196;1 072;1 083;1 251;1 313;1 144;1 418;1 292;1 540;1 530;1 521;1 590;1 597;1 650;845;805;;5;;8;;9;6;5;5;4;5;5;6;4
25 to 34 years old ;\2;1 604;\2;2 744;\2;4 729;3 905;3 858;4 019;4 097;3 972;4 116;3 924;3 735;3 717;3 653;3 736;3 630;3 679;3 714;3 848;3 775;3 923;3 809;3 888;3 836;3 751;3 930;3 931;2 361;1 570;\2;15;\2;20;\2;26;19;17;15;14;13;12;17;9
35 to 44 years old ;;(\2);;(\2);;(\2);2 322;2 642;2 837;2 970;3 138;3 402;3 480;3 286;3 518;3 663;3 803;3 878;4 054;4 074;4 109;4 175;4 103;4 210;3 883;3 988;3 886;3 726;3 800;2 320;1 480;;(\2);;(\2);;(\2);11;14;15;15;13;12;17;8
45 to 64 years old ;;3 622;;4 076;;4 514;4 939;4 865;5 104;5 476;5 502;5 550;5 890;6 081;5 967;6 377;6 447;6 877;7 421;7 757;7 842;8 607;8 992;9 324;9 626;10 180;10 490;11 013;11 574;5 427;6 147;;33;;29;;25;24;24;26;29;34;36;39;34
65 to 74 years old ;;2 815;;3 281;;3 851;4 130;4 160;4 243;4 355;4 350;4 494;4 561;4 330;4 199;4 374;4 377;4 361;4 098;4 125;4 091;4 127;4 279;4 201;4 198;4 222;4 295;4 354;4 542;1 459;3 083;;26;;24;;21;20;19;18;15;14;14;11;17
75 years old and over ;;2 256;;2 727;;3 477;3 982;4 351;4 440;4 496;4 825;4 887;4 962;5 025;5 086;5 470;5 464;5 573;5 825;5 622;5 692;6 107;6 187;6 347;6 461;6 391;6 442;6 513;6 671;1 457;5 213;;21;;20;;19;19;21;22;21;21;21;11;28
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
