Religious Group;;1990;2001;2008
;;;;
;;(1,000);(1,000);(1,000)
    Adult population, total \1;;175 440;207 983;228 182
  Total Christian;;151 225;159 514;173 402
Catholic;;46 004;50 873;57 199
Baptist;;33 964;33 820;36 148
Protestant-no denomination supplied;;17 214;4 647;5 187
Methodist/Wesleyan;;14 174;14 039;11 366
Lutheran;;9 110;9 580;8 674
Christian-no denomination supplied;;8 073;14 190;16 834
Presbyterian;;4 985;5 596;4 723
Pentecostal/Charismatic;;3 116;4 407;5 416
Episcopalian/Anglican;;3 043;3 451;2 405
Mormon/Latter-Day Saints;;2 487;2 697;3 158
Churches of Christ;;1 769;2 593;1 921
Jehovah's Witness;;1 381;1 331;1 914
Seventh-Day Adventist;;668;724;938
Assemblies of God;;617;1 105;810
Holiness/Holy;;610;569;352
Congregational/United Church of Christ;;438;1 378;736
Church of the Nazarene;;549;544;358
Church of God;;590;943;663
Orthodox (Eastern);;502;645;824
Evangelical/Born Again;;546;1 088;2 154
Mennonite;;235;346;438
Christian Science;;214;194;339
Church of the Brethren;;206;358;231
Nondenominational \2;;194;2 489;8 032
Disciples of Christ;;144;492;263
Reformed/Dutch Reform;;161;289;206
Apostolic/New Apostolic;;117;254;970
Quaker;;67;217;130
Full Gospel;;51;168;67
Christian Reform;;40;79;381
Foursquare Gospel;;28;70;116
Fundamentalist;;27;61;69
Salvation Army;;27;25;70
Independent Christian Church;;25;71;86
;;;;
  Total other religions;;5 853;7 740;8 796
Jewish;;3 137;2 837;2 680
Muslim;;527;1 104;1 349
Buddhist;;404;1 082;1 189
Unitarian/Universalist;;502;629;586
Hindu;;227;766;582
Native American;;47;103;186
Scientologist;;45;55;25
Baha'I;;28;84;49
Taoist;;23;40;56
New Age;;20;68;15
Eckankar;;18;26;30
Rastafarian;;14;11;56
Sikh;;13;57;78
Wiccan;;8;134;342
Deity;;6;49;32
Druid;;(NA);33;29
Santeria;;(NA);22;3
Pagan;;(NA);140;340
Spiritualist;;(NA);116;426
Ethical Culture;;(NA);4;11
Other unclassified;;837;386;735
;;;;
  No religion specified, total;;14 331;29 481;34 169
Atheist;;(\3);902;1 621
Agnostic;\3;1 186;991;1 985
Humanist;;29;49;90
Secular;;(NA);53;34
No religion;;13 116;27 486;30 427
;;;;
  Refused to reply to question;;4 031;11 246;11 815
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
