Religious body;Year reported;Churches reported;Membership;Number of Ordained Clergy Serving Parishes
;;;;
;;;;
;;;;
African Methodist Episcopal Church;1999;4 174;2 500 000;7 741
The African Methodist Episcopal Zion Church;2007;3 337;1 400 000;3 777
The Alliance of Baptists;2006;127;65 000;320
The American Baptist Association;2000;1 760;275 000;1 740
American Baptist Churches in the U.S.A.;2007;5 558;1 358 351;3 336
The Antiochian Orthodox Christian Archdiocese of North America;2007;256;430 000;480
Armenian Apostolic Church of America;2007;36;360 000;28
Armenian Apostolic Church, Diocese of America;2007;72;650 000;49
Assemblies of God;2007;12 362;2 863 265;19 790
Association of Vineyard Churches;2007;592;188 000;601
Baptist Bible Fellowship International;1997;4 500;1 200 000;(NA)
Baptist General Conference;2007;1 071;147 500;(NA)
Baptist Missionary Association of America;2007;1 306;177 463;1 239
The Catholic Church;2007;18 479;67 117 016;(NA)
Christian Brethren (also known as Plymouth Brethren);2006;1 150;86 000;
Christian Church (Disciples of Christ) in the United States and Canada;2007;3 731;689 507;3 859
Christian Churches and Churches of Christ;1988;5 579;1 071 616;5 525
The Christian Congregation, Inc.;2004;1 496;122 181;1 574
Christian Methodist Episcopal Church;2006;3 500;850 000;3 106
The Christian and Missionary Alliance;2007;2 009;420 006;2 805
Christian Reformed Church in North America;2007;776;191 000;685
Church of the Brethren;2007;1 055;125 418;779
Church of God (Anderson, Indiana);2007;2 248;252 905;5 130
The Church of God in Christ;1991;15 300;5 499 875;28 988
Church of God (Cleveland, Tennessee);2007;6 588;1 053 642;5 574
Church of God of Prophecy;2007;1 860;89 674;4 340
The Church of Jesus Christ of Latter-day Saints;2007;13 201;5 873 408;39 603
Church of the Nazarene;2007;5 096;642 523;5 572
Churches of Christ;2006;13 000;1 639 495;(NA)
Community of Christ;2007;935;178 328;(NA)
Conservative Baptist Association of America (CBAmerica);2006;12 000;200 000;1 800
Coptic Orthodox Church;2000;100;300 000;140
Cumberland Presbyterian Church;2007;730;78 451;631
Episcopal Church;2007;7 055;2 116 749;5 498
The Evangelical Church Alliance;2007;;293 375;2 428
The Evangelical Covenant Church;2006;783;114 283;1 486
The Evangelical Free Church of America;2003;1 420;350 000;2 025
Evangelical Lutheran Church in America;2007;10 448;4 709 956;8 808
Evangelical Presbyterian Church;2007;207;89 190;385
Free Methodist Church of North America;2007;1 030;75 150;(NA)
Full Gospel Fellowship of Churches and Ministers International;2007;1 273;432 632;2 631
General Association of Regular Baptist Churches;2007;1 321;132 700;(NA)
General Conference of Mennonite Brethren Churches;1996;368;82 130;590
Grace Gospel Fellowship;1992;128;60 000;160
Greek Orthodox Archdiocese of America;2006;560;1 500 000;553
IFCA International, Inc.;1998;659;61 655;(NA)
International Church of the Foursquare Gospel;2006;1 875;353 995;6 738
International Council of Community Churches;2006;155;73 174;630
International Pentecostal Holiness Church;2007;2 010;320 135;2 814
Jehovah’s Witnesses;2007;12 487;1 092 169;(NA)
The Lutheran Church-- Missouri Synod (LCMS);2007;6 167;2 383 084;5 373
Mennonite Church USA;2006;935;109 174;1 076
National Association of Congregational Christian Churches;2001;432;65 392;507
National Association of Free Will Baptists;2007;2 369;185 798;(NA)
National Baptist Convention of America, Inc.;2000;(NA);3 500 000;(NA)
National Baptist Convention, U.S.A., Inc.;2004;9 000;5 000 000;(NA)
National Missionary Baptist Convention of America;1992;(NA);2 500 000;(NA)
National Primitive Baptist Convention, Inc.;2002;1 565;600 000;(NA)
Old Order Amish Church;2001;898;80 820;3 592
The Orthodox Church in America;2004;737;1 064 000;824
Pentecostal Assemblies of the World, Inc.;2006;1 750;1 500 000;4 500
Pentecostal Church of God;2007;1 158;90 030;1 233
Polish National Catholic Church of America;2004;126;60 000;112
Presbyterian Church in America;2007;1 645;340 736;3 508
Presbyterian Church (U.S.A.);2007;10 820;2 941 412;8 221
Progressive National Baptist Convention, Inc.;1995;2 000;2 500 000;(NA)
Reformed Church in America;2007;891;264 863;807
Religious Society of Friends (Conservative);2004;1 200;104 000;(NA)
The Russian Orthodox Church Outside of Russia;2006;190;480 000;210
The Salvation Army;2007;1 438;413 028;2 526
Serbian Orthodox Church in the U.S.A. and Canada;2005;68;67 000;60
Seventh-day Adventist Church;2007;4 833;1 000 472;2 713
Southern Baptist Convention;2007;44 696;16 266 920;102 439
Unitarian Universalist Association of Congregations;2007;1 046;221 476;(NA)
United Church of Christ;2007;5 377;1 145 281;4 425
The United Methodist Church;2006;34 398;7 931 733;24 934
United Pentecostal Church International;2006;4 358;646 304;9 224
The Wesleyan Church;2007;1 626;138 164;2 288
Wisconsin Evangelical Lutheran Synod;2007;1 276;394 241;1 300
;;;;
;;;;
;;;;
;;;;
;;;;
