Christian Church Adherents and Jewish Population;;;;;;;;
State;Post office abbreviation;2-digit ANSI code;Christian church adherents, 2000;;Jewish population, 2008;;Jewish population, 2008;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;Number (1,000);Percent of population \1;Number (1,000);Percent of population \1;Number (1,000);Percent of population \1
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
  United States ;US;00;133 377;47,4;6 489;2,2;6 489;2,2
Alabama ;AL;01;2 418;54,4;9;0,2;9;0,2
Alaska ;AK;02;210;33,6;6;0,9;6;0,9
Arizona ;AZ;04;1 946;37,9;106;1,7;106;1,7
Arkansas ;AR;05;1 516;56,7;2;0,1;2;0,1
California ;CA;06;14 328;42,3;1 200;3,3;1 200;3,3
Colorado ;CO;08;1 604;37,3;90;1,9;90;1,9
Connecticut ;CT;09;1 828;53,7;113;3,2;113;3,2
Delaware ;DE;10;299;38,2;15;1,7;15;1,7
District of Columbia ;DC;11;331;57,8;28;4,8;28;4,8
Florida ;FL;12;5 904;36,9;655;3,6;655;3,6
Georgia ;GA;13;3 528;43,1;128;1,3;128;1,3
Hawaii ;HI;15;431;35,6;8;0,6;8;0,6
Idaho ;ID;16;624;48,3;1;0,1;1;0,1
Illinois ;IL;17;6 457;52,0;279;2,2;279;2,2
Indiana ;IN;18;2 578;42,4;17;0,3;17;0,3
Iowa ;IA;19;1 698;58,0;6;0,2;6;0,2
Kansas ;KS;20;1 307;48,6;18;0,7;18;0,7
Kentucky ;KY;21;2 141;53,0;11;0,3;11;0,3
Louisiana ;LA;22;2 599;58,2;10;0,2;10;0,2
Maine ;ME;23;450;35,3;14;1,1;14;1,1
Maryland ;MD;24;2 012;38,0;241;4,3;241;4,3
Massachusetts ;MA;25;3 725;58,7;278;4,3;278;4,3
Michigan ;MI;26;3 970;39,9;87;0,9;87;0,9
Minnesota ;MN;27;2 974;60,5;47;0,9;47;0,9
Mississippi ;MS;28;1 549;54,5;2;0,1;2;0,1
Missouri ;MO;29;2 813;50,3;59;1,0;59;1,0
Montana ;MT;30;401;44,4;1;0,1;1;0,1
Nebraska ;NE;31;995;58,2;7;0,4;7;0,4
Nevada ;NV;32;604;30,2;70;2,7;70;2,7
New Hampshire ;NH;33;571;46,2;10;0,8;10;0,8
New Jersey ;NJ;34;4 262;50,7;479;5,5;479;5,5
New Mexico ;NM;35;1 041;57,2;11;0,6;11;0,6
New York ;NY;36;9 569;50,4;1 618;8,4;1 618;8,4
North Carolina ;NC;37;3 598;44,7;28;0,3;28;0,3
North Dakota ;ND;38;468;72,9;(Z);0,1;0;0,1
Ohio ;OH;39;4 912;43,3;149;1,3;149;1,3
Oklahoma ;OK;40;2 079;60,3;5;0,1;5;0,1
Oregon ;OR;41;1 029;30,1;32;0,8;32;0,8
Pennsylvania ;PA;42;6 751;55,0;287;2,3;287;2,3
Rhode Island ;RI;44;646;61,7;19;1,8;19;1,8
South Carolina ;SC;45;1 874;46,7;11;0,3;11;0,3
South Dakota ;SD;46;510;67,6;(Z);(Z);0;0
Tennessee ;TN;47;2 867;50,4;19;0,3;19;0,3
Texas ;TX;48;11 316;54,3;130;0,5;130;0,5
Utah ;UT;49;1 659;74,3;4;0,2;4;0,2
Vermont ;VT;50;230;37,8;5;0,9;5;0,9
Virginia ;VA;51;2 807;39,7;98;1,3;98;1,3
Washington ;WA;53;1 872;31,8;43;0,7;43;0,7
West Virginia ;WV;54;646;35,7;2;0,1;2;0,1
Wisconsin ;WI;55;3 198;59,6;28;0,5;28;0,5
Wyoming ;WY;56;229;46,4;1;0,2;1;0,2
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
