;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Item;1980;1985;1990;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;preliminary;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
    Live births \1;3 612;3 761;4 158;3 900;3 891;3 881;3 942;3 959;4 059;4 026;4 022;4 090;4 112;4 138;4 266;4 317;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
White;2 936;3 038;3 290;3 099;3 093;3 073;3 119;3 133;3 194;3 178;3 175;3 226;3 223;3 229;3 310;      (NA);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Black;568;582;684;603;595;600;610;606;623;606;594;600;616;633;666;      (NA);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
American Indian, Eskimo, Aleut;29;34;39;37;38;39;40;41;42;42;42;43;44;45;47;49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Asian or Pacific Islander;74;105;142;160;166;170;173;182;201;200;211;221;229;231;241;255;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Male;1 853;1 928;2 129;1 996;1 990;1 986;2 016;2 027;2 077;2 058;2 058;2 094;2 105;2 119;2 184;      (NA);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Female;1 760;1 833;2 029;1 903;1 901;1 895;1 925;1 933;1 982;1 968;1 964;1 996;2 007;2 019;2 081;      (NA);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
  Males per 100 females (sex ratio);105;105;105;105;105;105;105;105;105;105;105;105;105;105;105;      (NA);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Age of mother:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
  Under 20 years old;562;478;533;512;503;493;494;485;478;454;433;421;422;421;442;451;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
  20 to 24 years old;1 226;1 141;1 094;966;945;942;965;982;1 018;1 022;1 022;1 032;1 034;1 040;1 081;1 083;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
  25 to 29 years old;1 108;1 201;1 277;1 064;1 071;1 069;1 083;1 078;1 088;1 058;1 060;1 086;1 104;1 132;1 182;1 209;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
  30 to 34 years old;550;696;886;905;898;887;889;892;929;943;951;976;966;951;950;962;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
  35 to 39 years old;141;214;318;384;400;410;425;434;452;452;454;468;476;483;499;500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
  40 to 44 years old;(NA);(NA);(NA);(NA);72;76;81;83;90;93;96;101;104;105;106;105;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
  45 to 54 years old;(NA);(NA);(NA);(NA);3;3;4;4;4;5;5;6;6;6;7;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
  Mean age of mother at first birth (years);22,7;23,7;24,2;24,5;(NA);(NA);(NA);(NA);24,9;25,0;25,1;25,2;25,2;25,2;25,0;      (NA);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
    Birth rate per 1,000 population;15,9;15,8;16,7;14,6;14,4;14,2;14,3;14,2;14,4;14,1;13,9;14,1;14,0;14,0;14,2;14,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
White;15,1;15,0;15,8;14,1;13,9;13,7;13,8;13,7;13,9;13,7;13,5;13,6;13,5;13,4;13,7;      (NA);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Black;21,3;20,4;22,4;17,8;17,3;17,1;17,1;16,8;17,0;16,3;15,7;15,7;16,0;16,2;16,8;      (NA);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
American Indian, Eskimo, Aleut;20,7;19,8;18,9;15,3;14,9;14,7;14,8;14,2;14,0;13,7;13,8;13,8;14,0;14,2;14,9;15,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Asian or Pacific Islander;19,9;18,7;19,0;16,7;16,5;16,2;15,9;15,9;17,1;16,4;16,5;16,8;16,8;16,5;16,6;17,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Age of mother:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
  10 to 14 years old;1,1;1,2;1,4;1,3;1,2;1,1;1,0;0,9;0,9;0,8;0,7;0,6;0,7;0,7;0,6;0,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
  15 to 19 years old;53,0;51,0;59,9;56,0;53,5;51,3;50,3;48,8;47,7;45,3;43,0;41,6;41,1;40,4;41,9;42,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
  20 to 24 years old;115,1;108,3;116,5;107,5;107,8;107,3;108,4;107,9;109,7;106,2;103,6;102,6;101,7;102,2;105,9;106,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
  25 to 29 years old;112,9;111,0;120,2;108,8;108,6;108,3;110,2;111,2;113,5;113,4;113,6;115,6;115,5;115,5;116,7;117,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
  30 to 34 years old;61,9;69,1;80,8;81,1;82,1;83,0;85,2;87,1;91,2;91,9;91,5;95,1;95,3;95,8;97,7;99,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
  35 to 39 years old;19,8;24,0;31,7;34,0;34,9;35,7;36,9;37,8;39,7;40,6;41,4;43,8;45,4;46,3;47,3;47,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
  40 to 44 years old ;3,9;4,0;5,5;6,6;6,8;7,1;7,4;7,4;8,0;8,1;8,3;8,7;8,9;9,1;9,4;9,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
  45 to 54 years old \2;0,2;0,2;0,2;0,3;0,3;0,4;0,4;0,4;0,5;0,5;0,5;0,5;0,5;0,6;0,6;0,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
    Fertility rate per 1,000 women \3;68,4;66,2;70,9;64,6;64,1;63,6;64,3;64,4;65,9;65,3;64,8;66,1;66,3;66,7;68,5;69,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
White ;65,6;64,1;68,3;63,6;63,3;62,8;63,6;64,0;65,3;65,0;64,8;66,1;66,1;66,3;68,0;      (NA);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Black ;84,9;78,8;84,8;71,0;69,2;69,0;69,4;68,5;70,0;67,6;65,8;66,3;67,6;69,0;72,1;      (NA);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
American Indian, Eskimo, Aleut ;82,7;78,6;76,2;63,0;61,8;60,8;61,3;59,0;58,7;58,1;58,0;58,4;58,9;59,9;63,1;64,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Asian or Pacific Islander ;73,2;68,4;69,6;62,6;62,3;61,3;60,1;60,9;65,8;64,2;64,1;66,3;67,1;66,6;67,5;71,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
