Birth order;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990 \1;1991 \a;1992 \a;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006
ALL RACES \2;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
  All births, total number \2;3 612 258;3 629 238;3 680 537;3 638 933;3 669 141;3 760 561;3 756 547;3 809 394;3 909 510;4 040 958;4 158 212;4 110 907;4 065 014;4 000 240;3 952 767;3 899 589;3 891 494;3 880 894;3 941 553;3 959 417;4 058 814;4 025 933;4 021 726;4 089 950;4 112 052;4 138 349;4 265 555
Twin births;68 339;70 049;71 631;72 287;72 949;77 102;79 485;81 778;85 315;90 118;93 865;94 779;95 372;96 445;97 064;96 736;100 750;104 137;110 670;114 307;118 916;121 246;125 134;128 665;132 219;133 122;137 085
Triplet and higher order multiple births;1 337;1 385;1 484;1 575;1 653;1 925;1 814;2 139;2 385;2 798;3 028;3 346;3 883;4 168;4 594;4 973;5 939;6 737;7 625;7 321;7 325;7 471;7 401;7 663;7 275;6 694;6 540
;;;;;;;;;;;;;;;;;;;;;;;;;;;
  Multiple birth rate \3;19,3;19,7;19,9;20,3;20,3;21,0;21,6;22,0;22,4;23,0;23,3;23,9;24,4;25,2;25,7;26,1;27,4;28,6;30,0;30,7;31,1;32,0;33,0;33,3;33,9;33,8;33,7
Twin birth rate \4;18,9;19,3;19,5;19,9;19,9;20,5;21,2;21,5;21,8;22,3;22,6;23,1;23,5;24,1;24,6;24,8;25,9;26,8;28,1;28,9;29,3;30,1;31,1;31,5;32,2;32,2;32,1
Triplet and higher order multiple birth rate \5;37,0;38,2;40,3;43,3;45,1;51,2;48,3;56,2;61,0;69,2;72,8;81,4;95,5;104,2;116,2;127,5;152,6;173,6;193,5;184,9;180,5;185,6;184,0;187,4;176,9;161,8;153,3
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
NON-HISPANIC WHITE;;;;;;;;;;;;;;;;;;;;;;;;;;;
  All births, total number;(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA);2 626 500;2 589 878;2 527 207;2 472 031;2 438 855;2 382 638;2 358 989;2 333 363;2 283 986;2 346 450;2 362 968;2 326 578;2 298 156;2 321 904;2 296 683;2 279 768;2 308 640
Twin births;(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA);60 210;60 904;60 640;61 525;62 476;62 370;65 523;67 191;71 270;73 964;76 018;77 882;79 949;81 691;83 346;82 223;83 108
Triplet and higher order multiple births;(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA);2 358;2 612;3 115;3 360;3 721;4 050;4 885;5 386;6 206;5 909;5 821;5 894;5 754;5 922;5 590;4 966;4 805
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Multiple birth rate \3;(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA);23,8;24,5;25,2;26,2;27,1;27,9;29,8;31,1;32,8;34,0;34,6;36,0;37,3;37,7;38,7;38,2;38,1
Twin birth rate \4;(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA);22,9;23,5;24,0;24,9;25,6;26,2;27,8;28,8;30,2;31,5;32,2;33,5;34,8;35,2;36,3;36,1;36,0
Triplet and higher order multiple birth rate \5;(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA);89,8;100,9;123,3;135,9;152,6;170,0;207,1;230,8;262,8;251,8;246,3;253,3;250,4;255,0;243,4;217,8;208,1
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
NON-HISPANIC BLACK;;;;;;;;;;;;;;;;;;;;;;;;;;;
  All births, total number;(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA);661 701;666 758;657 450;641 273;619 198;587 781;578 099;581 431;593 127;588 981;604 346;589 917;578 335;576 033;578 772;583 759;617 247
Twin births;(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA);17 646;18 243;18 294;18 115;17 934;16 622;16 873;17 472;18 589;18 920;20 173;19 974;20 064;20 010;20 605;21 254;22 702
Triplet and higher order multiple births;(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA);306;367;346;314;357;340;425;523;518;561;506;531;591;631;577;616;580
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Multiple birth rate \3;(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA);27,1;27,9;28,4;28,7;29,5;28,9;29,9;30,9;32,2;33,1;34,2;34,8;35,7;35,8;36,6;37,5;37,7
Twin birth rate \4;(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA);26,7;27,4;27,8;28,2;29;28,3;29,2;30;31,3;32,1;33,4;33,9;34,7;34,7;35,6;36,4;36,8
Triplet and higher order multiple birth rate \5;(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA);46,2;55;52,6;49;57,7;57,8;73,5;90;87,3;95,2;83,7;90,0;102,2;109,5;99,7;105,5;94,0
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
HISPANIC;;;;;;;;;;;;;;;;;;;;;;;;;;;
  All births, total number;(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA);595 073;623 085;643 271;654 418;665 026;679 768;701 339;709 767;734 661;764 339;815 868;851 851;876 642;912 329;946 349;985 505;1 039 077
Twin births;(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA);10 713;11 356;11 932;12 294;12 206;12 685;13 014;13 821;15 015;15 388;16 470;17 257;18 128;19 472;20 351;21 723;22 698
Triplet and higher order multiple births;(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA);235;235;239;321;348;355;409;516;553;583;659;710;737;784;723;761;787
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Multiple birth rate \3;(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA);18,4;18,6;18,9;19,3;18,9;19,2;19,1;20,2;21,2;20,9;21,0;21,1;21,5;22,2;22,3;22,8;22,6
