Live Births--Number and Rate;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;2007 preliminary;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;; ;;;;;;;
State;;;;Non-Hispanic white;Non-Hispanic black;Asian or Pacific Islander;American Indian, Eskimo, Aleut;;;
;Post office abbreviations;2-digit ANSI code;;;;;;;;
;;;All races \1;;;;;;Birth rate \3;Fertility rate \4
;;;;;;;;Hispanic \2;;
;;;;;;;;;;
  United States;US;00;4 317 119;2 312 473;627 230;254 734;49 284;1 061 970;14,3;69,5
Alabama ;AL;01;64 749;38 464;19 740;942;189;5 391;14,0;68,7
Alaska ;AK;02;11 101;6 291;409;835;2 836;825;16,2;77,5
Arizona ;AZ;04;102 992;42 521;3 914;3 597;6 700;46 373;16,2;81,1
Arkansas ;AR;05;41 377;27 720;8 080;721;261;4 515;14,6;73,1
California ;CA;06;566 352;155 930;31 777;74 292;3 626;296 942;15,5;72,5
Colorado ;CO;08;70 805;41 853;3 122;2 493;755;22 221;14,6;69,8
Connecticut ;CT;09;41 663;24 897;5 183;2 441;238;8 832;11,9;59,5
Delaware ;DE;10;12 171;6 494;3 215;530;16;1 912;14,1;68,4
District of Columbia;DC;11;8 862;2 227;4 936;259;2;1 450;15,1;60,0
Florida ;FL;12;239 143;107 843;51 835;7 988;805;70 833;13,1;68,4
Georgia ;GA;13;152 021;70 735;49 278;5 696;437;24 319;15,9;73,7
Hawaii ;HI;15;19 137;4 557;426;12 958;77;3 007;14,9;76,0
Idaho ;ID;16;25 019;20 190;139;416;451;3 870;16,7;83,4
Illinois ;IL;17;180 856;95 508;31 655;9 212;262;44 151;14,1;67,4
Indiana ;IN;18;89 847;68 907;10 229;1 693;118;8 805;14,2;69,7
Iowa ;IA;19;40 885;34 521;1 804;1 021;315;3 355;13,7;70,1
Kansas ;KS;20;42 004;30 512;3 059;1 367;376;6 689;15,1;75,6
Kentucky ;KY;21;59 370;49 842;5 418;1 018;114;3 092;14,0;68,6
Louisiana ;LA;22;66 260;36 172;25 343;1 160;476;3 188;15,4;73,3
Maine ;ME;23;14 120;13 186;325;223;125;209;10,7;55,6
Maryland ;MD;24;78 096;36 128;26 198;5 484;151;10 608;13,9;65,6
Massachusetts ;MA;25;77 962;53 274;7 262;6 013;185;10 900;12,1;57,4
Michigan ;MI;26;125 394;85 528;22 343;4 337;765;8 441;12,4;61,5
Minnesota ;MN;27;73 745;53 856;6 615;5 412;1 673;5 939;14,2;69,7
Mississippi ;MS;28;46 501;23 068;20 894;475;309;1 708;15,9;76,9
Missouri ;MO;29;81 928;62 211;12 610;1 978;435;4 667;13,9;68,8
Montana ;MT;30;12 444;9 623;62;145;1 599;372;13,0;68,6
Nebraska ;NE;31;26 923;20 008;1 794;754;618;4 068;15,2;76,2
Nevada ;NV;32;41 202;16 959;3 615;3 544;576;16 144;16,1;79,6
New Hampshire ;NH;33;14 169;12 620;203;540;54;593;10,8;53,8
New Jersey ;NJ;34;116 060;56 139;17 863;11 944;188;30 027;13,4;66,1
New Mexico ;NM;35;30 555;8 662;522;1 330;3 835;17 007;15,5;76,4
New York ;NY;36;253 458;125 632;42 738;24 084;629;60 134;13,1;62,1
North Carolina ;NC;37;131 016;72 416;30 635;3 988;1 772;22 113;14,5;69,6
North Dakota ;ND;38;8 840;7 277;129;110;1 012;278;13,8;69,8
Ohio ;OH;39;150 882;115 583;24 222;3 291;320;6 611;13,2;65,5
Oklahoma ;OK;40;55 078;35 334;4 914;1 259;6 517;7 173;15,2;76,0
Oregon ;OR;41;49 372;34 256;1 145;2 712;955;10 133;13,2;66,1
Pennsylvania ;PA;42;150 731;107 818;21 281;6 260;407;13 793;12,1;61,9
Rhode Island ;RI;44;12 375;5 999;1 045;536;159;2 588;11,7;55,8
South Carolina ;SC;45;62 891;34 411;20 489;1 159;274;6 215;14,3;69,9
South Dakota ;SD;46;12 259;9 351;212;149;2 158;471;15,4;80,0
Tennessee ;TN;47;86 707;58 588;17 768;2 003;387;8 383;14,1;68,8
Texas ;TX;48;407 640;140 272;46 397;16 032;1 064;204 498;17,1;80,1
Utah ;UT;49;55 131;42 844;539;1 761;768;9 042;20,8;94,4
Vermont ;VT;50;6 513;6 178;95;91;14;78;10,5;53,2
Virginia ;VA;51;108 874;62 155;23 842;8 021;176;14 966;14,1;67,0
Washington ;WA;53;88 958;56 299;3 812;9 303;2 492;16 881;13,8;66,9
West Virginia ;WV;54;21 992;20 700;778;181;23;253;12,1;63,1
Wisconsin ;WI;55;72 796;54 549;7 240;2 895;1 255;6 934;13,0;65,0
Wyoming ;WY;56;7 893;6 361;79;79;333;969;15,1;77,7
;;;;;;;;;;
  Puerto Rico;PR;72;46 636;1 381;115;(NA);(NA);45 123;11,8;55,2
  Virgin Islands;VI;78;1 674;125;1 139;(-);82;270;15,2;74,0
  Guam;GU;66;(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA)
  American Samoa;AS;60;1 288;(NA);(NA);1 288;(-);(NA);20,1;90,5
  Northern Marianas;MP;69;1 345;(NA);(NA);1 327;(-);(NA);15,9;38,8
;;;;;;;;;;
