;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Race and Hispanic origin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007 \1;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
  Total \2;1 840;1 812;1 828;1 799;1 807;1 844;1 838;1 872;1 934;2 014;2 081;2 063;2 046;2 020;2 002;1 978;1 976;1 971;1 999;2 008;2 056;2 034;2 013;2 043;2 046;2 054;2 101;2 123;;;;;;;;
White;1 773;1 748;1 767;1 741;1 749;1 787;1 776;1 805;1 857;1 931;2 003;1 988;1 978;1 962;1 958;1 955;1 961;1 955;1 991;2 008;2 051;2 040;2 028;2 061;2 055;2 056;2 096;(NA);;;;;;;;
Black;2 177;2 118;2 107;2 066;2 071;2 109;2 136;2 198;2 298;2 433;2 480;2 462;2 416;2 351;2 259;2 128;2 089;2 092;2 112;2 083;2 129;2 051;1 991;1 999;2 033;2 071;2 155;(NA);;;;;;;;
American Indian, Eskimo, Aleut;2 165;2 093;2 215;2 182;2 138;2 130;2 083;2 101;2 155;2 249;2 185;2 143;2 136;2 049;1 950;1 879;1 855;1 835;1 851;1 784;1 773;1 747;1 735;1 732;1 735;1 750;1 829;1 861;;;;;;;;
Asian or Pacific Islander;1 954;1 976;2 016;1 944;1 892;1 885;1 836;1 886;1 984;1 948;2 003;1 928;1 895;1 842;1 834;1 796;1 787;1 758;1 732;1 755;1 892;1 840;1 820;1 873;1 898;1 889;1 919;2 043;;;;;;;;
Hispanic \3;(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA);2 904;2 960;2 964;2 958;2 895;2 839;2 799;2 772;2 681;2 653;2 649;2 730;2 749;2 718;2 786;2 825;2 885;2 960;2 992;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
