;Number of births;;;;;;;;;;;;;;;;Birth rate;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Item;;1990;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007 \1;1990;1995;2000;2004;2005;2006;2007 \1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NUMBER OF BIRTHS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
    All races, 15 to 19 years ;\2;521 826;505 488;499 873;494 272;489 211;484 975;476 050;468 990;445 944;425 493;414 580;415 262;414 593;435 436;445 045;59,9;56,0;47,7;41,1;40,5;41,9;42,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15 to 17 years;;183 327;195 169;192 508;186 762;183 324;173 252;163 588;157 209;145 324;138 731;134 384;133 980;133 191;138 943;140 640;37,5;35,5;26,9;22,1;21,4;22,0;22,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18 to 19 years;;338 499;310 319;307 365;307 509;305 886;311 724;312 462;311 781;300 620;286 762;280 196;281 282;281 402;296 493;304 405;88,6;87,7;78,1;70,0;69,9;73,0;73,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
White, 15 to 19 years ;;354 482;348 081;349 635;346 509;342 029;340 894;337 888;333 013;318 563;305 988;298 347;297 133;295 265;308 344;(NA);50,8;49,5;43,2;37,7;37,0;38,2;(NA);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
  15 to 17 years;;114 934;126 388;127 165;124 031;121 864;116 699;111 624;106 786;99 192;95 864;92 576;92 131;91 503;94 807;(NA);29,5;29,7;23,3;19,5;18,9;19,4;(NA);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
  18 to 19 years;;239 548;221 693;222 470;222 477;220 164;224 195;226 264;226 227;219 371;210 124;205 771;205 002;203 762;213 537;(NA);78,0;80,0;72,3;65,0;64,8;67,5;(NA);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Black, 15 to 19 years;;151 613;140 968;133 694;131 059;130 401;126 865;121 166;118 954;110 843;103 795;100 951;102 793;103 905;111 019;(NA);112,8;94,4;77,4;63,3;61,9;64,6;(NA);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
  15 to 17 years;;62 881;62 563;59 112;56 218;54 883;50 062;45 919;44 618;40 842;37 889;36 855;36 855;36 704;38 878;(NA);82,3;68,6;49,0;37,2;35,4;36,6;(NA);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
  18 to 19 years;;88 732;78 405;74 582;74 841;75 518;76 803;75 247;74 336;70 001;65 906;64 096;65 938;67 201;72 141;(NA);152,9;134,6;118,8;104,4;104,7;110,2;(NA);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
American Indian, Eskimo, Aleut, 15 to 19 years;;(NA);(NA);7 764;(NA);(NA);(NA);(NA);8 055;7 939;7 707;7 690;7 704;7 807;8 261;8 925;81,1;72,9;58,3;52,5;52,7;55,0;59,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
  15 to 17 years;;(NA);(NA);3 025;(NA);(NA);(NA);(NA);2 897;2 695;2 663;2 675;2 666;2 755;2 820;2 909;48,5;44,6;34,1;30,0;30,5;30,7;31,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
  18 to 19 years;;(NA);(NA);4 739;(NA);(NA);(NA);(NA);5 158;5 244;5 044;5 015;5 038;5 052;5 441;6 016;129,3;122,2;97,1;87,0;87,6;93,0;101,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Asian or Pacific Islander, 15 to 19 years;;(NA);(NA);8 780;(NA);(NA);(NA);(NA);8 968;8 599;8 003;7 592;7 632;7 616;7 812;8 022;26,4;25,5;20,5;17,3;17,0;17,0;17,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
