Race and age of mother;Number (1,000);;;;;;;;;;Percent distribution;;;;;;;;;;Birth Rate \1;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;1990;1995;2000;2001;2002;2003;2004;2005;2006;;1990;1995;2000;2001;2002;2003;2004;2005;2006;;1990;1995;2000;;2001;;2002;;2003;;2004;;2005;;2006
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
    Total live births \2;;1 165;1 254;1 347;1 349;1 366;1 416;1 470;1 527;1 642;;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;;43,8;44,3;44,1;;43,8;;43,7;;44,9;;46,1;;47,5;;50,6
White;;670;785;866;880;904;947;983;1 023;1 104;;57,5;62,6;64,3;65,2;66,2;66,9;66,9;67,0;67,2;;32,9;37,0;38,2;;38,5;;38,9;;40,4;;41,6;;43,0;;46,1
Black;;455;421;427;415;405;409;424;439;468;;39,1;33,6;31,7;30,8;29,6;28,9;28,8;28,7;28,5;;90,5;74,5;70,5;;68,1;;66,2;;66,3;;67,2;;67,8;;71,5
American Indian, Eskimo, Aleut;;(NA);(NA);(NA);(NA);25;26;27;28;31;;(NA);(NA);(NA);(NA);1,9;1,9;1,9;1,9;1,9;;(NA);(NA);(NA);;(NA);;(NA);;(NA);;(NA);;(NA);;     (NA)
Asian or Pacific Islander;;(NA);(NA);(NA);(NA);31;33;35;37;40;;(NA);(NA);(NA);(NA);2,3;2,3;2,4;2,4;2,4;;(NA);(NA);20,9;;21,2;;21,3;;22,2;;23,6;;24,9;;25,9
Hispanic;\3;219;278;348;362;381;411;440;473;518;\3;18,8;22,1;25,8;26,8;27,9;29,0;29,9;31,0;31,6;\3;89,6;88,8;87,2;;87,8;;87,9;;92,2;;95,7;;100,3;;106,1
Non-Hispanic White;\3;443;504;522;524;529;547;563;578;615;\3;38,0;40,2;38,7;38,9;38,7;38,6;38,3;37,8;37,4;\3;24,4;28,1;28,0;;27,8;;27,8;;28,6;;29,4;;30,1;;32,0
Non-Hispanic Black;;(NA);(NA);415;405;396;395;401;408;436;;(NA);(NA);30,8;30,0;29,0;27,9;27,3;26,7;26,6;;(NA);(NA);(NA);;(NA);;(NA);;(NA);;(NA);;(NA);;     (NA)
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Under 15 years;;11;11;8;7;7;6;7;7;6;;0,9;0,9;0,6;0,5;0,5;0,5;0,4;0,4;0,4;;(NA);(NA);(NA);;(NA);;(NA);;(NA);;(NA);;(NA);;     (NA)
15 to 19 years;;350;376;369;352;340;337;342;345;367;;30,0;30,0;27,4;26,1;24,9;23,8;23,3;22,6;22,3;;42,5;43,8;39,0;;37,0;;35,4;;34,8;;34,7;;34,5;;36,2
20 to 24 years;;404;432;504;515;528;549;566;585;626;;34,7;34,5;37,4;38,2;38,6;38,8;38,5;38,3;38,1;;65,1;68,7;72,2;;71,2;;70,5;;71,2;;72,5;;74,9;;79,5
25 to 29 years;;230;229;255;258;268;287;308;332;366;;19,7;18,2;18,9;19,1;19,6;20,3;20,9;21,7;22,3;;56,0;54,3;58,5;;59,5;;61,5;;65,7;;68,6;;71,1;;74,9
30 to 34 years;;118;133;130;135;139;148;155;162;174;;10,1;10,6;9,7;10,0;10,2;10,4;10,6;10,6;10,6;;37,6;38,9;39,3;;40,4;;40,8;;44,0;;47,0;;50,0;;54,8
35 to 39 years;;44;60;65;65;66;69;72;76;82;;3,8;4,8;4,8;4,8;4,8;4,9;4,9;5,0;5,0;;17,3;19,3;19,7;;20,4;;20,8;;22,3;;23,5;;24,5;;26,8
40 years and over;;9;13;16;17;17;19;20;21;22;;0,7;1,0;1,2;1,3;1,3;1,4;1,4;1,4;1,3;;3,6;4,7;5,0;\4;5,3;\4;5,4;\4;5,8;\4;6,0;\4;6,2;\4;6,5
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
