;1990       (1,000);2000       (1,000);2002       (1,000);2003;;;;2004;;;;2005;;;;2006;;;
Method of delivery;;;;;;;;;;;;;;;;;;;
;;;;Total \1   (1,000);Hispanic   (1,000);Non-Hispanic white   (1,000);Non-Hispanic black   (1,000);Total \1   (1,000);Hispanic   (1,000);Non-Hispanic white   (1,000);Non-Hispanic black   (1,000);Total \1   (1,000);Hispanic   (1,000);Non-Hispanic white   (1,000);Non-Hispanic black   (1,000);Total \1   (1,000);Hispanic   (1,000);Non-Hispanic white   (1,000);Non-Hispanic black   (1,000)
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
    Births, total;4 111;4 059;4 022;4 090;912;2 322;576;4 112;946;2 297;579;4 138;986;2 280;584;4 266;1 039;2 309;617
Vaginal;3 111;3 108;2 958;2 950;668;1 671;406;2 903;679;1 618;398;2 874;698;1 580;392;2 930;729;1 581;411
Cesarean deliveries;914;924;1 044;1 119;241;637;168;1 190;263;668;178;1 249;285;690;189;1 321;308;719;204
Not stated;85;27;19;21;4;13;3;19;4;11;2;16;2;10;2;15;2;9;2
;;;;;;;;;;;;;;;;;;;
Cesarean delivery rate \2 ;22,7;22,9;26,1;27,5;26,5;27,6;29,2;29,1;28,0;29,2;31,0;30,3;29,0;30,4;32,6;31,1;29,7;31,3;33,1
Rate of vaginal birth after previous Cesarean \3;19,9;20,6;12,6;10,6;9,4;10,7;11,3;9,2;8,3;9,3;10,1;(NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA)
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
