Gestational age;1990 \1 (percent);1995  (percent);2000  (percent);2001  (percent);2002  (percent);2003  (percent);2004  (percent);2005  (percent);2006  (percent)
;;;;;;;;;
    All gestations;9,6;16,2;20,2;20,8;21,1;21,1;21,7;22,8;23,1
Under 37 weeks (preterm);6,9;11,6;14,8;14,7;14,7;14,5;15,1;15,6;15,6
  Under 32 weeks;5,0;7,8;9,2;8,9;8,8;8,6;8,7;8,9;8,9
  32-33 weeks;6,4;10,6;13,3;12,8;12,8;12,8;13,0;13,4;13,5
  34-36 weeks ;7,5;12,6;16,2;16,2;16,2;16,0;16,7;17,3;17,3
37 weeks and over (term);9,9;16,7;20,8;21,6;21,8;21,9;22,5;23,7;(NA)
  37-39 weeks ;7,9;14,3;18,9;19,6;19,8;19,8;20,6;21,7;22,0
  40-41 weeks ;10,7;18,5;22,9;24,1;24,6;24,8;25,3;26,8;27,4
  42 weeks and over;14,9;21,3;24,4;24,4;24,3;24,3;25,4;26,2;26,8
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
