State and outlying area;;;  Births to teenage mothers, percent of total \1;;;;;;;;;;Births to unmarried women, percent of total;;;;;;;;;;Percent of births with low birth weight \2;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Post office abbreviations;2-digit ANSI code;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;1990;1995;2000;2001;2002;2003;2004;2005;2006;2007;1990;1995;2000;2001;2002;2003;2004;2005;2006;2007;1990;2000;2002;2003;2004;2005;2006;2007
;;;;;;;;;;;;Preliminary;;;;;;;;;;Preliminary;;;;;;;;Preliminary
  United States;US;00;12,8;13,1;11,8;11,3;10,8;10,3;10,3;10,2;10,4;10,5;26,6;32,2;33,2;33,5;34,0;34,6;35,8;36,9;38,5;39,7;7,0;7,6;7,8;7,9;8,1;8,2;8,3;8,2
Alabama;AL;01;18,2;18,5;15,7;14,9;14,6;13,9;13,9;13,1;13,8;13,6;30,1;34,5;34,3;34,4;34,8;35,0;36,2;35,7;36,6;38,4;8,4;9,7;9,9;10,0;10,4;10,7;10,5;10,4
Alaska;AK;02;9,7;11,2;11,8;10,7;10,9;10,6;10,5;10,0;10,1;10,1;26,2;29,9;33,0;32,8;34,0;34,6;34,6;36,0;36,8;37,2;4,8;5,6;5,8;6,0;6,0;6,1;6,0;5,7
Arizona;AZ;04;14,2;15,1;14,3;13,8;13,2;12,9;12,7;12,5;12,7;12,7;32,7;38,2;39,3;39,5;40,4;41,5;42,2;43,1;44,0;45,2;6,4;7,0;6,8;7,1;7,2;6,9;7,1;7,1
Arkansas;AR;05;19,7;19,6;17,3;16,3;15,5;15,1;15,1;14,7;14,8;14,6;29,4;32,9;35,7;36,1;37,1;38,0;38,8;40,2;41,8;43,4;8,2;8,6;8,6;8,9;9,3;8,9;9,2;9,1
California;CA;06;11,6;12,4;10,6;10,2;9,6;9,3;9,3;9,3;9,5;9,5;31,6;32,1;32,7;32,7;33,0;33,5;34,4;35,7;37,6;38,9;5,8;6,2;6,4;6,6;6,7;6,9;6,8;6,9
Colorado;CO;08;11,3;12,1;11,7;10,9;10,7;9,8;10,0;9,8;9,7;9,7;21,2;24,9;25,0;25,0;26,8;26,7;27,5;27,1;27,6;25,4;8,0;8,4;8,9;9,0;9,0;9,2;8,9;9,0
Connecticut;CT;09;8,2;8,6;7,8;7,4;7,0;6,7;6,9;6,8;7,0;6,9;26,6;30,6;29,3;29,2;29,1;30,0;30,6;32,2;34,0;35,1;6,6;7,4;7,8;7,5;7,8;8,0;8,1;8,1
Delaware;DE;10;11,9;13,2;12,3;12,0;11,1;10,8;10,6;10,7;10,7;10,4;29,0;34,9;37,9;39,9;40,6;41,9;42,3;44,3;45,5;46,9;7,6;8,6;9,9;9,4;9,0;9,5;9,3;9,3
District of Columbia;DC;11;17,8;16,3;14,2;13,4;12,8;11,4;11,2;11,0;12,0;12,1;64,9;65,8;60,3;57,4;56,5;53,6;55,9;56,0;57,6;58,5;15,1;11,9;11,6;10,9;11,1;11,2;11,5;11,1
Florida;FL;12;13,9;13,7;12,6;12,0;11,5;10,9;10,9;10,8;10,9;10,9;31,7;35,8;38,2;39,0;39,3;39,9;41,4;42,8;44,4;46,1;7,4;8,0;8,4;8,5;8,5;8,7;8,7;8,7
Georgia;GA;13;16,7;16,3;13,9;13,2;12,4;11,9;11,9;11,9;12,1;12,2;32,8;35,2;37,0;37,3;37,8;38,1;39,2;40,6;42,4;43,3;8,7;8,6;8,9;9,0;9,3;9,5;9,6;9,1
Hawaii;HI;15;10,5;10,1;10,3;9,9;8,9;8,4;8,0;8,3;8,6;8,5;24,8;29,2;32,2;33,0;33,6;33,5;33,4;36,3;36,0;36,9;7,1;7,5;8,3;8,6;7,9;8,2;8,1;8,0
Idaho;ID;16;12,3;14,0;11,6;10,8;10,0;9,6;9,2;8,8;8,9;9,1;16,7;19,9;21,6;22,0;21,9;22,3;22,6;22,9;24,3;25,5;5,7;6,7;6,1;6,5;6,8;6,7;6,9;6,5
Illinois;IL;17;13,1;12,9;11,4;10,9;10,3;9,7;9,9;9,7;10,0;10,1;31,7;33,8;34,5;34,5;34,8;35,3;36,3;37,1;38,7;40,1;7,6;7,9;8,2;8,3;8,4;8,5;8,6;8,5
