;Total women (1,000)                 ; Percent childless              ; Women who had a child in the last year ;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;Total births;;First births;;;;;;;;;
;;;;;;;;;;;;;;
Characteristic;;; Number (1,000)        ; Per 1,000 women         ; Number (1,000)        ; Per 1,000 women         ;;;;;;;;
1990;58 381; 41,6 ; 3 913 ; 67,0 ; 1 540 ; 26,4 ;;;;;;;;
2000;60 873; 42,8 ; 3 934 ; 64,6 ; 1 626 ; 26,7 ;;;;;;;;
2002;61 361; 43,5 ; 3 766 ; 61,4 ; 1 415 ; 23,1 ;;;;;;;;
2004;61 588; 44,6 ; 3 746 ; 60,8 ; 1 474 ; 23,9 ;;;;;;;;
2006;61 683; 45,1 ; 3 974 ; 64,4 ; 1 551 ; 25,1 ;;;;;;;;
    2008, total;61 692; 45,7 ; 3 960 ; 64,2 ; 1 560 ; 25,3 ;;;;;;;;
Age: ;;;;;;;;;;;;;;
  15 to 19 years old ;10 405; 93,7 ; 371 ; 35,6 ; 240 ; 23,1 ;;;;;;;;
  20 to 24 years old ;10 156; 70,6 ; 864 ; 85,1 ; 475 ; 46,8 ;;;;;;;;
  25 to 29 years old ;10 362; 46,2 ; 1 138 ; 109,8 ; 443 ; 42,7 ;;;;;;;;
  30 to 34 years old ;9 618; 26,8 ; 874 ; 90,9 ; 265 ; 27,6 ;;;;;;;;
  35 to 39 years old ;10 403; 19,4 ; 550 ; 52,9 ; 99 ; 9,5 ;;;;;;;;
  40 to 44 years old ;10 748; 17,8 ; 163 ; 15,2 ; 37 ; 3,5 ;;;;;;;;
Race and Hispanic origin:;;;;;;;;;;;;;;
  White alone;47 616; 46,4 ; 3 034 ; 63,7 ; 1 183 ; 24,8 ;;;;;;;;
    White alone, non-Hispanic;37 846; 48,5 ; 2 276 ; 60,1 ; 925 ; 24,4 ;;;;;;;;
  Black alone;8 940; 41,4 ; 613 ; 68,5 ; 258 ; 28,9 ;;;;;;;;
