Women Who Had a Child in the Last Year;;;;;;;;;
;;;;;;;;;
Year;Total, 15 to 44 years old;;;15 to 29 years old;;;30 to 44 years old;;
;;;;;;;;;
;Number (1,000);In the labor force;;Number (1,000);In the labor force;;Number (1,000);In the labor force;
;;;;;;;;;
;;Number (1,000);Percent;;Number (1,000);Percent;;Number (1,000);Percent
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
1976;2 797;865;31;2 220;706;32;577;159;28
1980 \1;3 247;1 233;38;2 476;947;38;770;287;37
1981 \1;3 381;1 411;42;2 499;1 004;40;881;407;46
1982 \1;3 433;1 508;44;2 445;1 040;43;988;469;48
1983 \1;3 625;1 563;43;2 682;1 138;42;942;425;45
1984 \1;3 311;1 547;47;2 375;1 058;45;936;489;52
1985 \1;3 497;1 691;48;2 512;1 204;48;984;488;50
1986 \1;3 625;1 805;50;2 452;1 185;48;1 174;620;53
1987 \1;3 701;1 881;51;2 521;1 258;50;1 180;623;53
1988 \1;3 667;1 866;51;2 384;1 177;49;1 283;688;54
1990;3 913;2 068;53;2 568;1 275;50;1 346;793;59
1992;3 688;1 985;54;2 346;1 182;50;1 342;802;60
1994;3 890;2 066;53;2 389;1 209;51;1 501;857;57
1995;3 696;2 034;55;2 252;1 150;51;1 444;884;61
1998;3 671;2 155;59;2 274;1 275;56;1 397;880;63
2000;3 934;2 170;55;2 432;1 304;54;1 502;866;58
2002;3 766;2 056;55;2 318;1 175;51;1 448;881;61
2004;3 746;2 045;55;2 205;(NA);(NA);1 542;(NA);59
2006;3 974;2 221;56;2 399;1 273;53;1 576;948;60
2008;3 960;2 261;57;2 372;1 299;55;1 587;962;61
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
