;;Number of opposite-sex partners in lifetime;;;;;;;Any same-sex sexual contact \2
Characteristic;;;;;;;;;
;Number (1,000);;;;;;15 or more;Median number \1;
;;Any;One;Two;3 to 6;7 to 14;;;
    Males, 15 to 44 years old \3;61 147;90,3;12,8;8,1;27,5;19,3;22,6;5,4;6,0
15 to 19 years old;10 208;61,6;23,0;9,2;20,7;6,2;2,5;1,9;4,5
20 to 24 years old;9 883;91,1;15,9;11,7;33,5;14,1;15,9;3,8;5,5
25 to 44 years old;41 056;97,3;9,6;7,0;27,8;23,7;29,2;6,7;6,5
  25 to 29 years old;9 226;95,2;10,0;8,8;29,4;23,2;23,8;5,9;5,7
  30 to 34 years old;10 138;97,2;10,7;6,9;28,5;21,9;29,2;6,4;(NA)
  35 to 39 years old;10 557;98,2;8,9;7,0;28,0;25,5;28,8;6,9;(NA)
  40 to 44 years old;11 135;98,2;8,8;5,4;25,6;24,2;34,2;8,2;(NA)
;;;;;;;;;
White only, non-Hispanic;38 738;90,3;13,4;8,3;27,1;19,2;22,3;5,3;(NA)
Black only, non-Hispanic;6 940;91,8;5,8;5,9;24,1;22,2;33,8;8,3;(NA)
Hispanic or Latino origin;10 188;91,8;13,7;8,6;32,8;18,6;18,1;4,5;(NA)
;;;;;;;;;
Currently married;25 808;100,0;15,4;8,5;30,5;22,3;23,3;5,2;3,4
Currently cohabiting;5 653;100,0;4,7;6,4;34,1;26,6;28,3;6,6;5,3
Never married, not cohabiting;25 412;76,8;13,9;8,7;24,0;13,8;16,4;4,3;8,6
Formerly married, not cohabiting;4 274;100,0;0,7;3,6;22,5;24,6;48,6;11,9;7,1
;;;;;;;;;
    Females, 15 to 44 years old \3;61 561;91,4;22,5;10,8;32,6;16,3;9,2;3,3;11,2
15 to 19 years old;9 834;62,2;27,2;9,0;19,1;5,0;1,9;1,4;10,6
20 to 24 years old;9 840;91,1;24,6;13,0;32,2;14,4;6,9;2,8;14,2
25 to 44 years old;41 887;98,4;20,9;10,7;36,0;19,4;11,4;3,8;10,7
  25 to 29 years old;9 249;97,5;22,5;11,7;31,3;20,1;11,9;3,5;14,1
  30 to 34 years old;10 272;98,0;20,5;9,4;38,8;18,0;11,3;3,8;(NA)
  35 to 39 years old;10 853;98,9;20,2;11,2;35,8;20,5;11,2;3,9;(NA)
  40 to 44 years old;11 512;98,6;20,4;10,5;37,4;19,1;11,2;3,8;(NA)
;;;;;;;;;
White only, non-Hispanic;39 498;92,1;21,0;10,6;32,1;18,2;10,2;3,6;(NA)
Black only, non-Hispanic;8 250;92,4;12,4;8,4;44,8;18,0;8,8;4,1;(NA)
Hispanic or Latino origin;9 107;89,5;34,6;14,9;27,2;8,2;4,6;1,7;(NA)
;;;;;;;;;
Currently married;28 327;100,0;30,8;12,2;34,0;15,6;7,4;2,7;7,2
Currently cohabiting;5 570;100,0;13,7;12,2;39,2;20,4;14,5;4,3;17,6
Never married, not cohabiting;21 568;75,4;18,3;9,4;27,7;12,8;7,2;3,1;13,5
Formerly married, not cohabiting;6 096;100,0;6,5;8,1;37,8;28,5;19,1;5,6;16,3
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
