Sex and age;Number (1,000);Percent distribution;;;;;;;
;;;;;;;;;
;;Total;No partners in last 12 months;One partner;;Two or more partners;;;Number of partners not ascertained
;;;;Same sex \1;Opposite sex;Same sex only \1;Opposite sex only;Both same and opposite sex \1;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
    Males 15 to 44 years old;61 147;100,0;14,8;0,7;62,2;0,9;17,6;1,0;2,6
15 to 19 years old;10 208;100,0;45,1;0,8;29,7;(S);21,8;0,9;1,4
20 to 24 years old;9 883;100,0;14,2;0,4;48,8;0,9;30,9;1,5;3,2
25 to 44 years old;41 056;100,0;7,4;0,7;73,6;1,1;13,4;1,0;2,8
  25 to 29 years old;9 226;100,0;10,0;0,5;66,6;0,9;18,4;1,1;2,5
  30 to 34 years old;10 138;100,0;5,6;0,9;74,3;1,0;14,5;1,3;2,4
  35 to 39 years old;10 557;100,0;7,1;0,9;76,5;1,2;11,4;0,5;2,5
  40 to 44 years old;11 135;100,0;7,0;0,7;75,9;1,3;10,1;1,0;3,8
;;;;;;;;;
    Females 15 to 44 years old;61 561;100,0;13,9;1,1;66,8;0,2;12,7;3,1;2,2
15 to 19 years old;9 834;100,0;42,9;1,7;30,5;(S);16,8;5,8;2,1
20 to 24 years old;9 840;100,0;12,5;0,4;58,9;(S);21,1;4,8;1,9
25 to 44 years old;41 887;100,0;7,4;1,1;77,2;0,2;9,8;2,0;2,2
  25 to 29 years old;9 249;100,0;6,1;0,5;74,1;0,4;14,1;2,8;2,0
  30 to 34 years old;10 272;100,0;7,1;0,5;78,5;(S);9,7;2,1;1,9
  35 to 39 years old;10 853;100,0;7,3;1,8;76,8;(S);9,4;2,5;2,0
  40 to 44 years old;11 512;100,0;9,0;1,4;78,8;(S);6,7;0,9;3,0
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
