Contraceptive status and method;;All women, 1995;2002                                                   2002                  ;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;All women \1, \2;Age;;;;;;Race/ethnicity;;;Marital status;;
;;;;;;;;;;;;;;;
;;;;15 to 19 years old;20 to 24 years old;25 to 29 years old;30 to 34 years old;35 to 39 years old;40 to 44 years old;White only,  Non-Hispanic;Black only, Non-Hispanic ;Hispanic       \3;Never married, not cohabiting;Currently married;Formerly married, not cohabiting
;;;;;;;;;;;;;;;
;Unit indicator;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
    All women ;(1,000);60 201;61 561;9 834;9 840;9 249;10 272;10 853;11 512;39 498;8 250;9 107;21 568;28 327;6 096
;;;;;;;;;;;;;;;
Using contraception (contraceptors) \4;Percent;64,2;61,9;31,5;60,7;68,0;69,2;70,8;69,1;64,6;57,6;59,0;44,0;72,9;64,4
  Female sterilization;Percent;17,8;16,7;(-);2,2;10,3;19,0;29,2;34,7;15,4;22,6;19,9;4,4;21,7;35,3
  Male sterilization;Percent;7,0;5,7;(-);0,5;2,8;6,4;10,0;12,7;7,6;1,3;2,6;0,4;11,2;2,2
  Pill ;Percent;17,3;18,9;16,7;31,9;25,6;21,8;13,2;7,6;22,2;13,1;13,0;21,8;17,2;12,3
  Implant, Lunelle(T\M\) ;Percent;0,9;0,8;0,4;0,9;1,7;0,9;0,5;0,2;0,5;0,6;1,8;0,4;1,0;0,5
  3-month injectable (Depo-Provera(T\M\);Percent;1,9;3,3;4,4;6,1;4,4;2,9;1,5;1,1;2,7;5,4;4,3;4,2;2,2;1,7
Intrauterine device (IUD) ;Percent;0,5;1,3;0,1;1,1;2,5;2,2;1,0;0,8;1,0;0,8;3,2;0,2;1,9;1,9
  Diaphragm ;Percent;1,2;0,2;(-);0,1;0,3;0,1;(-);0,4;0,2;0,1;(-);0,2;0,2;-
  Condom ;Percent;13,1;11,1;8,5;14,0;14,0;11,8;11,1;8,0;10,7;11,4;10,9;10,3;12,0;8,0
  Periodic abstinence-calendar rhythm;Percent;1,3;0,7;(-);0,8;0,3;0,9;1,1;1,2;0,8;0,3;0,6;0,2;1,3;0,3
  Periodic abstinence-natural family planning;Percent;0,2;0,2;(-);(-);0,4;0,2;0,3;0,4;0,3;0,1;0,3;0,0;0,4;-
  Withdrawal;Percent;2,0;2,5;0,8;3,1;5,3;2,6;2,4;1,0;2,6;1,5;2,2;1,6;3,0;1,3
  Other methods \5;Percent;1,1;0,6;0,6;0,2;0,4;0,4;0,5;1,1;0,7;0,5;0,3;0,2;0,7;0,9
Not using contraception;Percent;35,8;38,1;68,5;39,3;32,0;30,8;29,2;30,9;35,4;42,4;41,0;56,0;27,1;35,6
  Surgically sterile-female (noncontraceptive);Percent;3,0;1,5;(-);(-);0,4;0,9;2,1;4,9;1,6;1,6;0,9;0,4;2,1;3,0
  Nonsurgically sterile-female or male \6;Percent;1,7;1,6;0,7;0,7;0,9;1,4;1,2;4,4;1,7;1,4;1,7;1,0;2,0;2,5
  Pregnant or postpartum;Percent;4,6;5,3;3,5;9,5;8,4;6,9;3,8;0,8;4,7;5,7;6,9;2,3;7,5;2,2
  Seeking pregnancy;Percent;4,0;4,2;1,2;2,8;5,5;7,0;5,1;3,3;4,0;4,3;5,2;0,8;6,9;2,0
  Other nonuse:;Percent;22,5;25,5;63,1;26,3;16,9;14,6;16,9;17,6;23,6;29,5;26,4;51,4;8,6;26,0
;;;;;;;;;;;;;;;
    Never had intercourse or no intercourse ;;;;;;;;;;;;;;;
      in 3 months before interview;Percent;17,1;18,1;56,2;17,9;8,9;7,6;9,1;10,8;17,0;19,0;18,7;42,9;2,3;17,7
    Had intercourse in 3 months before interview;Percent;5,2;7,4;6,9;8,4;8,0;7,0;7,7;6,7;6,5;10,4;7,7;8,5;6,3;8,2
    All other nonusers;Percent;0,2;(-);(-);(-);(-);(-);0,1;0,1;0,1;0,1;(-);(-);(-);0,1
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
