State;Post Office Abbreviation;2-Digit ANSI code;Occurrence;;;;;;Residence;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;Number ;;;Rate \1;;;Number;;;Rate \1;;;;;
;;;;;;;;;;;;;;;;;
;;;2000;2004;2005;;;;2000;2004;2005;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;2000;2004;2005;;;;2000;2004;2005;;;
;;;;;;;;;;;;;;;;;
  United States;US;00;1 312 990;1 222 100;1 206 200;21,3;19,7;19,4;1 306 680;1 216 050;1 198 960;21,2;19,6;19,3;;;
Alabama;AL;01;13 830;11 400;11 340;14,2;12,1;12,1;13 060;11 250;10 840;13,4;11,93;11,53;;;
Alaska;AK;02;1 660;1 920;1 880;11,7;13,5;13,2;1 900;2 180;2 130;13,5;15,31;14,95;;;
Arizona;AZ;04;17 940;17 930;19 480;16,5;15,2;16,1;18 410;18 230;19 710;17,1;15,47;16,26;;;
Arkansas;AR;05;5 540;4 620;4 710;9,8;8,2;8,4;5 880;5 230;5 200;10,4;9,33;9,25;;;
California;CA;06;236 060;208 180;208 430;31,2;26,9;26,9;235 670;207 800;206 260;31,1;26,85;26,64;;;
Colorado;CO;08;15 530;15 550;16 120;16,0;15,7;16,2;12 950;14 320;14 720;13,4;14,45;14,81;;;
Connecticut;CT;09;15 240;16 810;16 780;21,1;23,6;23,8;15 460;16 950;17 340;21,5;23,83;24,56;;;
Delaware;DE;10;5 440;4 990;5 150;31,3;28,4;29,2;3 920;3 840;4 140;22,4;21,87;23,45;;;
District of Columbia;DC;11;9 800;7 130;7 230;68,2;49,7;50,0;5 750;5 930;6 390;39,7;41,30;44,19;;;
Florida;FL;12;103 050;96 680;92 300;32,0;28,4;26,7;96 000;89 620;85 360;29,9;26,37;24,72;;;
Georgia;GA;13;32 140;34 100;33 180;16,9;17,2;16,6;32 270;32 570;32 040;17,0;16,42;15,98;;;
Hawaii;HI;15;5 630;5 190;5 350;22,2;20,6;21,3;5 630;5 190;5 330;22,2;20,60;21,19;;;
Idaho;ID;16;1 950;2 000;1 810;7,0;7,0;6,2;2 750;2 680;2 540;9,9;9,38;8,75;;;
Illinois;IL;17;63 690;52 870;50 970;23,2;19,6;18,9;58 370;50 300;48 420;21,3;18,61;17,99;;;
Indiana;IN;18;12 490;11 010;11 150;9,4;8,5;8,6;15 140;13 050;13 180;11,5;10,06;10,19;;;
Iowa;IA;19;5 970;6 160;6 370;9,8;10,4;10,9;6 280;6 050;6 130;10,2;10,25;10,45;;;
Kansas;KS;20;12 270;11 330;10 410;21,4;20,1;18,6;6 440;5 990;5 620;11,2;10,65;10,04;;;
Kentucky;KY;21;4 700;3 670;3 870;5,3;4,2;4,5;6 720;6 190;6 060;7,5;7,10;6,98;;;
Louisiana;LA;22;13 100;12 760;11 400;13,0;13,1;11,8;11 380;10 950;10 330;11,3;11,25;10,71;;;
Maine;ME;23;2 650;2 910;2 770;9,9;11,1;10,7;2 910;3 030;2 840;10,8;11,57;10,94;;;
Maryland;MD;24;34 560;38 020;37 590;29,0;31,6;31,3;38 670;36 460;35 250;32,5;30,32;29,32;;;
Massachusetts;MA;25;30 410;26 330;27 270;21,4;18,9;19,8;29 870;26 920;27 800;20,9;19,35;20,15;;;
Michigan;MI;26;46 470;43 590;40 600;21,6;20,8;19,5;45 710;42 710;39 930;21,2;20,35;19,18;;;
Minnesota;MN;27;14 610;13 980;13 910;13,5;13,1;13,1;13 940;13 550;13 370;12,8;12,66;12,57;;;
Mississippi;MS;28;3 780;3 500;3 090;6,0;5,7;5,0;9 060;8 140;7 930;14,2;13,21;12,93;;;
Missouri;MO;29;7 920;8 740;8 400;6,6;7,3;7,0;17 410;15 330;14 900;14,4;12,81;12,47;;;
Montana;MT;30;2 510;2 370;2 150;13,5;13,1;11,9;2 220;2 210;2 020;11,9;12,23;11,19;;;
Nebraska;NE;31;4 250;3 710;3 220;11,6;10,4;9,1;3 920;3 380;2 990;10,7;9,47;8,42;;;
Nevada;NV;32;13 740;13 210;13 530;32,4;27,9;27,7;12 880;12 660;12 990;30,6;26,71;26,63;;;
New Hampshire;NH;33;3 010;3 160;3 170;11,2;11,7;11,8;4 020;3 390;3 060;14,9;12,59;11,43;;;
New Jersey;NJ;34;65 780;58 050;61 150;36,3;32,5;34,5;66 110;57 950;60 330;36,5;32,46;34,03;;;
New Mexico;NM;35;5 760;6 260;6 220;14,7;15,9;15,7;6 890;6 710;6 690;17,6;17,03;16,94;;;
New York;NY;36;164 630;160 140;155 960;39,1;38,5;37,7;161 160;156 920;152 340;38,1;37,76;36,86;;;
North Carolina;NC;37;37 610;36 220;34 500;21,1;20,0;18,9;33 620;31 720;29 730;18,9;17,50;16,27;;;
North Dakota;ND;38;1 340;1 360;1 230;9,9;10,5;9,6;940;940;890;6,9;7,28;6,98;;;
Ohio;OH;39;40 230;35 050;35 060;16,5;14,8;14,9;38 090;33 280;33 140;15,6;14,07;14,13;;;
Oklahoma;OK;40;7 390;7 140;6 950;10,1;9,9;9,7;7 780;7 340;7 420;10,6;10,19;10,33;;;
Oregon;OR;41;17 010;13 320;13 200;23,6;18,3;18,1;15 270;12 240;11 900;21,2;16,85;16,30;;;
Pennsylvania;PA;42;36 570;35 760;34 150;14,3;14,4;13,9;39 670;38 850;38 110;15,5;15,69;15,49;;;
Rhode Island;RI;44;5 600;5 730;5 290;24,1;24,9;23,3;4 900;4 810;4 680;21,0;20,92;20,62;;;
South Carolina;SC;45;8 210;6 650;7 080;9,3;7,5;8,0;12 120;12 810;13 320;13,6;14,46;15,01;;;
South Dakota;SD;46;870;820;790;5,5;5,3;5,1;1 020;980;980;6,4;6,33;6,37;;;
Tennessee;TN;47;19 010;18 490;18 140;15,2;14,8;14,5;17 270;15 950;15 520;13,8;12,81;12,42;;;
Texas;TX;48;89 160;85 210;85 760;18,8;17,4;17,4;87 110;84 750;84 560;18,4;17,27;17,12;;;
Utah;UT;49;3 510;3 610;3 630;6,7;6,5;6,4;3 500;3 600;3 610;6,6;6,49;6,41;;;
Vermont;VT;50;1 660;1 720;1 490;12,7;13,6;11,9;1 510;1 790;1 810;11,5;14,16;14,46;;;
Virginia;VA;51;28 780;26 340;26 520;18,1;16,3;16,4;30 690;30 170;30 590;19,3;18,70;18,88;;;
Washington;WA;53;26 200;24 060;23 260;20,3;18,4;17,8;26 970;24 270;23 680;20,8;18,60;18,11;;;
West Virginia;WV;54;2 540;2 420;2 360;6,8;6,8;6,7;2 930;2 760;2 700;7,9;7,76;7,66;;;
Wisconsin;WI;55;11 130;9 870;9 800;9,6;8,6;8,6;12 450;11 000;10 920;10,7;9,63;9,62;;;
Wyoming;WY;56;100;80;70;1,0;0,8;0,7;2 090;1 110;1 220;19,9;11,02;12,19;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
