Age (years);Total (years remaining);;;;;;Male  (years remaining);;;;;;Female  (years remaining);;;;;
;1979-1981 \1;1989-1991 \1;1999-2001 \1;2004;2005;2006;1979-1981 \1;1989-1991 \1;1999-2001 \1;2004;2005;2006;1979-1981 \1;1989-1991 \1;1999-2001 \1;2004;2005;2006
;;;;;;;;;;;;;;;;;;
0;73,9;75,4;76,8;77,8;77,8;77,7;70,1;71,8;74,1;75,2;75,2;75,1;77,6;78,8;79,5;80,4;80,4;80,2
1;73,8;75,1;76,4;77,4;77,4;77,2;70,1;71,6;73,7;74,7;74,7;74,7;77,5;78,5;79,0;79,9;79,9;79,7
5;70,0;71,2;72,5;73,5;73,5;73,3;66,3;67,7;69,8;70,8;70,8;70,8;73,7;74,6;75,0;76,0;76,0;75,8
10;65,1;66,3;67,5;68,5;68,5;68,4;61,4;62,8;64,8;65,9;65,9;65,8;68,8;69,7;70,1;71,0;71,0;70,8
15;60,2;61,4;62,6;63,6;63,6;63,4;56,5;57,9;59,9;61,0;61,0;60,9;63,8;64,7;65,2;66,1;66,1;65,9
20;55,5;56,6;57,8;58,8;58,8;58,6;51,9;53,3;55,2;56,2;56,2;56,1;59,0;59,9;60,3;61,2;61,2;61,0
25;50,8;51,9;53,1;54,0;54,1;53,9;47,4;48,7;50,5;51,6;51,6;51,5;54,2;55,0;55,4;56,3;56,4;56,1
30;46,1;47,2;48,3;49,3;49,3;49,2;42,8;44,1;45,9;46,9;47,0;46,9;49,3;50,2;50,6;51,5;51,5;51,3
35;41,4;42,6;43,5;44,5;44,6;44,4;38,2;39,6;41,2;42,2;42,3;42,2;44,5;45,4;45,7;46,6;46,7;46,4
40;36,8;38,0;38,9;39,9;39,9;39,7;33,6;35,1;36,6;37,6;37,7;37,6;39,8;40,7;41,0;41,9;41,9;41,7
45;32,3;33,4;34,3;35,3;35,3;35,2;29,2;30,7;32,1;33,1;33,2;33,1;35,2;36,0;36,3;37,2;37,3;37,0
50;27,9;29,0;29,9;30,9;30,9;30,7;25,0;26,4;27,8;28,8;28,9;28,8;30,7;31,4;31,7;32,7;32,7;32,5
55;23,9;24,8;25,6;26,6;26,7;26,5;21,1;22,3;23,6;24,7;24,8;24,7;26,4;27,1;27,3;28,3;28,3;28,0
60;20,0;20,9;21,5;22,5;22,6;22,4;17,5;18,5;19,7;20,8;20,8;20,7;22,3;22,9;23,1;24,0;24,0;23,8
65;16,5;17,3;17,8;18,7;18,7;18,5;14,2;15,1;16,1;17,1;17,2;17,0;18,4;19,0;19,1;20,0;20,0;19,7
70;13,3;14,0;14,3;15,1;15,2;14,9;11,4;12,1;12,8;13,7;13,8;13,6;14,8;15,4;15,4;16,2;16,3;15,9
75;10,5;11,0;11,1;11,9;12,0;11,6;8,9;9,4;9,9;10,7;10,8;10,5;11,6;12,1;12,0;12,8;12,8;12,3
80;8,0;8,4;8,4;9,1;9,2;8,7;6,8;7,1;7,4;8,2;8,2;7,8;8,7;9,1;9,1;9,8;9,7;9,3
85;6,0;6,2;6,2;6,8;6,8;6,4;5,1;5,3;5,5;6,1;6,1;5,7;6,4;6,7;6,6;7,2;7,2;6,8
90;4,4;4,5;4,5;5,0;5,0;4,6;3,9;3,9;4,0;4,4;4,4;4,1;4,7;4,7;4,7;5,2;5,2;4,8
95;3,3;3,3;3,2;3,6;3,6;3,2;3,0;2,9;2,8;3,2;3,2;2,9;3,5;3,4;3,3;3,7;3,7;3,3
100;2,7;2,5;2,3;2,6;2,6;2,3;2,5;2,3;2,0;2,3;2,3;2,0;2,8;2,5;2,3;2,6;2,6;2,3
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
