Age;Expectation of life in years;;;;;Expected deaths per 1,000 alive at specified age \2;;;;
;;;;;;;;;;
;;;;;;;;;;
;Total \1;White;;Black;;Total \1;White;;Black;
;;;;;;;;;;
;;Male;Female;Male;Female;;Male;Female;Male;Female
;;;;;;;;;;
At birth;77,7;75,7 ;80,6 ;69,7 ;76,5 ;6,71;6,12;5,01;14,48;12,23
1;77,2;75,1 ;80,0 ;69,7 ;76,5 ;0,44;0,40;0,39;0,76;0,60
2;76,3;74,2 ;79,0 ;68,7 ;75,5 ;0,30;0,29;0,23;0,46;0,48
3;75,3;73,2 ;78,0 ;67,8 ;74,6 ;0,21;0,22;0,17;0,37;0,24
4;74,3;72,2 ;77,1 ;66,8 ;73,6 ;0,18;0,18;0,15;0,27;0,24
5;73,3;71,2 ;76,1 ;65,8 ;72,6 ;0,17;0,17;0,13;0,27;0,21
6;72,3;70,2 ;75,1 ;54,8 ;71,6 ;0,15;0,16;0,12;0,26;0,18
7;71,3;69,2 ;74,1 ;63,9 ;70,6 ;0,14;0,15;0,11;0,24;0,16
8;70,4;68,2 ;73,1 ;62,9 ;69,6 ;0,12;0,13;0,10;0,20;0,14
9;69,4;67,3 ;72,1 ;61,9 ;68,6 ;0,10;0,10;0,09;0,15;0,13
10;68,4;66,3 ;71,1 ;60,9 ;67,7 ;0,09;0,08;0,08;0,10;0,14
11;67,4;65,3 ;70,1 ;59,9 ;66,7 ;0,09;0,08;0,08;0,10;0,15
12;66,4;64,3 ;69,1 ;58,9 ;65,7 ;0,12;0,13;0,10;0,17;0,17
13;65,4;63,3 ;68,1 ;57,9 ;54,7 ;0,20;0,24;0,15;0,34;0,20
14;64,4;62,3 ;67,1 ;56,9 ;63,7 ;0,31;0,39;0,21;0,58;0,23
15;63,4;61,3 ;66,1 ;56,0 ;62,7 ;0,43;0,54;0,27;0,84;0,27
16;62,4;60,4 ;65,2 ;55,0 ;61,7 ;0,55;0,69;0,33;1,09;0,32
17;61,5;59,4 ;54,2 ;54,1 ;60,8 ;0,65;0,84;0,38;1,31;0,36
18;60,5;58,4 ;63,2 ;53,1 ;59,8 ;0,74;0,98;0,41;1,50;0,42
19;59,6;57,5 ;62,2 ;52,2 ;58,8 ;0,82;1,10;0,43;1,67;0,47
20;58,6;56,6 ;61,3 ;51,3 ;57,8 ;0,89;1,23;0,44;1,84;0,54
21;57,7;55,6 ;60,3 ;50,4 ;56,9 ;0,97;1,35;0,45;2,01;0,60
22;56,7;54,7 ;59,3 ;49,5 ;55,9 ;1,02;1,43;0,46;2,15;0,67
23;55,8;53,8 ;58,3 ;48,6 ;54,9 ;1,03;1,44;0,47;2,23;0,71
24 ;54,8;52,9 ;57,4 ;47,7 ;54,0 ;1,02;1,40;0,48;2,26;0,75
25;53,9;51,9 ;56,4 ;46,8 ;53,0 ;1,00;1,35;0,49;2,28;0,79
26;53,0;51,0 ;55,4 ;46,0 ;52,1 ;0,99;1,31;0,50;2,30;0,83
27;52,0;50,1 ;54,5 ;45,1 ;51,1 ;0,98;1,27;0,51;2,31;0,87
28;51,1;49,1 ;53,5 ;44,2 ;50,1 ;0,98;1,26;0,53;2,34;0,92
