;1970 (1,000);1980 (1,000);1990 (1,000);1995 (1,000);1996 (1,000);1997 (1,000);1998 (1,000);1999 (1,000);2000 (1,000);2001 (1,000);2002 (1,000);2003 (1,000);2004 (1,000);2005 (1,000);2006 (1,000);
Sex and race;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
  Deaths \1 (1,000);1 921;1 990;2 148;2 312;2 315;2 314;2 337;2 391;2 403;2 416;2 443;2 448;2 398;2 448;2 426;
Male \1 (1,000);1 078;1 075;1 113;1 173;1 164;1 154;1 157;1 175;1 178;1 183;1 199;1 202;1 182;1 208;1 202;
Female \1 (1,000);843;915;1 035;1 139;1 151;1 160;1 180;1 216;1 226;1 233;1 244;1 246;1 216;1 240;1 224;
;;;;;;;;;;;;;;;;
White (1,000) ;1 682;1 739;1 853;1 987;1 993;1 996;2 016;2 061;2 071;2 080;2 103;2 104;2 057;2 098;2 078;
  Male (1,000) ;942;934;951;997;992;987;990;1 005;1 007;1 011;1 025;1 026;1 007;1 028;1 022;
  Female (1,000) ;740;805;902;990;1 001;1 010;1 026;1 056;1 064;1 068;1 077;1 078;1 049;1 070;1 055;
Black (1,000) ;226;233;265;286;282;277;278;285;286;288;290;291;287;293;290;
  Male (1,000) ;128;130;145;154;149;144;143;146;145;146;147;148;146;149;149;
  Female (1,000) ;98;103;120;132;133;132;135;139;141;142;143;143;141;144;141;
Asian or Pacific Islander (1,000);(NA);11;21;28;30;31;32;34;35;37;38;40;41;43;45;
  Male (1,000) ;(NA);7;12;16;17;17;18;18;19;20;20;21;21;23;23;
  Female (1,000) ;(NA);4;9;12;13;14;14;15;16;17;18;19;19;20;21;
American Indian, Eskimo, Aleut (1,000);6;7;8;10;10;11;11;11;11;12;12;13;13;14;14;
  Male (1,000) ;3;4;5;6;6;6;6;6;6;6;7;7;7;8;8;
  Female (1,000) ;2;3;3;4;5;5;5;5;5;6;6;6;6;6;6;
Hispanic origin \2 ;(NA);(NA);(NA);(NA);(NA);95;98;104;107;113;117;122;122;131;133;
  Male (1,000) ;(NA);(NA);(NA);(NA);(NA);54;56;58;60;63;66;68;69;74;74;
  Female (1,000) ;(NA);(NA);(NA);(NA);(NA);41;43;46;47;50;51;54;54;57;59;
;;;;;;;;;;;;;;;;
Non-Hispanic White (1,000);(NA);(NA);(NA);(NA);(NA);1 895;1 913;1 953;1 960;1 963;1 982;1 979;1 933;1 967;1 945;
  Male (1,000) ;(NA);(NA);(NA);(NA);(NA);930;932;945;945;946;958;956;938;954;948;
  Female (1,000) ;(NA);(NA);(NA);(NA);(NA);966;981;1 008;1 015;1 017;1 024;1 023;995;1 013;997;
;;;;;;;;;;;;;;;;
  Death rates \1;9,5;8,8;8,6;8,7;8,6;8,5;8,5;8,6;8,5;8,5;8,5;8,4;8,2;8,3;8,1;
Male \1;10,9;9,8;9,2;9,0;8,8;8,6;8,6;8,6;8,5;8,5;8,5;8,4;8,2;8,3;8,1;
Female \1;8,1;7,9;8,1;8,4;8,4;8,3;8,4;8,5;8,6;8,5;8,5;8,4;8,2;8,2;8,1;
;;;;;;;;;;;;;;;;
White ;9,5;8,9;8,9;9,0;9,0;8,9;8,9;9,0;9,0;9,0;9,0;8,9;8,6;8,7;8,6;
  Male ;10,9;9,8;9,3;9,3;9,1;8,9;8,9;9,1;8,9;8,8;8,8;8,8;8,5;8,6;8,5;
  Female ;8,1;8,1;8,5;8,9;8,9;8,9;8,9;9,2;9,1;9,1;9,1;9,0;8,7;8,8;8,6;
Black ;10,0;8,8;8,7;8,5;8,2;7,9;7,8;7,9;7,8;7,7;7,7;7,6;7,4;7,5;7,3;
  Male ;11,9;10,3;10,1;9,8;9,2;8,7;8,5;8,8;8,3;8,2;8,2;8,1;7,9;8,0;7,9;
  Female ;8,3;7,3;7,5;7,6;7,3;7,2;7,2;7,6;7,3;7,3;7,2;7,2;7,0;7,0;6,8;
Asian or Pacific Islander;(NA);3,0;2,8;2,9;2,9;2,9;2,9;3,0;3,0;3,0;3,0;3,0;3,0;3,1;3,1;
  Male ;(NA);3,8;3,3;3,4;3,4;3,4;3,4;3,3;3,3;3,4;3,3;3,3;3,2;3,3;3,3;
  Female ;(NA);2,2;2,3;2,5;2,5;2,5;2,5;2,6;2,6;2,7;2,7;2,8;2,7;2,8;2,9;
American Indian, Eskimo, Aleut;(NA);4,9;4,0;4,1;4,0;4,0;4,0;4,0;3,8;3,9;4,0;4,2;4,2;4,4;4,4;
  Male ;(NA);6,0;4,8;4,6;4,4;4,6;4,4;4,3;4,2;4,2;4,4;4,6;4,5;4,8;4,8;
  Female ;(NA);3,8;3,3;3,6;3,6;3,5;3,5;3,7;3,5;3,6;3,7;3,9;3,8;4,0;4,0;
Hispanic origin \2 ;(NA);(NA);(NA);(NA);(NA);3,1;3,0;3,1;3,0;3,1;3,0;3,1;3,0;3,1;3,0;
  Male ;(NA);(NA);4,1;(NA);(NA);3,4;3,3;3,7;3,3;3,3;3,3;3,3;3,2;3,3;3,2;
  Female ;(NA);(NA);2,9;(NA);(NA);2,7;2,7;2,9;2,7;2,8;2,7;2,8;2,7;2,8;2,7;
Non-Hispanic White;(NA);(NA);(NA);(NA);(NA);9,7;9,7;9,9;9,9;9,9;10,0;9,9;9,7;9,8;9,7;
  Male ;(NA);(NA);9,9;(NA);(NA);9,7;9,7;9,8;9,8;9,8;9,8;9,8;9,6;9,7;9,6;
  Female ;(NA);(NA);9,0;(NA);(NA);9,6;9,8;10,0;10,1;10,1;10,1;10,1;9,8;9,9;9,7;
;;;;;;;;;;;;;;;;
  Age-adjusted death rates \1, \3;12,2;10,4;9,4;9,2;8,9;8,8;8,7;8,8;8,7;8,5;8,5;8,3;8,0;8,0;7,8;
Male \1;15,4;13,5;12,0;11,5;11,2;10,9;10,7;10,7;10,5;10,3;10,1;9,9;9,6;9,5;9,2;
Female \1;9,7;8,2;7,5;7,5;7,3;7,3;7,2;7,3;7,3;7,2;7,2;7,1;6,8;6,8;6,6;
;;;;;;;;;;;;;;;;
White ;11,9;10,1;9,1;8,9;8,7;8,6;8,5;8,5;8,5;8,4;8,3;8,2;7,9;7,9;7,6;
  Male ;15,1;13,2;11,7;11,1;10,8;10,6;10,4;10,4;10,3;10,1;9,9;9,7;9,4;9,3;9,1;
  Female ;9,4;8,0;7,3;7,3;7,1;7,1;7,1;7,2;7,2;7,1;7,0;6,9;6,7;8,5;6,5;
