     Sex, year, and race;Rates per 100,000;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;All ages \1;Under 1 year;1 to 4 years;5 to 14 years;15 to 24 years;25 to 34 years;35 to 44 years;45 to 54 years;55 to 64 years;65 to 74 years;75 to 84 years;85 years and over;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
MALE;;;;;;;;;;;;;;;;;;;;;
1940;1 197;6 190;312;118;229;338;588;1 249;2 612;5 462;12 126;24 639;;;;;;;;;
1950;1 106;3 728;152;71;168;217;429;1 067;2 395;4 931;10 426;21 636;;;;;;;;;
1960;1 105;3 059;120;56;152;188;373;992;2 310;4 914;10 178;21 186;;;;;;;;;
1970;1 090;2 410;93;51;189;215;403;959;2 283;4 874;10 010;17 822;;;;;;;;;
1980;977;1 429;73;37;172;196;299;767;1 815;4 105;8 817;18 801;;;;;;;;;
1990;918;1 083;52;29;147;204;310;610;1 553;3 492;7 889;18 057;;;;;;;;;
2000;853;807;36;21;115;139;255;543;1 231;2 980;6 973;17 501;;;;;;;;;
2001;846;750;37;20;117;144;260;545;1 193;2 912;6 833;16 745;;;;;;;;;
2002;847;762;35;20;117;142;258;548;1 184;2 855;6 761;16 255;;;;;;;;;
2003;840;777;35;20;117;141;255;552;1 166;2 772;6 642;15 794;;;;;;;;;
2004;818;754;32;19;115;140;244;544;1 129;2 645;6 394;15 031;;;;;;;;;
2005;827;762;33;19;118;143;243;548;1 131;2 612;6 350;14 889;;;;;;;;;
2006;815;756;31;18;119;147;239;541;1 110;2 516;6 178;14 309;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
  White:;;;;;;;;;;;;;;;;;;;;;
    1980;994;1 230;66;35;167;171;257;699;1 729;4 036;8 830;19 097;;;;;;;;;
    1985;964;1 057;53;30;134;159;243;612;1 626;3 771;8 486;18 980;;;;;;;;;
    1990;931;896;46;26;131;176;268;549;1 467;3 398;7 845;18 268;;;;;;;;;
    1995;932;718;39;25;122;178;288;535;1 331;3 199;7 321;18 153;;;;;;;;;
    1996;918;683;37;23;114;155;260;516;1 305;3 158;7 206;17 871;;;;;;;;;
    1997;906;678;35;22;109;140;235;496;1 252;3 123;7 086;17 767;;;;;;;;;
    1998;904;674;33;21;108;134;233;490;1 216;3 082;6 989;17 048;;;;;;;;;
    1999;911;658;34;20;105;135;232;494;1 200;3 043;6 965;17 202;;;;;;;;;
    2000;888;668;33;20;106;124;234;497;1 163;2 906;6 933;17 716;;;;;;;;;
    2001;882;628;34;18;108;130;240;501;1 128;2 842;6 800;16 935;;;;;;;;;
    2002;884;651;32;18;110;128;239;505;1 119;2 795;6 739;16 473;;;;;;;;;
    2003;878;659;32;18;109;129;238;509;1 102;2 707;6 621;16 038;;;;;;;;;
    2004;854;632;29;18;108;127;229;504;1 066;2 584;6 385;15 251;;;;;;;;;
    2005;865;640;31;17;110;131;229;509;1 068;2 553;6 343;15 157;;;;;;;;;
    2006;852;633;28;16;112;135;224;505;1 051;2 456;6 182;14 577;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
  Black:;;;;;;;;;;;;;;;;;;;;;
