Sex and Race and Hispanic origin;Age-adjusted rates per 100,000;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;1940;1950;1960;1970;1980;1990;1995;1999;2000 ;                                    2001;2002;2003;2004;2005;2006;;;
;;;;;;;;;;;;;;;;;;
ALL RACES \1;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
  Total;1 785;1 446;1 339;1 223;1 039;939;919;882;869;855;845;833;801;799;777;;;
Male;1 976;1 674;1 609;1 542;1 348;1 203;1 150;1 062;1 054;1 029;1 014;994;956;951;925;;;
Female;1 599;1 236;1 105;971;818;751;748;744;731;722;715;706;679;678;658;;;
;;;;;;;;;;;;;;;;;;
WHITE;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
  Total;1 735;1 411;1 311;1 193;1 013;910;890;861;850;837;829;817;786;785;764;;;
Male;1 925;1 643;1 586;1 514;1 318;1 166;1 113;1 036;1 029;1 006;993;974;937;933;908;;;
Female;1 550;1 198;1 074;944;796;729;727;726;715;707;701;693;667;667;648;;;
;;;;;;;;;;;;;;;;;;
BLACK;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
  Total;(NA);(NA);1 578;1 518;1 315;1 250;1 225;1 147;1 121;1 101;1 083;1 066;1 027;1 017;982;;;
Male;(NA);(NA);1 811;1 874;1 698;1 645;1 582;1 413;1 404;1 375;1 341;1 319;1 269;1 253;1 216;;;
Female;(NA);(NA);1 370;1 229;1 033;975;970;955;928;913;902;886;855;846;813;;;
;;;;;;;;;;;;;;;;;;
ASIAN OR PACIFIC ISLANDER;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
  Total;(NA);(NA);(NA);(NA);590;582;616;518;506;492;474;466;444;440;429;;;
Male;(NA);(NA);(NA);(NA);787;716;788;641;624;597;578;563;535;534;516;;;
Female;(NA);(NA);(NA);(NA);426;469;488;424;417;412;396;393;376;369;363;;;
;;;;;;;;;;;;;;;;;;
AMERICAN INDIAN, ESKIMO, ALEUT;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
  Total;(NA);(NA);(NA);(NA);867;716;717;716;709;687;677;685;650;663;642;;;
Male;(NA);(NA);(NA);(NA);1 112;916;864;842;842;799;794;797;758;775;740;;;
Female;(NA);(NA);(NA);(NA);662;562;593;609;605;594;581;592;558;568;556;;;
;;;;;;;;;;;;;;;;;;
HISPANIC ORIGIN \2;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
  Total;(NA);(NA);(NA);(NA);(NA);(NA);(NA);676;666;659;629;621;587;591;564;;;
Male;(NA);(NA);(NA);(NA);(NA);(NA);(NA);740;818;803;767;748;707;717;676;;;
Female;(NA);(NA);(NA);(NA);(NA);(NA);(NA);490;546;544;518;516;486;485;469;;;
;;;;;;;;;;;;;;;;;;
NON-HISPANIC, WHITE;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
  Total;(NA);(NA);(NA);(NA);(NA);(NA);(NA);860;856;843;838;826;797;797;777;;;
Male;(NA);(NA);(NA);(NA);(NA);(NA);(NA);1 046;1 035;1 013;1 002;984;949;945;923;;;
Female;(NA);(NA);(NA);(NA);(NA);(NA);(NA);722;722;714;710;702;678;678;660;;;
;;;;;;;;;;;;;;;;;;
NON-HISPANIC, BLACK;;;;;;;;;;;;;;;;;;
  Total;(NA);(NA);(NA);(NA);(NA);(NA);(NA);1 150;1 137;1 117;1 099;1 083;1 045;1 035;1 001;;;
Male;(NA);(NA);(NA);(NA);(NA);(NA);(NA);1 449;1 422;1 394;1 361;1 341;1 292;1 275;1 241;;;
Female;(NA);(NA);(NA);(NA);(NA);(NA);(NA);946;941;926;915;900;869;861;828;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
