;Rate per 100,000                                                                                                                                                                                     Rate per 100,000  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Hispanic male;;;;;;;;;;;;Hispanic female;;;;;;;;;;;;;;;;;;;;;;;;;
Age;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1990;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;1990;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;1990;2000;2002;2003;2004;2005;2006;1990;2000;2002;2003;2004;2005;2006
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Age adjusted \1;886;796;760;744;736;818;803;767;748;707;717;676;537;501;493;478;490;546;544;518;516;486;485;469;1 171;1 035;1 002;984;949;945;923;735;722;710;702;678;678;660
Crude \2;412;381;361;366;368;331;333;329;331;321;334;324;285;290;288;284;294;275;279;274;279;270;278;275;986;979;984;979;957;971;962;904;1 007;1 011;1 008;978;993;975
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Under 1 year;922;686;654;679;655;637;624;644;666;637;670;641;747;540;572;569;566;554;519;539;552;535;555;538;865;659;644;647;625;626;622;655;531;505;503;501;497;504
1 to 4 years;54;37;34;33;34;32;34;34;34;30;33;29;42;30;28;28;30;28;27;25;26;24;25;24;44;32;30;30;29;30;27;34;24;24;25;24;22;23
5 to 14 years;26;24;19;20;19;18;17;17;18;17;15;16;17;17;16;14;14;13;13;14;13;12;12;12;26;20;18;18;18;17;16;18;14;14;13;13;13;12
15 to 24 years;159;140;129;129;125;108;112;114;113;115;120;121;41;39;38;34;36;32;34;34;36;32;37;35;123;104;107;106;105;106;108;46;43;44;44;44;42;43
25 to 34 years;234;175;155;148;152;120;118;113;118;109;116;113;63;61;55;51;52;43;45;40;43;41;41;43;165;123;131;130;131;134;141;61;57;60;61;60;62;63
35 to 44 years;342;280;236;227;226;211;209;193;190;184;182;177;109;108;101;97;100;101;97;95;96;88;91;87;257;234;245;244;236;236;233;117;128;138;138;136;137;136
45 to 54 years;534;494;456;449;456;439;444;423;436;418;417;404;253;232;228;226;227;224;227;220;219;208;216;215;545;498;510;513;511;517;515;312;285;292;293;293;299;300
55 to 64 years;1 124;1 032;958;966;962;966;924;937;921;874;876;844;608;581;580;544;536;548;543;524;528;511;494;487;1 480;1 171;1 127;1 111;1 076;1 080;1 064;835;742;711;705;684;677;668
65 to 74 years;2 368;2 245;2 252;2 285;2 219;2 288;2 243;2 193;2 116;1 994;2 029;1 911;1 454;1 400;1 382;1 384;1 367;1 423;1 408;1 369;1 343;1 297;1 292;1 223;3 435;2 931;2 824;2 739;2 618;2 585;2 490;1 940;1 891;1 846;1 808;1 752;1 730;1 677
75 to 84 years;5 369;4 966;4 750;4 565;4 525;5 395;5 258;5 044;4 949;4 792;4 857;4 493;3 351;3 279;3 221;3 140;3 246;3 625;3 590;3 526;3 506;3 330;3 366;3 223;7 920;6 978;6 802;6 692;6 462;6 420;6 278;4 887;4 819;4 788;4 721;4 571;4 580;4 461
85 years and over;12 272;10 618;10 487;9 947;9 842;13 086;12 888;11 674;11 029;9 933;10 141;9 436;10 099;8 784;8 709;8 336;8 839;11 203;11 301;10 186;10 128;9 253;9 068;8 804;18 505;17 853;16 642;16 234;15 489;15 401;14 841;14 533;14 972;14 504;14 377;13 610;13 683;13 151
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
