State;Post office abbreviations;2-digit ANSI code; Number of deaths;;;;;;;;;; Crude rate per 1,000 population \2;;;;;;;;;;Age-adjusted rate \3;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;1970 (1,000);1975  (1,000);1980  (1,000);1985  (1,000);1990  (1,000);1995  (1,000);2000  (1,000);2005  (1,000);2006  (1,000);2007 \1  (1,000);;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;1970;1975;1980;1985;1990;1995;2000;2005;2006;2007 \1;2002;2003;2004;2005;2006;2007 \1;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
    United States;US;00;1 921;1 893;1 990;2 086;2 148;2 312;2 403;2 448;2 426;2 424;9,5;8,8;8,8;8,8;8,6;8,7;8,5;8,3;8,1;8,0;8,5;8,3;8,0;8,0;7,8;7,6;
Alabama;AL;01;32;34;36;38;39;42;45;47;47;47;9,8;9,1;9,1;9,5;9,7;10,0;10,1;10,3;10,2;10,1;10,0;10,0;9,9;10,0;9,5;9,3;
Alaska;AK;02;1;2;2;2;2;3;3;3;3;3;4,8;4,1;4,3;3,9;4,0;4,2;4,6;4,8;5,0;5,1;7,9;8,3;7,5;7,5;7,8;7,6;
Arizona;AZ;04;15;17;21;25;29;35;41;46;46;46;8,4;7,4;7,9;7,7;7,9;8,4;7,9;7,7;7,5;7,2;8,0;7,9;7,6;7,7;7,2;6,8;
Arkansas;AR;05;21;22;23;24;25;27;28;28;28;28;10,7;10,1;9,9;10,4;10,5;10,8;10,6;10,1;9,9;9,9;9,6;9,4;9,2;9,3;8,9;8,8;
California;CA;06;166;171;187;202;214;224;230;237;237;(S);8,3;7,9;7,9;7,6;7,2;7,1;6,8;6,6;6,5;(S);7,6;7,5;7,2;7,1;7,0;(S);
Colorado;CO;08;17;17;19;20;22;25;27;30;30;30;7,9;6,7;6,6;6,3;6,6;6,7;6,3;6,4;6,2;6,2;7,9;7,8;7,4;7,4;7,2;7,0;
Connecticut;CT;09;26;26;27;28;28;29;30;29;29;29;8,6;8,3;8,8;8,8;8,4;9,0;8,8;8,4;8,3;8,2;7,6;7,3;7,1;7,0;7,1;6,9;
Delaware;DE;10;5;5;5;5;6;6;7;7;7;7;9,0;7,9;8,5;8,9;8,7;8,8;8,8;8,9;8,4;8,5;8,4;8,4;8,2;8,3;7,8;7,7;
District of Columbia;DC;11;9;7;7;7;7;7;6;5;5;5;11,7;10,5;11,1;11,0;12,0;12,4;10,5;10,0;9,2;8,8;10,2;9,8;9,7;9,7;8,9;8,7;
Florida;FL;12;75;87;105;121;134;153;164;171;170;168;11,0;10,2;10,7;10,7;10,4;10,8;10,3;9,6;9,4;9,2;7,9;7,8;7,6;7,5;7,1;6,9;
Georgia;GA;13;42;41;44;49;52;58;64;67;68;(S);9,1;8,2;8,1;8,2;8,0;8,1;7,8;7,4;7,2;(S);9,5;9,5;9,2;9,1;8,6;(S);
Hawaii;HI;15;4;4;5;6;7;8;8;9;9;9;5,2;4,9;5,2;5,6;6,1;6,4;6,8;7,2;7,3;7,4;6,6;6,5;6,2;6,1;6,3;6,1;
Idaho;ID;16;6;7;7;7;7;9;10;11;11;11;8,6;7,8;7,2;7,2;7,4;7,3;7,4;7,4;7,2;7,2;7,9;8,0;7,5;7,7;7,5;7,3;
Illinois;IL;17;111;104;103;102;103;108;107;104;102;100;10,0;9,2;9,0;9,0;9,0;9,2;8,6;8,1;8,0;7,8;8,6;8,3;8,0;8,0;7,8;7,6;
Indiana;IN;18;49;47;47;48;50;53;55;56;56;54;9,3;8,7;8,6;8,8;8,9;9,2;9,1;8,9;8,8;8,5;9,0;8,9;8,5;8,6;8,5;8,1;
Iowa;IA;19;29;28;27;28;27;28;28;28;27;27;10,4;9,8;9,3;9,8;9,7;9,9;9,6;9,4;9,2;9,1;7,7;7,7;7,3;7,4;7,3;7,2;
Kansas;KS;20;22;22;22;22;22;24;25;25;25;24;9,7;9,6;9,3;9,1;9,0;9,3;9,2;9,0;8,9;8,8;8,4;8,2;7,9;8,1;7,9;7,8;
Kentucky;KY;21;33;33;34;35;35;37;40;40;40;40;10,3;9,6;9,2;9,4;9,5;9,6;9,8;9,6;9,5;9,5;9,9;9,8;9,4;9,6;9,2;9,0;
Louisiana;LA;22;33;34;36;37;38;40;41;44;40;40;9,2;8,7;8,5;8,4;8,9;9,1;9,2;9,8;9,3;9,3;10,0;10,0;9,9;10,2;9,3;9,2;
Maine;ME;23;11;10;11;11;11;12;12;13;12;12;11,1;9,6;9,6;9,8;9,0;9,5;9,7;9,7;9,3;9,5;8,5;8,2;8,1;8,1;7,8;7,7;
Maryland;MD;24;33;32;34;37;38;42;44;44;44;44;8,4;7,7;8,1;8,3;8,0;8,3;8,3;7,8;7,8;7,8;8,6;8,5;8,1;8,0;7,9;7,8;
Massachusetts;MA;25;57;54;55;56;53;55;57;54;53;53;10,1;9,4;9,6;9,5;8,8;9,1;8,9;8,4;8,3;8,2;7,9;7,8;7,4;7,2;7,2;7,1;
Michigan;MI;26;76;75;75;79;79;84;87;87;86;87;8,6;8,2;8,1;8,7;8,5;8,8;8,7;8,6;8,5;8,6;8,8;8,5;8,1;8,1;8,1;8,1;
Minnesota;MN;27;34;33;33;35;35;38;38;38;37;37;8,9;8,3;8,2;8,3;7,9;8,1;7,7;7,3;7,2;7,2;7,5;7,1;6,9;6,8;6,7;6,6;
