Year;;Fetal deaths \1;;;Infant deaths;;Fetal mortality rate \1, \2;;;Perinatal mortality rate ;
;Live births;Total ;20 to 27 weeks \3;28 weeks or more \3;Less than 7 days;Less than 28 days;Total ;20-27 weeks \3;28 weeks or more \3;Definition I \4;Definition II \5
1985;3 760 833;29 661;10 958;18 703;21 317;25 573;7,83;2,91;4,95;10,59;14,57
1990;4 158 445;31 386;13 427;17 959;19 439;23 591;7,49;3,22;4,30;8,95;13,12
1995;3 899 589;27 294;13 043;14 251;15 483;19 186;6,95;3,33;3,64;7,60;11,84
1996;3 891 494;27 069;12 990;14 079;14 947;18 556;6,91;3,33;3,60;7,43;11,64
1997;3 880 894;26 486;12 800;13 686;14 827;18 507;6,78;3,29;3,51;7,32;11,51
1998;3 941 553;26 702;13 229;13 473;15 061;18 915;6,73;3,35;3,41;7,21;11,50
1999;3 959 417;26 884;13 457;13 427;14 874;18 700;6,74;3,39;3,38;7,12;11,44
2000;4 058 882;27 003;13 497;13 506;14 893;18 733;6,61;3,31;3,32;6,97;11,19
2001;4 026 036;26 373;13 122;13 251;14 622;18 275;6,51;3,25;3,28;6,90;11,02
2002;4 021 825;25 943;13 072;12 871;15 020;18 791;6,41;3,24;3,19;6,91;11,05
2003;4 090 007;25 653;13 168;12 485;15 152;18 935;6,23;3,21;3,04;6,74;10,83
2004;4 112 055;25 655;12 894;12 761;14 836;18 602;6,20;3,13;3,09;6,69;10,70
2005;4 138 349;25 894;13 327;12 567;15 013;18 782;6,22;3,21;3,03;6,64;10,73
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
