Race and year;Infant \1;Neonatal \1;;Postneonatal \1;Fetal mortality rate \2;Late fetal mortality rate \3;Perinatal mortality rate \4;;Maternal mortality rate \5 ;;
;;Under 28 days;Under 7      days;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
ALL RACES;;;;;;;;;;;
1970;20,0;15,1;13,6;4,9;14,0;9,5;23,0;;21,5;;
1980;12,6;8,5;7,1;4,1;9,1;6,2;13,2;;9,2;;
1981;11,9;8,0;6,7;3,9;8,9;5,9;12,6;;8,5;;
1982;11,5;7,7;6,4;3,8;8,8;5,9;12,3;;7,9;;
1983;11,2;7,3;6,1;3,9;8,4;5,4;11,5;;8,0;;
1984;10,8;7,0;5,9;3,8;8,1;5,2;11,0;;7,8;;
1985;10,6;7,0;5,8;3,7;7,8;4,9;10,7;;7,8;;
1986;10,4;6,7;5,6;3,6;7,7;4,7;10,3;;7,2;;
1987;10,1;6,5;5,4;3,6;7,6;4,6;10,0;;6,6;;
1988;10,0;6,3;5,2;3,6;7,5;4,5;9,7;;8,4;;
1989;9,8;6,2;5,1;3,6;7,5;4,5;9,6;;7,9;;
1990;9,2;5,8;4,8;3,4;7,5;4,3;9,1;;8,2;;
1991;8,9;5,6;4,6;3,4;7,3;4,1;8,7;;7,9;;
1992;8,5;5,4;4,4;3,1;7,4;4,1;8,5;;7,8;;
1993;8,4;5,3;4,3;3,1;7,1;3,8;8,1;;7,5;;
1994;8,0;5,1;4,2;2,9;7,0;3,7;7,9;;8,3;;
1995;7,6;4,9;4,0;2,7;7,0;3,6;7,6;;7,1;;
1996;7,3;4,8;3,8;2,5;6,9;3,6;7,4;;7,6;;
1997;7,2;4,8;3,8;2,5;6,8;3,5;7,3;;8,4;;
1998;7,2;4,8;3,8;2,4;6,7;3,4;7,2;;7,1;;
1999;7,1;4,7;3,8;2,3;6,7;3,4;7,1;;9,9;;
2000;6,9;4,6;3,7;2,3;6,6;3,3;7,0;;9,8;;
2001;6,8;4,5;3,6;2,3;6,5;3,3;6,9;;9,9;;
2002;7,0;4,7;3,7;2,3;6,4;3,2;6,9;;8,9;;
2003;6,9;4,6;3,7;2,2;6,2;3,0;6,7;\6;12,1;;
2004;6,8;4,5;3,6;2,3;6,2;3,1;6,7;\6;13,1;;
2005;6,9;4,5;3,6;2,3;6,2;3,0;6,6;\6;15,1;;
2006;6,7;4,5;3,5;2,2;(NA);(NA);(NA);;13,3;;
;;;;;;;;;;;
Race of child: \7 White;;;;;;;;;;;
;;;;;;;;;;;
1970;17,8;13,8;12,5;4,0;12,3;8,6;21,0;;14,4;;
