;;;Total \1;;;;;;;;;White;;;;;;;;;Black;;;;;;;;
;Post office abbreviation;2-DIGIT ANSI code;;;;;;;;;;;;;;;;;;;;;;;;;;;
State;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;1980;1990;2000;2001;2002;2003;2004;2005;2006;1980;1990;2000;2001;2002;2003;2004;2005;2006;1980;1990;2000;2001;2002;2003;2004;2005;2006
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
  United States;US;00;12,6;9,2;6,9;6,8;7,0;6,9;6,8;6,9;6,7;10,9;7,6;5,7;5,7;5,8;5,7;5,7;5,7;5,6;22,2;18,0;14,1;14,0;14,4;14,0;13,8;13,7;13,3
Alabama;AL;01;15,1;10,8;9,4;9,4;9,1;8,7;8,7;9,4;9,0;11,6;8,1;6,6;6,8;7,1;6,5;6,8;7,2;6,7;21,6;16,0;15,4;15,1;13,9;14,1;13,3;14,7;14,2
Alaska;AK;02;12,3;10,5;6,8;8,1;5,5;7,0;6,7;5,9;6,9;9,4;7,6;5,8;5,8;4,2;5,7;5,5;4,7;4,5;19,5;(B);(B);(B);(B);(B);     (B);     (B);(B)
Arizona;AZ;04;12,4;8,8;6,7;6,9;6,4;6,5;6,7;6,9;6,4;11,8;7,8;6,2;6,1;6,2;6,2;6,5;6,6;6,0;18,4;20,6;17,6;22,8;13,0;14,7;12,0;12,6;16,9
Arkansas;AR;05;12,7;9,2;8,4;8,3;8,3;8,7;8,3;7,9;8,5;10,3;8,4;7,0;6,8;6,9;7,6;7,1;6,4;6,9;20,0;13,9;13,7;14,5;13,9;13,5;13,4;14,9;15,7
California;CA;06;11,1;7,9;5,4;5,4;5,5;5,2;5,2;5,3;5,0;10,6;7,0;5,1;5,0;5,2;4,9;4,9;5,0;4,8;18,0;16,8;12,9;12,9;12,9;12,6;12,4;13,6;12,1
Colorado;CO;08;10,1;8,8;6,2;5,8;6,1;6,1;6,3;6,4;5,7;9,8;7,8;5,6;5,5;5,5;5,5;6,0;6,0;5,5;19,1;19,4;19,5;12,8;21,1;20,4;14,7;16,3;12,4
Connecticut;CT;09;11,2;7,9;6,6;6,1;6,5;5,4;5,5;5,8;6,2;10,2;6,3;5,6;4,7;5,5;4,7;4,5;4,9;4,9;19,1;17,6;14,4;16,9;14,2;11,2;12,9;13,5;14,8
Delaware;DE;10;13,9;10,1;9,2;10,7;8,7;9,4;8,6;9,0;8,3;9,8;9,7;7,9;8,0;7,3;6,7;6,5;6,0;6,2;27,9;20,1;14,8;19,9;12,9;18,2;15,5;18,9;14,3
