Cause of Death ;International Classification of Disease Codes           (Tenth Revision);;;;;;
;;2005;;;2006;;
;;;;;;;
;;Number;Rate;Age-adjusted rate \1;Number;Rate;Age-adjusted rate \1
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
    All causes ;;2 448 017;825,9;798,8;2 426 264;810,4;776,5
;;;;;;;
Major cardiovascular diseases;I00-I78;856 030;288,8;277,3;823 746;275,1;261,2
  Diseases of heart;I00-I09,I11,I13,I20-I51;652 091;220,0;211,1;631 636;211,0;200,2
    Acute rheumatic fever and chronic rheumatic heart disease;I00-I09;3 365;1,1;1,1;3 257;1,1;1,1
    Hypertensive heart disease;I11;29 282;9,9;9,4;29 788;9,9;9,4
    Hypertensive heart and renal disease;I13;3 172;1,1;1,0;2 918;1,0;0,9
    Ischemic heart disease;I20-I25;445 687;150,4;144,4;425 425;142,1;134,9
      Acute myocardial infarction;I21-I22;151 004;50,9;49,1;141 462;47,2;45,0
      Other acute ischemic heart diseases;I24;3 565;1,2;1,2;3 932;1,3;1,2
      Other forms of chronic ischemic heart disease;I20,I25;291 118;98,2;94,2;280 031;93,5;88,7
        Atherosclerotic cardiovascular disease, so described;I25.0;62 799;21,2;20,3;61 030;20,4;19,3
        All other forms of chronic ischemic heart disease;I20, I25.1-I25.9;228 319;77,0;73,9;219 001;73,1;69,4
    Other heart diseases;I26-I51;170 585;57,6;55,2;170 248;56,9;53,9
      Acute and subacute endocarditis;I33;1 209;0,4;0,4;1 216;0,4;0,4
      Diseases of pericardium and acute myocarditis;I30-I31,I40;864;0,3;0,3;816;0,3;0,3
      Heart failure;I50;58 933;19,9;18,9;60 337;20,2;18,9
      All other forms of heart disease;I26-I28,I34-I38,I42-I49,I51;109 579;37,0;35,6;107 879;36,0;34,3
;;;;;;;
  Essential (primary) hypertension and hypertensive renal disease;I10,I12;24 902;8,4;8,0;23 855;8,0;7,5
  Cerebrovascular diseases;I60-I69;143 579;48,4;46,6;137 119;45,8;43,6
  Atherosclerosis ;I70;11 841;4,0;3,8;8 652;2,9;2,7
  Other diseases of circulatory system;I71-I78;23 617;8,0;7,8;22 484;7,5;7,2
    Aortic aneurysm and dissection;I71;13 843;4,7;4,6;13 238;4,4;4,3
    Other diseases of arteries, arterioles and capillaries;I72-I78;9 774;3,3;3,2;9 246;3,1;2,9
Other disorders of circulatory system;I80-I99;4 813;1,6;1,6;3 995;1,3;1,3
;;;;;;;
Malignant neoplasms;C00-C97;559 312;188,7;183,8;559 888;187,0;180,7
  Malignant neoplasms of lip, oral cavity, and pharynx;C00-C14;7 773;2,6;2,5;7 720;2,6;2,5
  Malignant neoplasms of esophagus;;13 499;4,6;4,4;13 686;4,6;4,4
