;;;;;;;;;;;;;;;;;
;International Classification of Diseases code;;;;;;;;;;;;;;;;
Cause of death ;;All ages \1;Under 1 year;1 to 4 years;5 to 14 years;15 to 24 years;25 to 34 years ;35 to 44 years;45 to 54 years;55 to 64 years;65 to 74 years;75 to 84 years;85 years;;;;
;;;;;;;;;;;;;and over;;;;
;;;;;;;;;;;;;;;;;
    All causes \2;(X);2 426 264;28 527;4 631;6 149;34 887;42 952;83 043;185 031;281 401;390 093;667 338;701 992;;;;
;;;;;;;;;;;;;;;;;
Salmonella infections;(A01-A02);34;3;1;-;1;-;1;2;4;7;9;6;;;;
Shigellosis and amebiasis;(A03,A06);6;-;3;-;-;-;-;1;1;-;1;-;;;;
Certain other intestinal infections;(A03,A06);6 639;13;9;4;10;11;33;124;363;911;2 484;2 677;;;;
Tuberculosis;(A16-A19);652;-;4;1;4;18;31;97;101;117;168;111;;;;
  Respiratory tuberculosis;(A16);490;-;-;1;2;14;22;67;83;84;132;85;;;;
  Other tuberculosis;(A17-A19);162;-;4;-;2;4;9;30;18;33;36;26;;;;
Whooping cough;(A37);9;8;-;-;-;-;-;-;-;-;1;-;;;;
Scarlet fever and erysipelas;(A38,A46);2;-;-;1;-;-;-;1;-;-;-;-;;;;
Meningococcal infection;(A39);105;11;14;7;22;13;6;13;9;4;4;2;;;;
Septicemia;(A40-A41);34 234;269;88;84;139;291;870;2 260;4 032;6 064;10 745;9 392;;;;
Syphilis;(A50-A53);38;-;1;-;1;-;4;4;7;4;7;10;;;;
Acute poliomyelitis;(A80);-;-;-;-;-;-;-;-;-;-;-;-;;;;
Arthropod-borne viral encephalitis;(A83-A84,A85.2);5;-;-;1;1;-;-;2;-;1;-;-;;;;
Measles;(B05);-;-;-;-;-;-;-;-;-;-;-;-;;;;
Viral hepatitis;(B15-B19);7 250;1;1;-;11;61;534;2 911;2 127;843;598;163;;;;
