;;;Age-adjusted rates per 100,000 population  2006;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;Accidents;;;;;;;;;
State;;;;;;;Chronic lower respiratory disease;;;;;;Nephritis, nephrotic syndrome and nephrosis;;;;
;Post Office abbreviation;2-DIGIT ANSI code;;;Malignant neoplasms (cancer);;;;Motor vehicle accidents;;;Influenza and pneumonia;;Injury;Intentional self-harm (suicide);;Human immunodeficiency virus (HIV)
;;;;Diseases of heart;;Cerebrovascular diseases;;;;Diabetes mellitus;Alzheimer's disease;;;by;;Assault (homicide);
;;;Total;;;;;Total;;;;;;firearms;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
  United States ;US;00;776,5;200,2;180,7;43,6;40,5;39,8;15,0;23,3;22,6;17,8;14,5;10,2;10,9;6,2;4,0
Alabama;AL;01;952,4;253,3;197,7;55,3;46,7;53,8;26,6;29,3;30,3;18,6;22,2;16,8;12,4;9,8;4,2
Alaska;AK;02;775,9;167,2;177,4;47,2;37,2;51,9;13,1;25,6;24,7;13,5;12,6;17,1;20,0;6,1;(S)
Arizona;AZ;04;724,1;164,2;155,7;34,5;43,7;53,8;21,4;19,0;31,4;18,1;8,8;15,9;16,0;8,9;2,4
Arkansas ;AR;05;888,9;233,0;196,0;58,8;47,4;49,1;25,9;26,9;23,9;23,9;19,3;15,1;13,3;8,5;2,8
California;CA;06;700,2;192,5;162,3;44,9;39,1;31,6;12,2;22,1;24,1;21,8;8,0;9,1;9,2;6,9;3,3
Colorado;CO;08;716,8;151,6;157,7;38,9;49,3;42,1;12,3;16,6;27,7;15,4;12,1;10,4;15,2;3,7;1,7
Connecticut;CT;09;714,8;177,3;177,8;36,3;35,5;34,6;10,1;19,2;16,2;18,5;13,7;5,0;8,0;3,9;3,4
Delaware;DE;10;784,0;201,2;191,4;41,7;37,5;37,9;16,4;20,5;20,4;15,1;16,5;9,2;10,4;6,1;6,1
District of Columbia;DC;11;892,9;260,0;198,7;36,9;21,5;38,1;6,8;30,6;18,3;12,6;11,1;20,6;5,1;23,3;37,3
Florida;FL;12;711,3;175,1;172,0;35,3;35,9;46,0;18,9;21,7;17,0;9,7;10,5;11,1;12,6;7,0;9,7
Georgia ;GA;13;858,8;213,2;180,4;51,3;45,1;43,8;18,9;20,6;25,7;19,7;21,7;12,2;10,0;7,1;7,2
Hawaii;HI;15;629,6;147,2;147,6;43,2;19,4;31,7;11,9;18,1;12,2;16,2;11,8;2,5;9,2;2,1;(S)
Idaho;ID;16;747,4;168,5;163,2;51,8;46,6;47,0;20,4;23,0;28,1;15,8;9,2;12,6;15,6;2,6;(S)
Illinois;IL;17;781,1;204,4;187,2;45,3;36,9;34,3;10,9;21,6;20,6;20,1;19,2;8,0;7,8;6,7;3,0
Indiana;IN;18;847,6;217,2;197,7;49,0;50,8;38,7;15,0;25,8;25,2;17,0;20,8;11,6;13,0;5,9;2,2
Iowa;IA;19;730,3;184,7;179,6;42,9;45,3;35,4;14,6;21,9;26,3;18,8;5,7;6,3;11,1;2,5;(S)
