Characteristic;;;;;;;;;;;;;;;;;;
;1950 \1, \2;1960 \1;1970;1980;1985;1990;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006
;;;;;;;;;;;;;;;;;;
All persons;;;;;;;;;;;;;;;;;;
  All ages, age adjusted \2;13,2;12,5;13,1;12,2;12,5;12,5;11,8;11,5;11,2;11,1;10,5;10,4;10,7;10,9;10,8;10,9;10,9;10,9
;;;;;;;;;;;;;;;;;;
  All ages, crude \3;11,4;10,6;11,6;11,9;12,4;12,4;11,7;11,5;11,2;11,1;10,5;10,4;10,8;11,0;10,8;11,0;11,0;11,1
Under 1 year;(X);(X);(X);(X);(X);(X);(X);(X);(X);(X);(X);(X);(X);(X);(X);(X);(X);    (X)
1 to 4 years;(X);(X);(X);(X);(X);(X);(X);(X);(X);(X);(X);(X);(X);(X);(X);(X);(X);    (X)
5 to 14 years;0,2;0,3;0,3;0,4;0,8;0,8;0,9;0,8;0,8;0,8;0,6;0,7;0,7;0,6;0,6;0,7;0,7;0,5
15 to 24 years;4,5;5,2;8,8;12,3;12,8;13,2;13,0;11,8;11,2;10,9;10,1;10,2;9,9;9,9;9,7;10,3;10,0;9,9
  15 to 19 years;2,7;3,6;5,9;8,5;9,9;11,1;10,3;9,6;9,3;8,8;8,0;8,0;7,9;7,4;7,3;8,2;7,7;7,3
  20 to 24 years;6,2;7,1;12,2;16,1;15,4;15,1;15,8;14,2;13,3;13,2;12,3;12,5;12,0;12,4;12,1;12,5;12,4;12,5
25 to 44 years;11,6;12,2;15,4;15,6;15,0;15,2;15,1;14,8;14,5;14,3;13,6;13,4;13,8;14,0;13,8;13,9;13,7;    (NA)
  25 to 34 years;9,1;10,0;14,1;16,0;15,3;15,2;15,0;14,0;13,7;13,2;12,7;12,0;12,8;12,6;12,7;12,7;12,4;12,3
  35 to 44 years;14,3;14,2;16,9;15,4;14,6;15,3;15,1;15,5;15,2;15,3;14,3;14,5;14,7;15,3;14,9;15,0;14,9;15,1
45 to 64 years;23,5;22,0;20,6;15,9;16,3;15,3;13,9;14,3;14,0;13,9;13,2;13,5;14,4;14,9;15,0;15,4;15,4;    (NA)
  45 to 54 years;20,9;20,7;20,0;15,9;15,7;14,8;14,4;14,7;14,5;14,6;13,9;14,4;15,2;15,7;15,9;16,6;16,5;17,2
  55 to 64 years;26,8;23,7;21,4;15,9;16,8;16,0;13,2;13,5;13,3;12,9;12,2;12,1;13,1;13,6;13,8;13,8;13,9;14,5
65 years and over ;30,0;24,5;20,8;17,6;20,4;20,5;17,9;17,1;16,7;16,8;15,8;15,2;15,3;15,6;14,6;14,3;14,7;    (NA)
  65 to 74 years;29,6;23,0;20,8;16,9;18,7;17,9;15,7;14,9;14,3;14,0;13,4;12,5;13,3;13,5;12,7;12,3;12,6;12,6
  75 to 84 years;31,1;27,9;21,2;19,1;23,9;24,9;20,6;19,9;19,1;19,6;18,1;17,6;17,4;17,7;16,4;16,3;16,9;15,9
  85 years and over ;28,8;26,0;19,0;19,2;19,4;22,2;21,3;20,0;20,6;21,1;19,3;19,6;17,5;18,0;16,9;16,4;16,9;15,9
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
MALE;;;;;;;;;;;;;;;;;;
  All ages, age adjusted \2;21,2;20,0;19,8;19,9;21,1;21,5;20,3;19,8;19,1;18,9;17,8;17,7;18,2;18,4;18,0;18,0;18,0;18,0
;;;;;;;;;;;;;;;;;;
  All ages, crude \3;17,8;16,5;16,8;18,6;20,0;20,4;19,5;19,0;18,3;18,2;17,1;17,1;17,6;17,9;17,6;17,7;17,7;17,8
Under 1 year;(X);(X);(X);(X);(X);(X);(X);(X);(X);(X);(X);(X);(NA);(NA);(B);(B);(B);    (B)
1 to 4 years;(X);(X);(X);(X);(X);(X);(X);(X);(X);(X);(X);(X);(NA);(NA);(B);(B);(B);    (B)
5 to 14 years;0,3;0,4;0,5;0,6;1,2;1,1;1,3;1,1;1,1;1,2;0,9;1,2;1,0;0,9;0,9;0,9;1,0;0,7
15 to 19 years;3,5;5,6;8,8;13,8;15,8;18,1;17,1;15,4;14,9;14,3;13,0;13,0;12,9;12,2;11,6;12,6;12,1;11,5
20 to 24 years;9,3;11,5;19,3;26,8;25,7;25,7;27,0;24,5;22,7;22,3;20,8;21,4;20,5;20,8;20,2;20,8;20,2;20,8
25 to 34 years;13,4;14,7;19,8;25,0;24,7;24,8;24,8;23,1;22,5;21,5;20,7;19,6;21,0;20,5;20,6;20,4;19,9;19,7
35 to 44 years;21,3;21,0;22,1;22,5;22,3;23,9;24,0;24,5;23,8;23,8;22,4;22,8;23,1;23,7;23,2;23,0;23,1;23,2
45 to 54 years;32,0;31,6;27,9;22,9;23,6;23,2;22,5;22,9;22,1;22,6;21,5;22,4;23,4;24,4;24,4;24,8;25,2;26,2
55 to 64 years;43,6;38,1;32,7;24,5;27,1;25,7;21,8;22,4;22,1;20,9;19,8;19,4;21,1;22,2;22,3;22,1;22,2;22,7
65 to 74 years;50,5;39,6;36,0;30,4;33,9;32,2;28,5;27,5;26,1;25,9;24,7;22,7;24,6;24,7;23,4;22,6;22,7;22,7
75 to 84 years;58,3;52,5;42,8;42,3;53,1;56,1;44,9;43,5;41,1;42,5;38,8;38,6;37,8;38,1;35,1;34,8;35,8;33,3
85 years and over;58,3;57,4;42,4;50,6;56,2;65,9;62,7;60,5;61,0;59,8;57,1;57,5;51,1;50,7;47,8;45,0;45,0;43,2
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
FEMALE;;;;;;;;;;;;;;;;;;
  All ages, age adjusted \2;5,6;5,6;7,4;5,7;5,2;4,8;4,3;4,3;4,3;4,3;4,0;4,0;4,0;4,2;4,2;4,5;4,4;4,5
;;;;;;;;;;;;;;;;;;
  All ages, crude \3;5,1;4,9;6,6;5,5;5,2;4,8;4,3;4,3;4,3;4,3;4,0;4,0;4,1;4,3;4,3;4,6;4,5;4,6
Under 1 year;(X);(X);(X);(X);(X);(X);(X);(X);(X);(X);(X);(X);(NA);(NA);(B);(B);(B);     (B)
