;;;;;;;;;;;;;;;;;;
Characteristic;1987;1990;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;
;;;;;;;;;;;;;;;;;;
All persons;;;;;;;;;;;;;;;;;;
All ages, age adjusted \1;5,6;10,2;13,1;14,4;16,0;16,2;11,5;6,0;4,9;5,3;5,2;5,0;4,9;4,7;4,5;4,2;4,0;
All ages, crude \2;5,6;10,1;13,1;14,3;16,0;16,2;11,6;6,1;4,9;5,3;5,1;5,0;4,9;4,7;4,4;4,2;4,0;
Under 1 year;2,3;2,7;2,5;2,2;2,5;1,5;1,1;(B);(B);(B);(B);(B);(B);(B);(B);(B);(B);
1 to 4 years;0,7;0,8;1,0;1,3;1,2;1,3;0,9;0,3;0,2;0,2;(B);(B);(B);(B);(B);(B);(B);
5 to 14 years;0,1;0,2;0,3;0,4;0,5;0,5;0,5;0,3;0,1;0,2;0,1;0,1;0,1;0,1;0,1;(B);(B);
15 to 24 years;1,3;1,5;1,6;1,7;1,8;1,7;1,1;0,7;0,5;0,5;0,5;0,6;0,4;0,4;0,5;0,4;0,5;
25 to 34 years;11,7;19,7;24,2;26,5;28,6;28,3;19,2;9,7;7,1;6,8;6,1;5,3;4,6;4,0;3,7;3,3;2,9;
35 to 44 years;14,0;27,4;35,5;38,9;43,9;44,2;31,3;16,0;12,8;13,8;13,1;13,0;12,7;12,0;10,9;9,9;9,2;
45 to 54 years;8,0;15,2;20,2;22,5;25,3;26,0;19,1;10,3;8,9;10,7;11,0;10,5;11,2;10,9;10,6;10,6;10,1;
55 to 64 years ;3,5;6,2;8,5;8,8;10,3;10,9;8,3;4,8;4,3;4,8;5,1;5,2;5,1;5,4;5,4;5,3;5,5;
65 to 74 years;1,3;2,0;2,8;2,9;3,1;3,6;2,7;1,8;1,6;2,2;2,2;2,1;2,2;2,4;2,4;2,3;2,5;
75 to 84 years;0,8;0,7;0,8;0,8;0,9;0,7;0,8;0,6;0,5;0,6;0,7;0,7;0,8;0,7;0,8;0,8;0,8;
85 years and over;(B);(B);(B);(B);(B);(B);(B);(B);(B);(B);(B);(B);(B);(B);(B);(B);(B);
;;;;;;;;;;;;;;;;;;
Male;;;;;;;;;;;;;;;;;;
All ages, age adjusted \1;10,4;18,5;23,3;25,1;27,5;27,3;19,0;9,6;7,6;8,2;7,9;7,5;7,4;7,1;6,6;6,2;5,9;
All ages, crude \2;10,2;18,5;23,4;25,3;27,7;27,6;19,2;9,7;7,6;8,2;7,9;7,6;7,4;7,1;6,6;6,3;5,9;
Under 1 year ;2,2;2,4;2,3;2,1;2,1;1,7;1,1;(B);(B);(B);(B);(B);(B);(B);(B);(B);(B);
1 to 4 years;0,7;0,8;1,1;1,3;1,2;1,2;0,9;0,3;(B);(B);(B);(B);(B);(B);(B);(B);(B);
5 to 14 years;0,2;0,3;0,4;0,4;0,5;0,5;0,5;0,3;0,1;0,2;0,1;0,1;(B);(B);(B);(B);(B);
15 to 24 years ;2,2;2,2;2,2;2,2;2,2;2,0;1,3;0,8;0,5;0,5;0,5;0,5;0,4;0,4;0,5;0,4;0,6;
25 to 34 years ;20,7;34,5;41,6;45,0;47,2;45,5;30,2;14,4;10,0;9,5;8,0;7,1;5,9;5,1;4,5;4,0;3,5;
35 to 44 years ;26,3;50,2;63,3;68,2;75,9;75,5;51,7;25,4;20,0;21,0;19,8;19,5;18,8;17,5;15,7;14,3;12,9;
45 to 54 years ;15,5;29,1;37,9;41,3;45,8;46,2;33,1;17,1;14,8;17,5;17,8;16,8;17,7;17,2;16,3;16,4;15,3;
55 to 64 years ;6,8;12,0;15,8;16,4;18,9;19,7;14,7;8,3;7,2;8,3;8,7;8,6;8,5;9,1;9,0;8,8;8,9;
65 to 74 years ;2,4;3,7;5,3;5,4;5,8;6,4;5,0;3,4;2,9;3,8;3,8;3,5;3,9;4,0;4,0;4,1;4,2;
75 to 84 years ;1,2;1,1;1,6;1,4;1,4;1,3;1,5;1,0;0,9;1,0;1,3;1,5;1,4;1,5;1,4;1,4;1,6;
85 years and over ;(B);(B);(B);(B);(B);(B);(B);(B);(B);(B);(B);(B);(B);(B);(B);(B);(B);
;;;;;;;;;;;;;;;;;;
Female;;;;;;;;;;;;;;;;;;
All ages, age adjusted \1;1,1;2,2;3,2;3,9;4,8;5,3;4,2;2,6;2,2;2,5;2,5;2,5;2,5;2,4;2,4;2,3;2,2;
All ages, crude \2;1,1;2,2;3,2;3,9;4,8;5,3;4,3;2,6;2,2;2,5;2,5;2,5;2,5;2,4;2,4;2,2;2,2;
Under 1 year ;2,5;3,0;2,7;2,4;2,9;1,2;(B);(B);(B);(B);(B);(B);(B);(B);(B);(B);(B);
1 to 4 years;0,7;0,8;1,0;1,3;1,3;1,5;1,0;0,4;(B);(B);(B);(B);(B);(B);(B);(B);(B);
5 to 14 years ;(B);0,2;0,2;0,4;0,5;0,5;0,4;0,2;0,2;0,2;0,1;(B);(B);(B);(B);(B);(B);
15 to 24 years ;0,3;0,7;0,9;1,1;1,2;1,4;0,9;0,7;0,5;0,5;0,4;0,6;0,4;0,4;0,4;0,3;0,4;
25 to 34 years ;2,8;4,9;6,8;7,9;9,9;10,9;8,2;4,9;4,2;4,1;4,2;3,5;3,3;2,8;2,8;2,6;2,3;
35 to 44 years ;2,1;5,2;8,2;10,2;12,4;13,3;11,2;6,7;5,7;6,7;6,5;6,7;6,7;6,5;6,2;5,6;5,4;
45 to 54 years;0,8;1,9;3,3;4,4;5,7;6,6;5,6;3,7;3,1;4,1;4,4;4,4;4,8;4,8;5,2;5,1;5,1;
55 to 64 years ;0,5;1,1;1,9;1,9;2,5;2,8;2,5;1,6;1,6;1,6;1,8;2,0;1,9;2,1;2,0;2,0;2,3;
65 to 74 years;0,5;0,8;0,9;0,9;1,0;1,4;0,8;0,5;0,6;0,8;0,8;0,9;0,8;1,0;1,0;0,9;1,1;
75 to 84 years;0,5;0,4;0,4;0,4;0,5;0,3;0,3;0,4;0,3;0,3;0,3;(B);0,3;0,3;0,5;0,4;0,3;
85 years and over;(B);(B);(B);(B);(B);(B);(B);(B);(B);(B);(B);(B);(B);(B);(B);(B);(B);
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
White male;;;;;;;;;;;;;;;;;;
All ages, age adjusted;8,7;15,7;18,9;19,8;21,0;20,4;13,1;5,9;4,5;4,9;4,6;4,4;4,3;4,2;3,8;3,6;3,4;
Black male;;;;;;;;;;;;;;;;;;
All ages, age adjusted;26,2;46,3;65,1;73,8;86,2;89,0;70,3;40,9;33,2;36,1;35,1;33,8;33,3;31,3;29,2;28,2;26,3;
American Indian, Alaska Native male;;;;;;;;;;;;;;;;;;
All ages, age adjusted;(B);3,3;4,8;7,9;8,9;10,5;6,4;3,3;3,5;4,2;3,5;4,2;3,4;3,5;4,3;4,0;3,3;
Asian or Pacific Islander male;;;;;;;;;;;;;;;;;;
All ages, age adjusted;2,5;4,3;4,6;5,3;6,7;6,0;4,4;1,6;1,3;1,4;1,2;1,2;1,5;1,1;1,2;1,0;1,1;
Hispanic male \3;;;;;;;;;;;;;;;;;;
All ages, age adjusted;18,8;28,8;35,1;35,2;41,5;40,8;28,0;14,0;10,2;10,9;10,6;9,7;9,1;9,2;8,2;7,5;7,0;
Non-Hispanic, White male \3;;;;;;;;;;;;;;;;;;
All ages, age adjusted;10,7;14,1;16,7;17,4;18,5;17,9;11,2;4,8;3,7;4,0;3,8;3,6;3,5;3,4;3,1;3,0;2,8;
;;;;;;;;;;;;;;;;;;
White female ;;;;;;;;;;;;;;;;;;
All ages, age adjusted;0,6;1,1;1,6;1,9;2,3;2,5;1,9;1,0;0,8;1,0;1,0;0,9;0,9;0,9;0,9;0,8;0,7;
Black female;;;;;;;;;;;;;;;;;;
All ages, age adjusted;4,6;10,1;14,7;17,6;22,4;24,4;20,8;13,7;12,0;13,1;13,2;13,4;13,4;12,8;13,0;12,0;12,2;
American Indian, Alaska Native female;;;;;;;;;;;;;;;;;;
All ages, age adjusted;(B);(B);0,5;1,0;1,4;2,5;1,4;1,0;0,6;1,0;1,0;(B);(B);1,5;1,5;1,5;1,5;
Asian or Pacific Islander female;;;;;;;;;;;;;;;;;;
All ages, age adjusted;(B);(B);0,5;0,8;0,7;0,6;0,5;0,2;0,3;0,2;0,2;(B);(B);(B);(B);(B);(B);
Hispanic female \3;;;;;;;;;;;;;;;;;;
All ages, age adjusted;2,1;3,8;5,7;6,8;8,0;8,8;6,3;3,3;2,8;3,0;2,9;2,7;2,6;2,7;2,4;1,9;1,9;
Non-Hispanic, White female \3;;;;;;;;;;;;;;;;;;
All ages, age adjusted;0,5;0,7;1,0;1,3;1,6;1,7;1,3;0,7;0,5;0,7;0,7;0,6;0,6;0,6;0,6;0,6;0,6;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
