Characteristics;Number of deaths (1,000);Life years lost \1;;  Mortality cost \2;
;;;;;
;;Total (1,000);Per death;Total (million dollars);Per death (dollars)
;;;;;
;;;;;
;;;;;
   2000, total;2 403;38 843;16,2;431 992;179 772
;;;;;
Under 5 years old;33;2 522;76,4;30 421;921 471
5 to 14 years old;7;513;69,2;8 331;1 123 778
15 to 24 years old;31;1 835;58,6;43 039;1 374 751
25 to 44 years old;130;5 604;43,1;144 409;1 108 713
45 to 64 years old;346;10 555;30,5;168 201;486 146
65 years old and over;1 855;17 815;9,6;37 591;20 265
;;;;;
Heart disease;711;8 917;12,5;72 224;101 623
Cancer;553;10 028;18,1;107 501;194 367
Cerebrovascular diseases;168;1 934;11,5;12 103;72 187
Accidents and adverse effects;98;3 303;33,8;69 429;709 801
Other;874;14 661;16,8;170 736;195 408
;;;;;
   Male;1 177;20 415;17,3;316 850;269 135
Under 5 years old;19;1 373;74,0;19 287;1 040 197
5 to 14 years old;4;295;67,0;5 540;1 258 796
15 to 24 years old;23;1 319;57,2;34 230;1 483 692
25 to 44 years old;85;3 549;41,7;107 638;1 263 555
45 to 64 years old;244;6 098;25,0;123 301;505 917
65 years old and over;802;7 781;9,7;26 853;33 467
;;;;;
Heart disease;345;4 709;13,7;56 883;164 989
Cancer;286;5 333;18,6;75 819;265 036
Cerebrovascular diseases;65;777;12,0;7 861;121 377
Accidents and adverse effects;64;2 259;35,4;55 756;874 831
Other;418;7 336;17,6;120 531;288 386
;;;;;
   Female;1 226;18 428;15,0;115 142;93 939
Under 5 years old;14;1 149;79,4;11 134;769 356
5 to 14 years old;3;218;72,4;2 791;926 495
15 to 24 years old;8;516;62,6;8 809;1 069 584
25 to 44 years old;45;2 054;45,6;36 770;815 994
45 to 64 years old;102;4 457;43,6;44 899;439 031
65 years old and over;1 053;10 034;9,5;10 738;10 201
;;;;;
Heart disease;366;4 208;11,5;15 341;41 923
Cancer;267;4 695;17,6;31 681;118 653
Cerebrovascular diseases;103;1 157;11,2;4 241;41 223
Accidents and adverse effects;34;1 044;30,6;13 673;401 183
Other;456;7 325;16,1;50 205;110 150
;;;;;
  2005 Total \3;2 448;41 556;17,0;565 966;231 218
;;;;;
Under 5 years old;33;2 569;77,4;35 697;1 075 355
5 to 14 years old;7;463;70,1;8 622;1 306 014
15 to 24 years old;34;2 034;59,4;54 679;1 597 211
25 to 44 years old;127;5 594;44,2;169 003;1 333 778
45 to 64 years old;398;12 519;31,4;248 645;624 032
65 years old and over;1 849;18 377;9,9;49 320;26 680
;;;;;
Heart disease;652;8 720;13,4;92 744;142 234
Cancer;559;10 612;19,0;141 596;253 165
Cerebrovascular diseases;144;1 689;11,8;14 355;99 982
Accidents and adverse effects;118;3 952;33,6;96 465;819 222
Other;975;16 583;17,0;220 806;226 449
;;;;;
   Male;1 207;21 999;18,2;410 432;339 909
Under 5 years old;19;1 411;75,1;22 263;1 185 278
5 to 14 years old;4;262;67,9;5 536;1 436 712
15 to 24 years old;26;1 481;58,1;43 272;1 696 356
25 to 44 years old;83;3 544;42,9;123 548;1 495 879
45 to 64 years old;280;7 273;26,0;179 456;641 142
65 years old and over;797;8 029;10,1;36 357;45 626
;;;;;
Heart disease;323;4 704;14,6;72 785;225 470
Cancer;290;5 696;19,6;99 673;343 205
Cerebrovascular diseases;57;639;11,3;9 145;161 629
Accidents and adverse effects;76;2 678;35,1;75 916;994 631
Other;461;8 282;18,0;152 913;331 457
;;;;;
   Female;1 240;19 557;15,8;155 534;125 402
Under 5 years old;14;1 158;80,3;13 434;932 103
5 to 14 years old;3;202;73,3;3 087;1 122 828
15 to 24 years old;9;553;63,3;11 407;1 307 343
25 to 44 years old;44;2 051;46,5;45 455;1 030 314
45 to 64 years old;119;5 246;44,3;69 188;583 633
65 years old and over;1 052;10 348;9,8;12 963;12 325
;;;;;
Heart disease;329;4 016;12,2;19 959;60 622
Cancer;269;4 916;18,3;41 924;155 916
Cerebrovascular diseases;87;1 050;12,1;5 210;59 886
Accidents and adverse effects;41;1 273;30,7;20 549;496 038
Other;514;8 301;16,2;67 893;132 154
;;;;;
;;;;;
;;;;;
;;;;;
