Sex and year of marriage                                    ;Number of marriages (1,000s);Anniversary /1;;;;;;;;
;;;;;;;;;;
;;5th  (percent);10th (percent);15th  (percent);20th (percent);25th (percent);30th (percent);35th (percent);40th (percent);
;;;;;;;;;;
;;;;;;;;;;
FIRST MARRIAGES;;;;;;;;;;
Men;;;;;;;;;;
1955 to 1959; 3 884 ;96,4;88,3;80,3;73,8;70,4;67,3;64,7;61,4;
1960 to 1964 \2; 4 602 ;95,1;85,0;75,2;69,7;65,0;62,4;59,7;52,5;
1965 to 1969 \2; 6 161 ;90,5;76,9;67,4;62,3;58,6;55,5;48,2;(X);
1970 to 1974 \2; 7 075 ;88,5;74,4;64,6;58,1;53,8;46,2;(X);(X);
1975 to 1979 \2; 7 001 ;88,1;73,0;65,2;59,6;49,5;(X);(X);(X);
1980 to 1984 \2; 7 625 ;88,7;73,7;65,3;53,8;(X);(X);(X);(X);
1985 to 1989 \2; 7 838 ;89,3;76,4;60,6;(X);(X);(X);(X);(X);
1990 to 1994 \2; 8 070 ;89,4;70,0;(X);(X);(X);(X);(X);(X);
;;;;;;;;;;
Women;;;;;;;;;;
1955 to 1959; 4 890 ;94,0;86,8;79,4;72,4;67,2;63,5;58,9;54,7;
1960 to 1964 \2; 5 548 ;92,8;82,3;72,7;66,5;60,4;56,1;52,7;44,9;
1965 to 1969 \2; 7 023 ;89,5;74,9;65,7;60,0;55,1;51,3;43,8;(X);
1970 to 1974 \2; 8 139 ;87,1;71,6;61,4;55,4;50,6;42,1;(X);(X);
1975 to 1979 \2; 7 714 ;85,3;70,0;61,4;55,7;46,4;(X);(X);(X);
1980 to 1984 \2; 8 058 ;86,5;70,7;63,1;52,4;(X);(X);(X);(X);
1985 to 1989 \2; 8 064 ;85,7;73,0;56,9;(X);(X);(X);(X);(X);
1990 to 1994 \2; 8 546 ;87,2;69,2;(X);(X);(X);(X);(X);(X);
;;;;;;;;;;
SECOND MARRIAGES;;;;;;;;;;
Men;;;;;;;;;;
1975 to 1979 /2; 1 747 ;87,2;74,7;60,9;52,3;42,0;(X);(X);(X);
1980 to 1984 /2; 2 306 ;87,6;75,0;57,5;46,4;(X);(X);(X);(X);
1985 to 1989 /2; 2 415 ;91,9;70,3;52,3;(X);(X);(X);(X);(X);
1990 to 1994 /2; 2 590 ;89,1;68,0;(X);(X);(X);(X);(X);(X);
;;;;;;;;;;
Women;;;;;;;;;;
1975 to 1979 /2; 1 956 ;86,6;72,1;56,1;47,2;36,7;(X);(X);(X);
1980 to 1984 /2; 2 568 ;86,3;71,6;54,4;41,5;(X);(X);(X);(X);
1985 to 1989 /2; 2 790 ;85,7;66,8;48,7;(X);(X);(X);(X);(X);
1990 to 1994 /2; 2 825 ;86,0;64,3;(X);(X);(X);(X);(X);(X);
Footnotes:;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
