;Post Office abbreviations;2-DIGIT ANSI state code;Marriages \1;;;;;;;;;;;;Divorces \3;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Number (1,000);;;;;;Rate per 1,000 population \2;;;;;;Number (1,000);;;;;;Rate per 1,000 population \2;;;;;
State;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;1990;2000;2005;2006;2007;2008;1990;2000;2005;2006;2007;2008;1990;2000;2005;2006;2007;2008;1990;2000;2005;2006;2007;2008
;;;;;;;;;;;;;;;;;;;;;;;;;;
  United States \4;US;00;2 443,5;2 329,0;2 249,0;2 192,7;2 197,0;2 162,0;9,8;8,3;7,6;7,4;7,3;7,1;1 182,0;(NA);(NA);(NA);(NA);(NA);4,7;4,1;3,6;3,7;3,6;3,5
Alabama;AL;01;43,1;45,0;42,0;42,4;41,6;39,0;10,6;10,3;9,2;9,2;9,2;8,4;25,3;23,5;22,4;22,9;21,3;19,5;6,1;5,4;4,9;5,0;4,3;4,2
Alaska;AK;02;5,7;5,6;5,4;5,5;5,8;5,8;10,2;8,9;8,1;8,2;8,4;8,5;2,9;2,7;2,9;2,8;2,9;2,9;5,5;4,4;4,3;4,2;4,3;4,3
Arizona \5;AZ;04;36,8;38,7;38,3;39,0;39,5;37,8;10,0;7,9;6,4;6,3;6,2;5,8;25,1;21,6;24,5;24,3;24,5;24,0;6,9;4,4;4,1;3,9;3,9;3,7
Arkansas;AR;05;36,0;41,1;35,9;35,1;34,3;31,0;15,3;16,0;12,9;12,5;11,9;10,8;16,8;17,9;16,7;16,5;16,9;15,9;6,9;6,9;6,0;5,9;5,9;5,6
California;CA;06;237,1;196,9;228,8;225,3;225,9;246,8;7,9;5,9;6,4;6,2;6,2;6,7;128,0;(NA);  (NA);  (NA);  (NA);(NA);4,3;(NA);(NA);(NA);(NA);(NA)
Colorado;CO;08;32,4;35,6;35,1;33,8;34,2;37,9;9,8;8,6;7,5;7,1;6,0;7,7;18,4;(NA);20,5;21,1;21,2;21,0;5,5;(NA);4,4;4,4;4,4;4,2
Connecticut;CT;09;26,0;19,4;20,5;19,3;19,5;19,1;7,9;5,9;5,9;5,5;4,9;5,5;10,3;6,5;10,6;11,0;11,2;11,4;3,2;2,0;3,0;3,2;3,1;3,2
Delaware;DE;10;5,6;5,1;5,0;5,1;5,0;5,4;8,4;6,7;6,0;6,0;5,5;6,2;3,0;3,2;3,3;3,2;3,2;3,1;4,4;4,2;3,9;3,8;4,5;3,6
District of Columbia;DC;11;5,0;2,8;2,3;2,3;2,4;2,4;8,2;5,4;4,0;3,9;3,6;4,1;2,7;1,5;1,1;1,2;1,0;1,5;4,5;3,0;2,0;2,1;1,6;2,5
Florida;FL;12;141,8;141,9;158,0;155,7;155,9;147,9;10,9;9,3;8,9;8,6;8,6;8,1;81,7;81,9;81,3;86,0;84,4;82,1;6,3;5,3;4,6;4,8;4,7;4,5
Georgia;GA;13;66,8;56,0;62,9;66,5;64,0;57,4;10,3;7,1;6,9;7,1;6,7;5,9;35,7;30,7;  (NA);  (NA);  (NA);(NA);5,5;3,9;(NA);(NA);(NA);(NA)
Hawaii;HI;15;18,3;25,0;29,3;28,7;27,3;25,1;16,4;21,2;23,1;22,4;21,3;19,5;5,2;4,6;  (NA);  (NA);  (NA);(NA);4,6;3,9;(NA);(NA);(NA);(NA)
Idaho;ID;16;14,1;14,0;14,9;14,9;15,0;14,5;13,9;11,0;10,5;10,2;10,3;9,5;6,6;6,9;7,1;7,4;7,3;7,2;6,5;5,4;5,0;5,1;4,9;4,7
Illinois;IL;17;100,6;85,5;74,1;78,0;76,8;75,9;8,8;7,0;5,8;6,1;5,9;5,9;44,3;39,1;32,4;32,2;33,2;32,2;3,8;3,2;2,5;2,5;2,6;2,5
Indiana;IN;18;53,2;34,5;43,5;44,2;44,4;50,7;9,6;5,8;7,0;7,0;8,1;7,9;(NA);(NA);  (NA);  (NA);  (NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA)
Iowa;IA;19;24,9;20,3;20,4;20,1;19,9;19,6;9,0;7,0;6,9;6,7;6,7;6,5;11,1;9,4;8,1;7,9;7,6;7,3;3,9;3,3;2,8;2,7;2,6;2,4
Kansas;KS;20;22,7;22,2;18,8;18,9;19,0;18,7;9,2;8,3;6,9;6,9;6,7;6,7;12,6;10,6;8,5;8,5;9,4;10,0;5,0;4,0;3,1;3,1;3,3;3,6
Kentucky;KY;21;49,8;39,7;36,3;35,3;33,4;35,2;13,5;10,0;8,7;8,4;7,9;8,3;21,8;21,6;19,3;21,1;19,7;21,0;5,8;5,4;4,6;5,0;4,6;4,9
Louisiana;LA;22;40,4;40,5;36,6;(NA);32,8;36,3;9,6;9,3;8,1;(NA);7,6;8,2;(NA);(NA);  (NA);  (NA);  (NA);(NA);(NA);(NA);(NA);(NA);(NA);(NA)
Maine;ME;23;11,9;10,5;10,9;10,3;9,9;9,3;9,7;8,3;8,3;7,8;7,7;7,1;5,3;5,8;5,4;5,6;5,6;4,7;4,3;4,6;4,1;4,3;4,5;3,6
Maryland;MD;24;46,3;40,0;38,5;37,0;36,6;33,4;9,7;7,7;6,9;6,6;6,3;5,9;16,1;17,0;17,2;17,1;16,7;16,2;3,4;3,3;3,1;3,0;3,1;2,9
Massachusetts;MA;25;47,7;37,0;39,5;38,0;37,9;34,0;7,9;6,0;6,1;5,9;6,0;5,2;16,8;18,6;14,4;14,6;14,6;13,0;2,8;3,0;2,2;2,3;2,2;2,0
Michigan;MI;26;76,1;66,4;61,1;59,4;57,0;55,7;8,2;6,7;6,0;5,9;5,9;5,6;40,2;39,4;34,6;35,0;34,5;33,8;4,3;4,0;3,4;3,5;3,5;3,4
Minnesota;MN;27;33,7;33,4;30,5;31,0;30,1;28,8;7,7;6,9;6,0;6,0;5,7;5,5;15,4;14,8;  (NA);  (NA);  (NA);(NA);3,5;3,1;(NA);(NA);(NA);(NA)
Mississippi;MS;28;24,3;19,7;16,9;16,6;15,8;15,9;9,4;7,1;5,8;5,7;5,4;5,4;14,4;14,4;12,8;14,0;13,1;13,0;5,5;5,2;4,4;4,8;4,9;4,4
Missouri;MO;29;49,1;43,7;40,7;40,3;40,4;39,5;9,6;7,9;7,0;6,9;6,7;6,7;26,4;26,5;21,0;22,2;22,2;22,5;5,1;4,8;3,6;3,8;3,8;3,8
Montana;MT;30;6,9;6,6;7,0;7,1;7,3;7,3;8,6;7,4;7,4;7,5;7,4;7,5;4,1;2,1;4,2;4,2;3,9;3,4;5,1;2,4;4,5;4,4;3,7;3,6
Nebraska;NE;31;12,6;13,0;12,3;12,0;12,2;12,6;8,0;7,8;7,0;6,8;7,0;7,0;6,5;6,4;5,9;6,1;6,2;6,1;4,0;3,8;3,3;3,5;3,1;3,4
Nevada;NV;32;120,6;144,3;139,6;131,4;126,4;112,2;99,0;76,7;57,9;52,7;49,3;43,1;13,3;18,1;18,1;17,0;16,6;16,9;11,4;9,6;7,5;6,8;6,5;6,5
New Hampshire;NH;33;10,5;11,6;9,5;9,4;9,4;9,0;9,5;9,5;7,3;7,1;7,1;6,9;5,3;7,1;5,0;5,3;5,0;4,9;4,7;5,8;3,9;4,1;3,9;3,7
New Jersey;NJ;34;58,7;50,4;49,3;47,7;46,5;45,7;7,6;6,1;5,7;5,5;5,2;5,3;23,6;25,6;25,3;25,8;25,7;25,8;3,0;3,1;2,9;3,0;3,0;3,0
New Mexico \5;NM;35;13,3;14,5;12,8;13,4;11,2;8,0;8,8;8,3;6,7;6,9;5,7;4,0;7,7;9,2;8,8;8,4;8,4;8,1;4,9;5,3;4,6;4,3;4,3;4,1
New York \5;NY;36;154,8;162,0;130,4;131,0;129,9;135,0;8,6;8,9;6,8;6,8;6,8;6,9;57,9;62,8;54,7;59,5;55,1;52,3;3,2;3,4;2,8;3,1;2,9;2,7
North Carolina;NC;37;51,9;65,6;63,4;64,7;63,9;59,0;7,8;8,5;7,3;7,3;7,5;6,4;34,0;36,9;35,7;35,8;36,2;35,1;5,1;4,8;4,1;4,0;4,1;3,8
North Dakota;ND;38;4,8;4,6;4,4;4,4;4,3;4,1;7,5;7,3;6,9;6,8;6,6;6,4;2,3;2,0;1,9;2,0;1,9;1,8;3,6;3,2;3,0;3,1;2,4;2,7
Ohio;OH;39;98,1;88,5;74,5;72,8;70,6;70,6;9,0;7,9;6,5;6,3;6,2;6,1;51,0;49,3;40,2;40,1;38,9;39,0;4,7;4,4;3,5;3,5;3,3;3,4
Oklahoma;OK;40;33,2;15,6;25,8;26,3;26,5;24,9;10,6;4,6;7,3;7,3;7,3;6,8;24,9;12,4;20,0;19,0;19,0;18,1;7,7;3,7;5,6;5,3;5,2;5,0
Oregon;OR;41;25,3;26,0;26,5;26,7;26,7;27,2;8,9;7,8;7,3;7,2;7,8;7,2;15,9;16,7;15,0;14,9;14,5;15,0;5,5;5,0;4,1;4,0;4,0;4,0
Pennsylvania;PA;42;84,9;73,2;71,9;71,5;71,1;69,5;7,1;6,1;5,8;5,8;5,7;5,6;40,1;37,9;29,1;35,3;35,5;34,1;3,3;3,2;2,4;2,8;2,8;2,7
Rhode Island ;RI;44;8,1;8,0;7,5;7,0;6,8;6,5;8,1;8,0;7,1;6,6;6,4;6,2;3,8;3,1;3,2;3,2;3,0;2,8;3,7;3,1;3,0;3,0;2,8;2,7
South Carolina;SC;45;55,8;42,7;35,4;33,9;34,9;28,6;15,9;10,9;8,3;7,8;7,1;6,4;16,1;14,4;12,4;12,8;13,2;11,4;4,5;3,7;2,9;3,0;3,3;2,5
South Dakota;SD;46;7,7;7,1;6,6;6,3;6,2;6,2;11,1;9,6;8,4;8,0;7,7;7,7;2,6;2,7;2,2;2,5;2,4;2,5;3,7;3,6;2,8;3,1;3,1;3,1
Tennessee;TN;47;68,0;88,2;65,4;64,5;62,1;60,7;13,9;15,9;10,9;10,6;10,6;9,8;32,3;33,8;27,8;28,1;26,5;26,4;6,5;6,1;4,6;4,6;4,9;4,2
Texas;TX;48;178,6;196,4;176,8;178,1;176,3;179,5;10,5;9,6;7,7;7,6;7,5;7,4;94,0;85,2;76,0;79,5;77,8;77,6;5,5;4,2;3,3;3,4;3,3;3,2
Utah;UT;49;19,4;24,1;24,1;23,3;25,1;20,0;11,2;11,1;9,6;9,0;8,6;7,3;8,8;9,7;10,0;9,9;9,5;9,5;5,1;4,5;4,0;3,8;3,4;3,5
Vermont;VT;50;6,1;6,1;5,5;5,4;5,3;4,7;10,9;10,2;8,9;8,6;8,6;7,6;2,6;5,1;2,2;2,4;2,3;2,2;4,5;8,6;3,6;3,9;3,8;3,6
Virginia;VA;51;71,0;62,4;62,0;60,2;58,3;56,9;11,4;9,0;8,2;7,9;7,5;7,3;27,3;30,2;30,1;30,6;29,5;29,7;4,4;4,3;4,0;4,0;3,8;3,8
Washington;WA;53;46,6;40,9;40,8;41,6;41,4;42,1;9,5;7,0;6,5;6,5;6,5;6,4;28,8;27,2;27,0;26,2;26,1;24,6;5,9;4,7;4,3;4,1;4,5;3,7
West Virginia;WV;54;13,0;15,7;13,4;13,3;13,3;12,3;7,2;8,7;7,4;7,3;7,2;6,8;9,7;9,3;9,2;9,2;9,3;8,6;5,3;5,2;5,1;5,1;5,0;4,8
