;;Private expenditures;;;Public expenditures;;;Health services and supplies;;;;;;;;;
;;;;;;;;;;;;;;Net Cost;;;
;;;;;;;State and local;;;Physician and clinical services;Pre-   scrip-   tion   drugs;;Other;of Private;Public;;Structures
Year;Total     expendi- tures /1 ;;Out of pocket;;;;;;Hospital care;;;Nursing  home    care;Personal;Health;Health;;and 
;;Total \2;;Insurance;Total;Federal;;Total \3;;;;;Health;Insurance;Activity;Research;Equipment
;;;;;;;;;;;;;Care;;;;
1960;28;21;13;6;7;3;4;25;9;5;3;1;0,6;1,2;0,4;0,7;1,9
1961;29;22;13;6;7;3;4;26;10;6;3;1;0,6;1,3;0,4;0,9;2,0
1962;32;24;14;7;8;4;4;29;11;6;3;1;0,7;1,4;0,5;1,1;2,5
1963;35;26;15;8;9;4;5;31;12;7;3;1;0,8;1,5;0,5;1,2;2,6
1964;39;29;17;9;10;4;5;34;13;8;3;1;0,8;1,7;0,6;1,4;3,1
1965;42;32;18;10;10;5;6;37;14;8;4;1;0,8;2,0;0,6;1,5;3,3
1966;46;32;18;10;14;8;6;41;16;9;4;2;0,9;2,2;0,8;1,6;3,5
1967;52;33;18;10;19;12;7;47;18;10;4;2;1,0;2,3;0,9;1,8;3,6
1968;59;37;21;12;22;14;8;53;21;11;5;3;1,1;2,8;1,0;1,9;4,2
1969;66;41;23;13;25;16;9;59;24;12;5;3;1,2;2,5;1,2;1,9;5,3
1970;75;47;25;15;28;18;10;67;28;14;5;4;1,2;2,8;1,4;2,0;5,8
1971;83;51;26;18;32;21;12;74;31;16;6;5;1,3;3,4;1,7;2,1;6,8
1972;93;57;29;21;36;23;13;83;34;17;6;5;1,5;4,5;1,9;2,4;7,3
1973;103;63;32;23;40;25;15;93;38;19;7;6;1,6;5,0;2,2;2,5;7,6
1974;117;69;34;26;48;30;17;106;45;22;7;7;1,8;4,7;2,6;2,8;8,4
1975;133;77;37;30;56;36;20;121;52;25;8;8;2,0;5,1;3,1;3,4;9,0
1976;152;89;41;37;63;43;20;139;60;28;9;10;2,2;6,9;3,4;3,7;9,9
1977;173;102;45;45;71;47;23;159;67;33;9;12;2,3;9,5;3,8;3,9;10,1
1978;195;114;48;52;80;54;26;179;76;35;10;14;2,5;11,3;4,6;4,4;11,1
1979;220;129;53;60;91;61;30;203;87;41;11;16;2,9;12,2;5,4;4,8;12,3
1980;254;148;59;69;106;72;35;234;101;47;12;19;3,3;12,2;6,4;5,4;14,5
1981;294;172;66;81;123;83;40;271;118;55;13;21;3,5;14,3;7,6;5,7;17,1
1982;331;195;72;94;136;92;44;305;134;61;15;23;3,8;16,6;8,6;6,0;20,0
1983;365;216;79;105;150;103;47;336;145;68;17;26;4,2;18,8;9,2;6,5;22,5
1984;402;239;87;119;163;113;50;372;155;77;20;29;4,7;23,9;9,9;7,6;22,9
1985;440;263;96;131;177;123;54;409;165;90;22;32;5,3;25,6;11,2;8,3;22,5
1986;472;278;104;136;194;133;61;440;177;100;24;34;5,9;22,9;12,3;9,0;22,9
1987;513;301;109;149;212;144;68;478;190;112;27;36;6,5;21,4;13,6;10,0;25,1
1988;574;344;119;175;230;155;75;535;207;127;31;40;7,2;27,2;15,3;10,8;28,5
1989;639;383;125;205;256;174;82;596;227;142;35;46;8,5;34,5;17,8;11,7;31,1
1990;714;427;136;234;287;194;93;667;252;158;40;53;9,6;39,2;20,0;12,7;34,7
1991;782;456;140;255;325;223;102;731;277;175;44;58;11,8;40,1;22,2;13,8;36,4
1992;849;485;143;275;364;253;111;794;300;190;48;62;13,6;43,4;24,4;15,1;40,3
1993;913;512;145;296;400;279;121;853;317;201;51;65;16,2;52,8;26,8;16,4;42,9
1994;962;526;143;308;436;304;132;900;330;210;54;68;19,8;56,4;29,6;17,7;44,1
1995;1 017;552;146;325;465;327;138;953;341;221;61;74;23,0;58,1;31,0;18,3;45,4
1996;1 069;580;152;343;488;348;140;1 003;352;229;69;80;25,8;60,1;32,5;17,8;48,3
1997;1 125;614;162;359;511;365;146;1 054;365;241;78;84;28,1;59,6;34,9;19,4;51,7
1998;1 191;663;175;385;528;372;156;1 112;376;256;89;90;30,3;63,6;37,6;21,5;57,7
1999;1 265;710;184;418;555;390;165;1 180;395;270;105;91;34,0;70,8;40,7;23,4;62,0
2000;1 353;756;193;455;597;418;179;1 264;417;289;121;95;37,1;81,2;43,4;25,6;63,2
2001;1 469;807;200;498;662;464;198;1 376;451;313;138;102;41,9;90,4;46,8;28,8;64,7
2002;1 602;881;211;551;722;509;213;1 498;488;338;158;106;46,3;105,2;52,4;32,5;71,5
2003;1 735;956;225;604;779;552;227;1 623;527;367;174;110;;;;;
2004;1 855;1 015;235;646;840;600;240;1 733;567;394;189;115;;;;;
2005;1 981;1 082;247;690;899;640;259;1 850;607;422;200;121;;;;;
2006;2 113;1 140;255;731;973;708;265;1 976;649;450;217;125;62,0;156,8;61,7;41,7;93,1
2007;2 241;1 206;269;775;1 036;754;281;2 098;697;479;227;131;;;;;
2008, projected;2 379;1 270;279;817;1 109;811;298;2 227;747;509;235;137;73,0;179,8;70,9;46,3;106,4
2009, projected;2 509;1 319;283;854;1 190;873;317;2 350;789;539;245;144;80,5;194,9;76,1;49,1;114,7
2010, projected;2 624;1 374;291;892;1 251;912;338;2 458;830;552;256;151;88,8;206,2;81,7;52,1;123,5
2011, projected;2 770;1 438;302;934;1 332;972;360;2 596;877;577;272;159;97,9;217,9;87,6;55,5;132,8
2012, projected;2 931;1 507;314;979;1 424;1 040;384;2 746;932;604;289;168;107,8;233,5;94,1;59,1;143,1
2013, projected;3 111;1 584;327;1 029;1 527;1 118;410;2 916;993;636;308;177;118,9;251,0;101,0;63,0;154,0
2014, projected;3 313;1 673;345;1 087;1 640;1 202;438;3 107;1 056;675;330;188;131,0;267,0;108,3;66,9;165,4
2015, projected;3 541;1 773;363;1 152;1 768;1 298;470;3 322;1 125;719;356;200;144,4;281,5;116,2;70,9;178,0
