;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type of expenditure;1990;2000;2001;2002;2003;2004;2005;2006;2007;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
      Total ;714,1;1 353,2;1 469,4;1 602,3;1 734,9;1 854,8;1 980,6;2 112,7;2 241,2;;;;;;;;;;;;;;;;;;;
  Annual percent change \1;11,8;7,0;8,6;9,0;8,3;6,9;6,8;6,7;6,1;;;;;;;;;;;;;;;;;;;
  Percent of gross domestic product;12,3;13,8;14,5;15,3;15,8;15,9;15,9;16,0;16,2;;;;;;;;;;;;;;;;;;;
    Private expenditures;427,4;756,4;807,0;880,7;956,0;1 014,9;1 081,6;1 139,7;1 205,5;;;;;;;;;;;;;;;;;;;
Health services and supplies;401,0;705,4;754,8;821,8;893,3;947,0;1 007,4;1 061,6;1 123,9;;;;;;;;;;;;;;;;;;;
  Out-of-pocket payments;136,2;192,6;199,5;211,2;224,6;234,9;247,0;255,0;268,6;;;;;;;;;;;;;;;;;;;
  Insurance premiums \2;233,7;454,7;497,6;551,1;603,7;645,9;690,0;731,3;775,0;;;;;;;;;;;;;;;;;;;
  Other;31,1;58,0;57,7;59,5;65,0;66,3;70,4;75,3;80,4;;;;;;;;;;;;;;;;;;;
Medical research;1,0;2,5;2,8;3,1;3,3;3,4;3,7;4,0;4,3;;;;;;;;;;;;;;;;;;;
Medical structures and equipment \3;25,4;48,5;49,4;55,9;59,3;64,5;70,5;74,1;77,3;;;;;;;;;;;;;;;;;;;
    Public expenditures;286,8;596,8;662,4;721,6;779,0;839,9;899,0;973,0;1 035,7;;;;;;;;;;;;;;;;;;;
      Percent federal of public;67,6;70,0;70,1;70,5;70,9;71,4;71,2;72,7;72,8;;;;;;;;;;;;;;;;;;;
Health services and supplies;265,8;559,0;621,1;676,5;729,8;786,1;843,0;914,5;974,2;;;;;;;;;;;;;;;;;;;
  Medicare \4;109,5;224,4;247,4;264,8;282,7;311,2;339,4;402,3;431,2;;;;;;;;;;;;;;;;;;;
  Public assistance medical payments \5;78,7;207,4;233,3;259,0;282,2;303,4;325,3;324,6;344,7;;;;;;;;;;;;;;;;;;;
  Temporary disability insurance \6;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;;;;;;;;;;;;;;;;;;;
  Workers' compensation (medical) \6;17,4;25,4;29,2;30,0;31,8;32,4;32,3;32,3;32,4;;;;;;;;;;;;;;;;;;;
  Defense Department hospital, medical;10,4;13,7;15,4;18,7;21,8;24,5;26,1;29,2;31,7;;;;;;;;;;;;;;;;;;;
  Maternal, child health programs;1,7;2,7;2,7;2,7;2,7;2,6;2,6;2,7;2,7;;;;;;;;;;;;;;;;;;;
  Public health activities;20,0;43,4;47,0;52,1;53,7;54,0;56,6;60,3;64,1;;;;;;;;;;;;;;;;;;;
  Veterans' hospital, medical care;10,8;18,9;20,9;22,6;26,3;27,7;29,6;31,5;33,8;;;;;;;;;;;;;;;;;;;
  Medical vocational rehabilitation;0,3;0,4;0,4;0,5;0,5;0,5;0,5;0,5;0,5;;;;;;;;;;;;;;;;;;;
  State and local hospitals \7;13,2;13,7;14,7;15,5;16,8;17,9;18,8;19,2;20,6;;;;;;;;;;;;;;;;;;;
  Other \8;3,8;9,0;10,1;10,7;11,2;11,7;11,8;11,9;12,4;;;;;;;;;;;;;;;;;;;
Medical research;11,7;23,1;26,0;29,5;32,2;35,4;36,6;37,4;38,1;;;;;;;;;;;;;;;;;;;
Medical structures and equipment \3;9,2;14,7;15,3;15,6;17,0;18,4;19,4;21,1;23,4;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
