;;;;;;;;;;;2008,
Object of expenditure;1990;1995;2000;2001;2002;2003;2004;2005;2006;2007;proj.
    Total;714,0;1 016,5;1 353,2;1 469,4;1 602,3;1 734,9;1 854,8;1 980,6;2 112,7;2 241,2;2 378,6
Spent by:;;;;;;;;;;;
  Consumers;369,8;471,5;647,4;697,1;762,3;828,3;880,8;937,0;986,3;1 043,5;1 096,1
    Out-of-pocket;136,1;146,3;192,6;199,5;211,2;224,6;234,9;247,0;255,0;268,6;278,8
    Private insurance;233,7;325,2;454,7;497,6;551,1;603,7;645,9;690,0;731,3;775,0;817,4
  Public;286,7;464,8;596,8;662,4;721,6;779,0;839,9;899,0;973,0;1 035,7;1 108,6
  Other \1;57,5;80,2;109,0;109,8;118,4;127,6;134,2;144,6;153,4;162,0;173,8
Spent for:;;;;;;;;;;;
  Health services and supplies;666,7;952,8;1 264,4;1 375,9;1 498,3;1 623,1;1 733,1;1 850,4;1 976,1;2 098,1;2 226,6
    Personal health care expenses;607,5;863,7;1 139,2;1 238,3;1 340,3;1 447,5;1 550,2;1 655,1;1 765,5;1 878,3;1 992,6
      Hospital care;251,6;340,7;416,9;451,2;488,4;527,4;566,8;607,5;649,3;696,5;746,5
      Physician and clinical services;157,5;220,5;288,6;313,2;337,9;366,7;393,6;422,2;449,7;478,8;508,5
      Dental services;31,5;44,5;62,0;67,5;73,3;76,9;81,5;86,4;90,5;95,2;99,9
      Other professional services \2;18,2;28,5;39,1;42,8;45,6;49,0;52,9;56,0;58,7;62,0;65,8
      Home health care;12,6;30,5;30,5;32,2;34,2;38,0;42,7;48,1;53,0;59,0;64,4
      Prescription drugs;40,3;60,9;120,6;138,3;157,6;174,2;188,8;199,7;216,8;227,5;235,4
      Other nondurable medical products  ;22,5;25,7;29,8;30,0;30,4;32,1;32,7;34,0;35,3;37,4;39,0
      Durable medical equipment \3;11,2;15,3;19,4;19,7;20,8;22,4;22,8;23,8;24,2;24,5;25,2
      Nursing home care;52,6;74,1;95,3;101,5;105,7;110,5;115,2;120,6;125,4;131,3;137,4
      Other personal health care;9,6;23,0;37,1;41,9;46,3;50,4;53,3;56,9;62,5;66,2;70,5
    Public administration and net cost ;;;;;;;;;;;
     of private health insurance  \4;39,2;58,1;81,8;90,6;105,8;121,9;128,8;138,7;150,4;155,7;165,6
    Public health activities;20,0;31,0;43,4;47,0;52,1;53,7;54,0;56,6;60,2;64,1;68,3
Medical research \5;12,7;18,3;25,6;28,8;32,5;35,5;38,8;40,2;41,3;42,4;43,6
Medical structures and equipment \6;34,7;45,4;63,2;64,7;71,5;76,3;83,0;90,0;95,2;100,7;108,4
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
