;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Object of expenditure;1990;1995;2001;2002;2000;2001;2002;2003;2004;2005;2006;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
    Total, national ;2 627;3 546;4 821;5 198;4 475;4 821;5 199;5 583;5 904;6 247;6 606;6 947;;;;;;;;;;;;;;;;;;;;;;;;;;;;
      Annual percent change \1;10,6;3 545,5;4 820,9;5 198,1;6,1;7,7;7,8;7,4;5,8;5,8;5,7;5,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hospital care;991;1 268;1 581;1 695;1 475;1 581;1 695;1 814;1 931;2 051;2 171;2 306;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Physician and clinical services;621;821;1 097;1 172;1 022;1 097;1 173;1 261;1 341;1 426;1 503;1 585;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dental services;124;166;237;254;219;237;255;264;278;292;302;315;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Other professional services \2;72;106;150;158;138;150;158;169;180;189;196;205;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Home health care;50;114;113;119;108;113;119;131;145;162;177;195;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Prescription drugs;159;227;485;548;427;485;547;599;643;674;725;753;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Other nondurable medical products;88;95;106;107;105;105;106;110;111;115;118;124;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Durable medical equipment \2;44;57;69;72;69;69;72;77;78;80;81;81;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nursing home care;207;276;356;367;337;356;367;380;392;407;419;435;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Other personal health care;38;85;147;161;131;147;161;173;181;192;209;219;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Public administration and net cost of; ; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 private health insurance;155;216;317;365;290;318;367;419;439;468;503;516;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Public health activities;79;115;164;182;154;165;181;185;184;191;201;212;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
    Total, private consumer \3;1 457;1 754;2 448;2 644;2 291;2 443;2 645;2 849;3 001;3 164;3 297;3 455;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hospital care;430;444;600;649;558;600;651;706;755;794;861;927;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Physician and clinical services;384;492;640;687;598;639;688;740;787;845;896;947;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dental services;120;158;223;239;209;223;239;248;261;274;284;295;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Other professional services \2;49;68;94;97;88;93;97;105;113;117;122;128;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Home health care;20;39;39;35;44;39;35;36;37;38;38;38;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Prescription drugs;130;178;370;411;329;369;411;439;464;488;478;486;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Other nondurable medical products;86;91;101;102;100;99;100;104;105;108;110;116;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Durable medical equipment \2;36;43;51;51;53;52;52;54;55;57;56;56;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nursing home care;87;99;130;133;129;130;133;135;135;136;140;149;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Net cost of private health insurance;115;144;201;241;184;198;239;283;291;307;312;313;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
