;;;;Selected health services;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
TYPE OF Selected SERVICE;;;State;;Workers';Public;;;;;;;;;;;;;;
;         ;;and ;Medicare \2;compen-;assis-;Defense;;;;;;;;;;;;;
;Total \1;Federal;local;(OASDHI);sation \3;tance \4;Department \4;Veterans;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
    Total \1;974 186;712 914;261 272;431 225;32 424;344 655;31 662;33 817;;;;;;;;;;;;
Hospital care;384 327;307 772;76 555;196 242;6 220;124 664;15 953;22 485;;;;;;;;;;;;
Physician and clinical services;161 349;133 527;27 822;96 104;12 721;36 119;6 234;3 571;;;;;;;;;;;;
Dental services;6 055;3 579;2 476;169;0;5 648;0;62;;;;;;;;;;;;
Other professional services;20 328;16 074;4 254;13 748;2 377;3 721;0;0;;;;;;;;;;;;
Home health care;46 397;35 355;11 043;23 822;0;20 613;0;461;;;;;;;;;;;;
Prescription drugs;80 807;66 503;14 303;47 019;3 092;23 066;4 817;2 617;;;;;;;;;;;;
Durable medical equipment;7 510;7 131;379;6 976;277;116;0;0;;;;;;;;;;;;
Nursing home care;81 618;57 042;24 576;23 222;0;55 134;0;3 262;;;;;;;;;;;;
Other personal health care;59 833;33 689;26 143;0;0;48 931;1 570;1 177;;;;;;;;;;;;
Public administration and ;;;;;;;;;;;;;;;;;;;;
 net cost of private health insurance;59 530;40 231;19 299;21 582;7 738;26 643;3 088;183;;;;;;;;;;;;
Public health activities;64 093;9 670;54 423;0;0;0;0;0;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
