Item;1990;2000;2001;2002;2003;2004;2005;2006;2007;2008
;;;;;;;;;;proj.
Personal health care expenditures;607,5;1 139,6;1 238,7;1 340,8;1 445,9;1 547,7;1 653,7;1 762,0;1 878,3;1 992,6
Third party payments, total;471,4;946,7;1 038,9;1 129,3;1 221,0;1 312,8;1 406,6;1 505,5;1 609,7;1 713,9
    Percent of personal health care;77,6;83,1;83,9;84,2;84,4;84,8;85,1;85,4;85,7;86,0
  Private insurance payments;204,6;403,1;441,4;482,4;521,2;560,2;598,6;634,6;680,3;719,6
  Public expenditures;236,2;486,7;541,1;588,7;636,2;687,7;739,0;798,2;850,6;910,8
  Other \1;30,5;57,0;56,4;58,3;63,6;64,9;69,0;72,7;78,8;83,5
Private consumer expenditures \2;340,7;596,0;641,2;693,8;746,1;795,1;845,7;891,1;948,9;998,4
    Percent met by private insurance;60,1;67,6;68,8;69,5;69,9;70,5;70,8;71,2;71,7;72,1
  Hospital care;109,1;157,9;171,7;187,7;204,8;221,3;235,1;256,2;280,0;300,6
    Percent met by private insurance;89,6;91,4;91,7;91,7;91,6;91,6;91,6;91,6;91,7;91,8
  Physician and clinical services;97,5;168,9;182,4;198,3;215,2;231,1;250,3;265,8;286,1;303,9
    Percent met by private insurance;69,0;80,9;81,6;82,2;82,6;82,7;82,7;82,6;82,7;82,8
  Prescription drugs;33,0;93,0;105,3;118,4;127,7;136,3;144,5;142,7;146,6;147,2
    Percent met by private insurance;32,2;64,0;65,8;65,9;65,4;66,1;66,2;66,6;67,6;67,6
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
