;;;Private Payments;;;;;;;;;;;;;;;;;;;;;
;;;;Consumer;;;;;;;;;;;;;;;;;;;;
;;;;;Private;;;;;;;;;;;;;;;;;;;
Object of expenditure;;;;Out of; health;;;Third;;;;;;;;;;;;;;;;
;;;; pocket;insur-;;;party;;;;;;;;;;;;;;;;
;Total;Total;Total;payments;ance;Other \1;Public;payments \2;;;;;;;;;;;;;;;;
  Total 2007;1 878 275;1 027 711;948 898;268 568;680 330;78 814;850 564;1 609 708;;;;;;;;;;;;;;;;
Hospital care;696 539;312 212;280 025;23 172;256 853;32 187;384 327;673 367;;;;;;;;;;;;;;;;
Physician and clinical services;478 768;317 419;286 113;49 618;236 495;31 306;161 349;429 150;;;;;;;;;;;;;;;;
Dental services;95 171;89 116;89 046;42 106;46 940;70;6 055;53 065;;;;;;;;;;;;;;;;
Other professional services \3;62 001;41 673;38 509;15 884;22 625;3 163;20 328;46 116;;;;;;;;;;;;;;;;
Home health care;59 031;12 634;11 505;5 951;5 553;1 129;46 397;53 079;;;;;;;;;;;;;;;;
Prescription drugs;227 453;146 647;146 647;47 567;99 079;0;80 807;179 886;;;;;;;;;;;;;;;;
Other non-durable medical products;37 357;35 017;35 017;35 017;0;0;2 341;2 341;;;;;;;;;;;;;;;;
Durable medical equipment \3;24 450;16 940;16 940;13 951;2 989;0;7 510;10 499;;;;;;;;;;;;;;;;
Nursing home care;131 338;49 720;45 096;35 302;9 795;4 624;81 618;96 037;;;;;;;;;;;;;;;;
Other personal health care;66 167;6 334;0;0;0;6 334;59 833;66 167;;;;;;;;;;;;;;;;
Admininstrative cost of private health insurance;155 739;96 210;94 625;0;94 625;1 585;59 530;155 739;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
