Year;Medical care, total ;Medical Care Services;;;;;;Medical care commodities ;;Annual percent change /3;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;Total \1;Professional Services;;;;;Total \2;Prescription drugs and medical supplies;Medical care, total;;Medical care services ;Medical care commodities;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;Hospital &  ;Nursing ;;;;;;;
;;;Total \1;Physicians;Dental;related; homes ;;;;;;;
;;;;;;services;and adult;;;;;;;
;;;;;;;daycare \3;;;;;;;
;;;;;;;;;;;;;;
1980;74,9;74,8;77,9;76,5;78,9;69,2;(NA);75,4;72,5;11,0;;11,3;9,3;
1985;113,5;113,2;113,5;113,3;114,2;116,1;(NA);115,2;120,1;6,3;;6,1;7,2;
1990;162,8;162,7;156,1;160,8;155,8;178,0;(NA);163,4;181,7;9,0;;9,3;8,4;
1995;220,5;224,2;201,0;208,8;206,8;257,8;(NA);204,5;235,0;4,5;;5,1;1,9;
2000;260,8;266,0;237,7;244,7;258,5;317,3;117,0;238,1;285,4;4,1;;4,3;3,2;
2001;272,8;278,8;246,5;253,6;269,0;338,3;121,8;247,6;300,9;4,6;;4,8;4,0;
2002;285,6;292,9;253,9;260,6;281,0;367,8;127,9;256,4;316,5;4,7;;5,1;3,6;
2003;297,1;306,0;261,2;267,7;292,5;394,8;135,2;262,8;326,3;4,0;;4,5;2,5;
2004;310,1;321,3;271,5;278,3;306,9;417,9;140,4;269,3;337,1;4,4;;5,0;2,5;
2005;323,2;336,7;281,7;287,5;324,0;439,9;145,0;276,0;349,0;4,2;;4,8;2,5;
2006;336,2;350,6;289,3;291,9;340,9;468,1;151,0;285,9;363,9;4,0;;4,1;3,6;
2007;351,1;369,3;300,8;303,2;358,4;498,9;159,6;290,0;369,2;4,4;;5,3;1,4;
2008;364,1;384,9;311,0;311,3;376,9;534,0;165,3;296,0;378,3;3,7;;4,2;2,1;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
