;Health care,  total;;;;;;Percent distribution;;;;
;;;;;;;;;;;
Item;;;;;;;;;;;
;;Percent;;;;;;;;;
;;of total;Average;;;Drugs and;;;Drugs and;;
; Amount ; expen-;Annual;Health;Medical;medical;Health;Medical;medical;;
;;ditures;Expenditures;insurance;services;supplies \1;insurance;services;supplies \1;;
2004;2 574;5,9;43 395;1 332;648;594;51,7;25,2;23,1;;
2005;2 664;5,7;46 409;1 361;677;626;51,1;25,4;23,5;;
2006;2 766;5,7;48 398;1 465;670;631;53,0;24,2;22,8;;
2007;2 853;5,7;49 638;1 545;709;599;54,2;24,9;21,0;;
Age of reference person:;;;;;;;;;;;
  Under 25 years old;800;2,7;29 457;397;267;137;49,6;33,4;17,1;;
  25 to 34 years old;1 740;3,7;47 510;918;556;267;52,8;32,0;15,3;;
  35 to 44 years old;2 315;3,9;58 934;1 269;651;396;54,8;28,1;17,1;;
  45 to 54 years old;2 792;4,8;58 331;1 386;772;633;49,6;27,7;22,7;;
  55 to 64 years old;3 476;6,5;53 786;1 751;883;842;50,4;25,4;24,2;;
  65 to 74 years old;4 967;11,8;42 262;2 821;1 027;1 119;56,8;20,7;22,5;;
  75 years old and over;4 275;14,1;30 414;2 716;651;909;63,5;15,2;21,3;;
Race of reference person:;;;;;;;;;;;
  White and other;3 011;5,8;51 487;1 619;756;637;53,8;25,1;21,2;;
  Black;1 689;4,7;36 067;1 001;370;319;59,3;21,9;18,9;;
Origin of reference person:;;;;;;;;;;;
  Hispanic;1 486;3,6;41 501;744;468;275;50,1;31,5;18,5;;
  Non-Hispanic;3 035;6,0;50 720;1 652;742;641;54,4;24,4;21,1;;
Region of residence:;;;;;;;;;;;
  Northeast;2 645;5,1;51 624;1 535;576;535;58,0;21,8;20,2;;
  Midwest;3 097;6,5;48 014;1 632;811;655;52,7;26,2;21,1;;
  South;2 800;6,2;45 464;1 539;639;622;55,0;22,8;22,2;;
  West;2 860;5,1;56 291;1 475;829;556;51,6;29,0;19,4;;
Size of consumer unit:;;;;;;;;;;;
  One person;1 790;6,1;29 285;994;403;394;55,5;22,5;22,0;;
  Two or more persons;3 302;5,7;58 209;1 778;839;685;53,8;25,4;20,7;;
    Two persons;3 709;7,0;53 091;2 005;872;833;54,1;23,5;22,5;;
    Three persons;2 876;5,0;57 326;1 564;697;616;54,4;24,2;21,4;;
    Four persons;3 147;4,7;66 476;1 684;935;529;53,5;29,7;16,8;;
    Five persons or more;2 840;4,4;65 042;1 498;819;523;52,7;28,8;18,4;;
Income before taxes:;;;;;;;;;;;
  Quintiles of income:;;;;;;;;;;;
    Lowest 20 percent;1 474;7,2;20 471;895;232;347;60,7;15,7;23,5;;
    Second 20 percent;2 448;7,9;31 150;1 397;522;529;57,1;21,3;21,6;;
    Third 20 percent;2 826;6,7;42 447;1 538;661;627;54,4;23,4;22,2;;
    Fourth 20 percent;3 268;5,7;57 285;1 771;848;650;54,2;25,9;19,9;;
    Highest 20 percent;4 244;4,4;96 752;2 122;1 283;838;50,0;30,2;19,7;;
Education:;;;;;;;;;;;
Less than a high school graduate;2 003;6,6;30 201;1 136;391;476;56,7;19,5;23,8;;
  High school graduate;2 594;6,6;39 164;1 502;533;558;57,9;20,5;21,5;;
  High school graduate with some college;2 654;5,8;45 876;1 381;735;537;52,0;27,7;20,2;;
  Associate's degree;2 998;5,7;52 721;1 643;706;648;54,8;23,5;21,6;;
  Bachelor's degree;3 362;5,1;65 706;1 777;907;679;52,9;27,0;20,2;;
  Master's, professional, doctoral degree;4 105;5,2;79 532;2 096;1 202;807;51,1;29,3;19,7;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
