;;;;;;;;
Selected type of beneficiary;1990;1995;2000;2004;2005;2006;2007;2008 \1
;;;;;;;;
      Total disbursements;109 709;180 096;219 276;301 488;336 876;380 457;434 829;455 076
    Hospital insurance (Part A) disbursements \2;66 687;114 883;130 284;166 998;184 142;184 901;202 827;230 240
Benefits;65 722;113 394;125 992;163 764;181 934;185 100;203 990;226 275
  Aged;58 503;100 107;110 261;140 704;155 925;157 273;172 748;184 267
  Disabled;7 218;13 288;15 731;23 060;26 009;27 827;31 242;33 524
Transfer to Part B to correct assests;;;;;;;;
 for accounting error;;;;;;;;8 484
SMI Part B disbursements \2;43 022;65 213;88 992;134 274;151 537;161 647;179 651;177 709
Benefits;41 498;63 490;88 875;131 357;147 449;154 381;172 698;174 805
  Aged;36 837;54 830;76 340;109 890;122 905;127 848;142 839;151 298
  Disabled;4 661;8 660;12 535;21 467;24 544;26 534;29 859;31 991
Transfer to Part A to correct assests;;;;;;;;
 for accounting error;;;;;;;;-8 484
SMI Part D disbursements  \2;(X);(X);(X);216;1 198;33 909;52 351;47 126
Benefits;(X);(X);(X);0;73;33 506;51 336;46 734
Transitional assistance benefit payments;(X);(X);(X);216;1 125;229;10;0
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
