;Enrollment \1          (1,000);;;;;Expenditures \2        (Million of dollars);;;;
State;;;;;;;;;;
;2000;2005;2006;2007;2008;2000;2005;2006;2007;2008
;;;;;;;;;;
;;;;;;;;;;
  United States ;3 357,4;6 151,2;6 745,2;7 097,6;7 368,5;1 928,8;6 359,2;5 409,4;5 931,4;6 896,6
Alabama ;37,6;81,9;84,3;106,7;110,8;31,9;100,7;87,4;95,2;108,8
Alaska ;13,4;22,3;20,4;17,6;18,7;18,1;34,7;19,5;16,2;14,4
Arizona ;59,6;88,0;96,7;104,2;112,1;29,4;80,2;109,0;117,5;119,4
Arkansas ;1,9;1,2;89,8;89,6;93,4;1,5;76,7;49,7;68,8;113,2
California ;484,4;1 223,5;1 391,4;1 538,4;1 692,1;187,3;1 201,6;1 150,9;980,7;1 259,3
Colorado ;34,9;59,5;70,0;84,6;99,6;13,9;53,2;60,2;65,9;82,5
Connecticut ;19,9;22,3;23,6;23,6;22,3;12,8;31,6;20,5;30,1;26,3
Delaware ;4,5;10,4;10,8;11,1;11,2;1,5;9,8;7,0;8,6;9,7
District of Columbia ;2,3;6,6;6,3;6,6;8,7;5,8;9,4;7,8;7,2;10,1
Florida ;227,5;384,8;303,6;323,5;354,4;125,7;342,6;214,1;261,7;272,3
Georgia ;120,6;306,7;343,7;356,3;311,2;48,7;278,8;192,3;328,1;225,0
Hawaii ;(Z);20,6;22,0;24,0;28,8;0,4;18,4;13,7;18,7;17,6
Idaho ;12,4;21,8;24,7;33,1;43,5;7,5;20,9;18,5;27,4;35,4
Illinois ;62,5;281,4;316,8;345,6;356,5;32,7;317,8;324,3;448,5;292,9
Indiana ;44,4;129,5;133,7;130,4;125,0;53,7;102,8;78,8;92,1;102,4
Iowa ;20,0;46,6;49,6;50,2;50,4;15,5;54,7;47,9;51,3;55,3
Kansas ;26,3;47,3;48,9;49,5;51,2;12,8;59,3;48,6;45,1;47,9
Kentucky ;55,6;63,7;65,3;70,2;67,7;60,0;89,9;77,1;81,2;90,3
Louisiana ;50,0;146,3;142,4;154,3;147,9;25,3;137,9;96,5;119,9;159,2
Maine ;22,7;30,7;31,1;31,0;30,9;11,4;27,3;24,5;31,2;33,4
Maryland ;93,1;120,3;136,0;132,9;132,9;92,2;188,2;138,0;138,4;156,2
Massachusetts ;113,0;162,7;201,0;184,5;201,0;44,2;187,8;151,1;211,5;259,3
Michigan ;55,4;89,3;118,5;64,8;67,8;36,2;89,9;175,5;171,6;172,9
Minnesota ;(Z);5,1;5,3;5,4;5,6;(Z);57,6;66,1;64,4;71,4
Mississippi ;12,2;79,4;83,4;81,6;84,4;21,1;133,9;103,3;107,5;142,9
Missouri ;72,8;115,4;106,6;81,8;136,1;41,2;121,8;78,1;79,4;79,6
Montana ;8,3;15,8;17,3;20,1;22,7;4,3;15,9;17,3;18,2;24,9
Nebraska ;11,4;44,7;45,0;46,2;48,8;6,1;47,5;21,5;33,2;35,6
Nevada ;15,9;39,3;39,3;41,9;38,6;9,0;38,4;27,5;30,3;28,8
New Hampshire ;4,3;11,9;12,4;12,1;12,2;1,6;9,8;9,9;11,1;11,2
New Jersey ;89,0;129,6;142,8;150,3;151,8;46,9;159,6;242,1;280,0;323,1
New Mexico ;8,0;24,2;25,2;16,5;14,9;3,4;24,7;31,4;49,9;124,3
New York ;769,5;619,0;688,4;651,9;517,3;401,0;557,8;328,5;324,4;326,9
North Carolina ;103,6;196,2;248,4;240,2;251,7;65,5;283,0;177,1;166,6;193,7
North Dakota ;2,6;5,7;6,3;5,5;7,6;1,8;10,7;10,7;10,5;13,5
Ohio ;118,3;216,5;221,6;231,5;251,3;53,1;240,1;169,8;186,9;227,5
Oklahoma ;57,7;108,1;116,0;117,1;117,5;51,3;79,9;81,1;96,4;99,4
Oregon ;37,1;52,7;59,0;63,1;73,7;12,5;40,9;58,4;66,6;66,3
Pennsylvania ;119,7;179,8;188,8;227,4;256,6;70,7;208,1;164,4;190,0;204,5
Rhode Island ;11,5;27,1;25,5;26,1;26,0;10,4;35,0;69,7;47,7;59,1
South Carolina ;60,4;80,6;68,9;59,9;73,6;46,6;72,6;49,1;31,4;57,8
South Dakota ;5,9;14,0;14,6;15,0;15,3;3,1;15,6;10,6;9,8;15,6
Tennessee ;14,9;(NA);(NA);41,4;63,6;41,7;(NA);(NA);4,1;77,5
Texas ;131,1;526,4;585,5;710,7;731,9;41,4;396,1;269,4;385,7;698,0
Utah ;25,3;43,9;52,0;44,8;51,1;12,8;35,6;45,3;38,9;50,3
Vermont ;4,1;6,6;6,5;6,1;6,5;1,4;5,1;4,8;5,9;5,7
Virginia ;37,7;124,1;137,2;144,2;155,3;18,6;122,8;95,9;110,7;131,3
Washington ;2,6;15,5;15,0;14,7;16,8;0,6;50,9;36,2;36,8;43,4
West Virginia ;21,7;38,6;39,9;38,6;37,6;9,7;40,4;33,7;35,4;36,8
Wisconsin ;47,1;57,2;57,0;62,5;52,9;21,4;32,7;88,2;84,5;75,3
Wyoming ;2,5;6,1;7,7;8,6;9,0;1,0;8,1;6,4;7,8;8,7
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
