;;;;;;;;;;;;;
State and Area;    1995;    1996;    1997;    1998;    1999;2000;2001;2002;2003;2004;2005;2006;2007
;;;;;;;;;;;;;
  All areas \1;37 535;38 064;38 445;38 825;39 140;39 620;40 026;40 489;41 087;41 729;42 395;43 314;44 263
  United States ;36 758;37 269;37 633;37 998;38 299;38 762;39 149;39 594;40 173;40 792;41 003;42 020;43 259
Alabama;642;653;662;670;677;685;695;706;719;733;740;766;789
Alaska;34;35;37;38;40;42;44;46;48;50;51;54;57
Arizona;602;621;636;651;658;675;691;708;729;755;777;805;841
Arkansas;423;427;431;433;436;439;442;446;453;460;464;480;496
California;3 633;3 697;3 738;3 783;3 837;3 901;3 955;4 009;4 078;4 150;4 158;4 241;4 369
Colorado;421;433;442;451;458;467;476;484;493;506;513;533;558
Connecticut;502;506;508;510;512;515;516;518;522;524;520;527;537
Delaware;101;103;106;108;110;112;114;116;119;123;125;130;136
District of Columbia;78;77;76;76;76;75;75;74;74;73;72;73;74
Florida;2 628;2 685;2 728;2 761;2 771;2 804;2 838;2 876;2 921;2 982;3 008;3 064;3 133
Georgia;833;852;869;885;898;916;933;951;974;998;1 016;1 063;1 111
Hawaii;149;153;156;159;162;165;168;171;175;178;180;184;189
Idaho;150;153;156;159;161;165;169;173;178;184;188;196;207
Illinois;1 617;1 623;1 622;1 626;1 629;1 635;1 640;1 646;1 661;1 676;1 674;1 702;1 741
Indiana;823;831;835;841;845;852;858;865;878;889;893;915;941
Iowa;474;475;476;476;476;477;478;479;482;486;484;491;500
Kansas;383;386;388;389;389;390;391;392;394;397;397;403;412
Kentucky;586;596;603;610;615;623;630;637;648;660;668;689;711
Louisiana;581;587;593;596;597;602;605;612;620;627;630;616;639
Maine;201;205;208;211;213;216;219;223;227;231;233;238;247
Maryland;602;612;620;628;635;645;655;664;674;685;687;704;723
Massachusetts;933;943;947;951;954;961;961;963;966;968;961;976;997
Michigan;1 347;1 361;1 370;1 379;1 389;1 403;1 414;1 426;1 445;1 464;1 468;1 502;1 541
Minnesota;631;636;639;644;648;654;660;667;676;686;691;708;729
Mississippi;397;403;407;411;414;419;423;429;437;446;449;459;469
Missouri;833;840;845;851;854;861;867;874;884;896;901;922;946
Montana;130;132;133;134;135;137;138;140;142;145;146;150;156
Nebraska;249;250;251;252;252;254;255;256;257;259;259;263;268
Nevada;194;205;214;223;229;240;251;261;274;286;294;304;318
New Hampshire;156;159;162;165;167;170;173;176;180;183;185;191;204
New Jersey;1 168;1 177;1 182;1 189;1 195;1 203;1 208;1 213;1 220;1 225;1 215;1 236;1 257
New Mexico;211;216;221;225;229;234;238;244;250;257;261;273;285
New York;2 630;2 644;2 652;2 666;2 694;2 715;2 729;2 747;2 763;2 775;2 758;2 796;2 841
North Carolina;1 027;1 051;1 074;1 094;1 111;1 133;1 155;1 178;1 205;1 235;1 255;1 300;1 359
North Dakota;103;103;103;103;103;103;103;103;103;103;103;104;105
Ohio;1 666;1 679;1 683;1 689;1 692;1 701;1 705;1 713;1 727;1 739;1 731;1 766;1 805
Oklahoma;488;493;497;501;504;508;511;515;521;529;531;549;565
Oregon;469;474;477;481;484;489;496;504;513;527;532;547;567
Pennsylvania;2 071;2 082;2 085;2 089;2 088;2 095;2 095;2 101;2 110;2 118;2 108;2 144;2 184
Rhode Island;168;169;169;170;170;172;172;172;172;173;171;173;175
South Carolina;509;522;535;546;555;568;580;592;606;624;637;664;697
South Dakota;117;117;118;118;119;119;120;121;122;123;123;126;129
Tennessee;771;786;797;807;815;829;842;855;872;891;903;938;975
Texas;2 080;2 125;2 163;2 196;2 223;2 265;2 300;2 338;2 390;2 451;2 491;2 598;2 708
Utah;187;192;195;198;201;206;210;215;220;227;231;242;254
Vermont;83;84;86;87;88;89;90;91;93;94;95;98;102
Virginia;818;836;849;865;876;893;910;927;946;967;981;1 011;1 045
Washington;688;701;709;718;725;736;746;759;775;799;807;837;873
West Virginia;330;332;333;334;336;338;340;343;347;351;351;359;367
Wisconsin;762;767;770;775;777;783;787;794;804;814;818;835;854
Wyoming;60;61;63;64;64;65;66;67;69;70;70;72;74
Outlying areas \2;;;;;;537;550;562;575;613;622;633;(NA)
Pending State Designation \3;;;;;;321;327;333;340;324;769;660;(NA)
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
