Poverty status;;;;;;Under;18 to;45 to;65;;;;;;;;;;
;;;;;;18;44;64;years;;;;;;;;;;
;;White ;Black;Asian;His-;years ;years;years;and;;;;;;;;;;
;Total \1;alone \2;alone \3;alone \4;panic \5;old;old;old;over;;;;;;;;;;
  Persons covered, total ;39 327;27 046;8 910;1 520;10 298;20 673;9 827;5 565;3 263;;;;;;;;;;
Below poverty level;16 247;10 031;4 909;508;4 484;9 105;4 080;2 223;840;;;;;;;;;;
Above poverty level;23 080;17 015;4 001;1 012;5 814;11 568;5 747;3 342;2 423;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
  Percent of population covered;13,2;11,3;23,7;11,5;22,4;27,9;8,9;7,2;8,9;;;;;;;;;;
Below poverty level;43,6;39,9;53,1;37,7;45,3;68,3;29,6;33,7;23,6;;;;;;;;;;
Above poverty level;8,8;8,0;14,1;8,5;16,1;19,1;5,9;4,7;7,3;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
