Basis of eligibility ; Beneficiaries (1,000) \1 ;;;;Payments (mil. dol.);;;
and type of service;;;;;;;;
;2000;2004;2005 \2;2006 \3;2000;2004;2005 \2;2006 \3
    Total ;42 887;55 002;57 643;57 757;168 443;257 748;275 569;269 858
Age 65 and over;3 730;4 318;4 396;4 375;44 560;59 541;63 358;58 186
Blind/Disabled;6 890;7 933;8 210;8 335;72 772;111 614;119 647;116 907
Children;19 018;25 613;26 337;26 784;23 490;39 194;42 012;45 022
Adults;8 671;12 225;12 529;12 605;17 671;30 522;32 385;33 043
Foster Care Children;761;846;875;919;3 309;5 011;5 337;5 714
Unknown;3 817;4 048;5 267;4 703;6 639;11 668;12 547;10 619
BCCA WOMEN \4;(NA);19;29;37;(NA);199;283;367
    All service categories:;;;;0;;;;0
Capitated care \5;21 292;29 528;33 496;35 046;25 026;42 601;46 421;50 153
Clinic services;7 678;11 102;11 913;11 858;6 138;8 336;8 986;8 736
Dental services;5 922;9 037;9 328;9 514;1 413;2 867;3 045;3 123
Home health services;1 007;1 146;1 195;1 191;3 133;4 566;5 361;5 917
ICF/MR services \6;119;114;109;107;9 376;11 193;11 730;11 854
Inpatient hospital services;4 913;5 425;5 488;6 268;24 131;34 914;35 347;36 466
Lab and X-ray services;11 439;15 875;16 020;16 202;1 292;2 695;2 927;2 988
Mental health facility services \7;100;117;120;138;1 769;2 326;2 333;2 392
Nursing facility services;1 706;1 709;1 712;1 722;34 528;42 008;44 675;45 674
Other care \8;9 022;12 387;12 347;12 249;14 755;24 951;26 624;29 186
Outpatient hospital services;13 170;15 888;16 314;16 015;7 082;10 261;10 228;10 454
Other practitioner services;4 758;5 933;5 904;5 881;664;951;1 182;1 148
PCCM services \9;5 649;8 548;8 750;8 722;177;500;235;253
Prescribed drugs;20 325;27 549;28 385;27 310;19 898;39 476;42 830;28 243
Physician services;18 965;23 612;24 204;23 265;6 809;10 061;11 278;10 581
Personal support services \1\0;4 559;6 254;6 809;6 847;11 629;18 494;20 729;21 624
Sterilizations;137;174;179;177;128;207;212;194
Unknown;74;81;73;68;496;1 344;1 428;873
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
