State;Beneficiaries \1  (1,000);;;Payments \2       (million of dollars);;;;;;
and area;;;;;;;;;;
;;;;;;;;;;
;2000;2005;2006;2000;2001;2002;2003;2004;2005;2006
United States ;42 887;57 643;57 757;168 443;186 914;213 491;233 206;257 748;275 569;269 858
Alabama;619;839;845;2 393;2 945;3 204;3 471;3 857;4 154;3 897
Alaska;96;125;121;473;560;687;836;905;1 004;954
Arizona;681;1 203;1 019;2 112;2 454;2 882;3 285;3 888;4 449;3 153
Arkansas;489;977;753;1 543;1 728;2 015;2 212;2 358;2 662;2 778
California;7 918;10 509;10 427;17 105;19 872;23 636;25 812;27 444;28 638;29 010
Colorado;381;593;625;1 809;1 954;2 166;2 269;2 399;2 595;2 679
Connecticut;420;521;518;2 839;2 963;3 245;3 359;3 696;3 787;3 986
Delaware;115;165;171;529;601;651;750;800;885;947
District of Columbia;139;158;159;793;830;1 027;1 200;1 269;1 316;1 385
Florida;2 373;3 166;3 123;7 433;8 588;9 827;11 104;12 834;13 154;12 569
Georgia;1 369;2 038;1 818;3 624;4 054;4 796;5 358;6 944;6 821;6 042
Hawaii;194;224;227;600;594;695;753;862;931;989
Idaho;131;201;217;594;714;792;867;990;1 072;1 057
Illinois;1 519;2 239;2 195;7 807;8 151;9 122;9 391;10 796;10 788;9 963
Indiana;706;984;999;2 977;3 358;3 725;3 951;4 343;4 780;5 011
Iowa;314;400;431;1 477;1 662;1 856;1 996;2 206;2 350;2 524
Kansas;263;385;343;1 227;1 371;1 501;1 615;1 860;2 080;1 996
Kentucky;764;857;900;2 921;3 252;3 459;3 558;3 924;4 044;4 135
Louisiana;761;1 146;1 149;2 632;2 883;3 234;3 615;4 039;4 420;3 978
Maine \3;194;294;294;1 310;1 461;1 717;2 074;2 366;2 366;2 366
Maryland;626;750;759;3 003;3 309;3 662;4 398;4 594;4 949;5 219
Massachusetts;1 060;1 110;1 167;5 413;5 787;6 387;6 392;7 776;8 308;8 661
Michigan;1 352;1 856;1 872;4 881;5 316;5 919;6 479;7 697;7 654;7 139
Minnesota;558;708;718;3 280;3 767;4 439;4 702;4 575;5 234;5 505
Mississippi;605;716;745;1 808;2 181;2 500;2 570;3 312;3 470;3 144
Missouri;890;1 156;1 136;3 274;3 630;4 072;4 407;4 887;5 263;4 771
Montana;104;116;115;422;476;533;536;585;621;639
Nebraska;229;248;248;960;1 092;1 255;1 283;1 346;1 450;1 451
Nevada \4;138;257;257;516;598;724;881;806;1 090;1 090
New Hampshire;97;121;126;651;691;746;786;822;818;855
New Jersey;822;966;1 004;4 714;5 018;5 497;6 030;6 623;7 010;7 512
New Mexico;376;491;516;1 249;1 483;1 797;2 033;2 278;2 415;2 333
New York;3 420;4 938;5 194;26 148;27 741;31 489;35 207;37 273;39 348;40 235
North Carolina;1 214;1 549;1 631;4 834;5 502;6 041;6 521;7 388;8 415;8 121
North Dakota;63;74;74;358;377;423;445;477;557;510
Ohio;1 305;1 955;2 021;7 115;8 039;9 186;10 235;11 375;12 114;11 834
Oklahoma;507;686;726;1 604;2 017;2 238;2 129;2 335;2 561;2 934
Oregon;558;547;516;1 714;1 889;2 136;2 116;2 153;2 444;2 274
Pennsylvania;1 492;1 990;2 089;6 366;7 634;8 524;9 450;10 055;11 902;11 406
Rhode Island;179;209;212;1 070;1 096;1 251;1 338;1 531;1 638;1 647
South Carolina;689;870;862;2 765;3 097;3 383;3 642;4 015;4 248;4 013
South Dakota;102;131;131;402;427;504;542;580;627;606
Tennessee ;1 568;1 610;1 591;3 491;4 059;4 748;5 459;6 971;7 698;5 955
Texas;2 633;3 753;3 910;9 277;9 646;11 121;12 525;13 214;14 365;13 764
Utah;225;314;288;960;1 065;1 216;1 201;1 356;1 501;1 521
Vermont;139;151;150;480;542;607;642;744;859;813
Virginia;627;778;821;2 479;2 717;3 018;3 181;3 574;4 061;4 173
Washington;896;1 178;1 128;2 435;2 714;4 373;4 524;4 930;5 335;5 230
West Virginia;342;374;373;1 394;1 567;1 578;1 830;2 020;2 339;2 226
Wisconsin;577;949;973;2 968;3 203;3 606;3 921;4 314;4 580;4 451
Wyoming;46;69;69;215;242;280;325;363;398;412
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
