;;   Managed care;;;
State;Total;   enrollment \2;;;
and area;enroll-;;;;
;ment \1;Number;Percent;;
;(1,000);(1,000);of total;;
1995;33 373;9 800;29,4;;
2000;33 690;18 786;55,8;;
2001;36 563;20 774;56,8;;
2002;40 148;23 118;57,6;;
2003;42 741;24 406;58,4;;
2004;44 356;26 914;60,7;;
2005;45 392;28 576;63,0;;
2006;45 653;29 830;65,3;;
2007;45 962;29 463;64,1;;
2008 Total;47 143;33 428;70,2;;
  United States;46 080;32 443;71,6;;
Alabama;765;504;66,0;;
Alaska;97;0;0;;
Arizona;1 049;949;90,5;;
Arkansas;622;500;80,4;;
California;6 607;3 409;51,6;;
Colorado;430;414;96,4;;
Connecticut;435;284;65,3;;
Delaware;153;115;63,7;;
District of Columbia;146;93;63,3;;
Florida;2 276;1 442;63,3;;
Georgia;1 271;1 168;91,9;;
Hawaii;211;167;79,1;;
Idaho;187;156;83,4;;
Illinois;2 107;1 168;55,4;;
Indiana;882;630;71,4;;
Iowa;363;296;81,6;;
Kansas;279;234;83,8;;
Kentucky;732;665;90,8;;
Louisiana;1 007;692;68,7;;
Maine;259;163;63,1;;
Maryland;711;516;72,7;;
Massachusetts;1 115;697;60,3;;
Michigan;1 547;1 363;88,1;;
Minnesota;617;385;62,4;;
Mississippi;670;485;72,4;;
Missouri;833;811;97,3;;
Montana;83;30;36,0;;
Nebraska;202;172;84,8;;
Nevada;189;157;82,9;;
New Hampshire;113;88;77,6;;
New Jersey;915;660;72,1;;
New Mexico;473;293;62,0;;
New York;4 147;2 714;65,4;;
North Carolina;1 354;905;66,9;;
North Dakota;54;31;58,3;;
Ohio;1 784;1 275;71,5;;
Oklahoma;583;511;87,6;;
Oregon;418;381;91,2;;
Pennsylvania;1 833;1 487;81,1;;
Rhode Island;178;110;61,9;;
South Carolina;689;647;93,8;;
South Dakota;102;101;98,8;;
Tennessee;1 207;1 207;100,0;;
Texas;3 041;2 116;69,6;;
Utah;208;178;85,7;;
Vermont;141;129;91,0;;
Virginia;754;472;62,7;;
Washington;961;858;89,3;;
West Virginia;311;139;44,6;;
Wisconsin;907;474;52,3;;
Wyoming;61;0;0;;
  Puerto Rico;1 016;985;96,9;;
  Virgin Islands;7;0;0;;
;;;;;
