;;;;;;;;;;;;;;;
;;;;;;Number of Plans;;;;;Enrollment;;;;
Model Type;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;1990;2000;2001;2002;2003;2004 \2;2005 \4;2006 \3 \4;2007 \3 \4;1990;2000;2004 \2;2005 \4;2006 \3 \4;2007 \3 \4
    Total ;572;568;541;500;454;412;420;548;531;33,0;80,9;68,8;69,2;73,9;73,9
Model type:;;;;;;;;;;;;;;;
  Individual Practice Association (IPA);360;278;257;229;203;176;171;191;174;13,7;33,4;24,6;23,5;22,4;23,3
Group \5;212;102;104;100;105;96;98;122;116;19,3;15,2;15,3;16,4;20,7;19,7
  Mixed;(NA);188;180;171;146;140;141;134;103;(NA);32,3;28,9;29,0;25,5;21,4
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
